Year;x;q(x);l(x);d(x);L(x);T(x);e(x);D(x);M(x);A(x);N(x);a(x);12a(x)
1900;0;0.119694;100000;11969;92047;5828460;58.28;100000;36171;0.3617;2838981;28.3898;335.18
1900;1;0.030606;88031;2694;86683;5736413;65.16;86051;24471;0.2844;2738981;31.8296;376.46
1900;2;0.014885;85336;1270;84701;5649730;66.21;81542;21897;0.2685;2652930;32.5344;384.91
1900;3;0.010107;84066;850;83641;5565029;66.20;78523;20710;0.2637;2571388;32.7471;387.47
1900;4;0.008224;83216;684;82874;5481387;65.87;75981;19935;0.2624;2492865;32.8089;388.21
1900;5;0.005853;82532;483;82291;5398513;65.41;73662;19324;0.2623;2416884;32.8104;388.22
1900;6;0.004284;82049;351;81873;5316222;64.79;71585;18902;0.2641;2343221;32.7336;387.30
1900;7;0.003062;81698;250;81572;5234349;64.07;69675;18602;0.2670;2271637;32.6031;385.74
1900;8;0.002316;81447;189;81353;5152777;63.27;67900;18394;0.2709;2201961;32.4293;383.65
1900;9;0.001858;81259;151;81183;5071423;62.41;66220;18240;0.2754;2134061;32.2268;381.22
1900;10;0.002028;81108;164;81026;4990240;61.53;64611;18120;0.2804;2067841;32.0045;378.55
1900;11;0.001975;80943;160;80863;4909215;60.65;63030;17992;0.2854;2003230;31.7821;375.88
1900;12;0.001947;80783;157;80705;4828351;59.77;61491;17870;0.2906;1940200;31.5523;373.13
1900;13;0.002275;80626;183;80534;4747647;58.88;59992;17753;0.2959;1878708;31.3160;370.29
1900;14;0.002329;80443;187;80349;4667112;58.02;58510;17620;0.3011;1818716;31.0840;367.51
1900;15;0.002558;80255;205;80153;4586763;57.15;57061;17487;0.3065;1760207;30.8478;364.67
1900;16;0.003039;80050;243;79928;4506610;56.30;55635;17344;0.3117;1703146;30.6126;361.85
1900;17;0.003640;79807;290;79662;4426682;55.47;54219;17179;0.3168;1647510;30.3860;359.13
1900;18;0.007850;79516;624;79204;4347020;54.67;52807;16986;0.3217;1593291;30.1717;356.56
1900;19;0.005175;78892;408;78688;4267816;54.10;51215;16580;0.3237;1540483;30.0788;355.45
1900;20;0.005348;78484;420;78274;4189128;53.38;49804;16321;0.3277;1489268;29.9023;353.33
1900;21;0.004577;78064;357;77886;4110854;52.66;48424;16061;0.3317;1439464;29.7260;351.21
1900;22;0.004674;77707;363;77525;4032968;51.90;47119;15844;0.3363;1391040;29.5219;348.76
1900;23;0.004788;77344;370;77159;3955443;51.14;45844;15629;0.3409;1343921;29.3149;346.28
1900;24;0.004711;76973;363;76792;3878284;50.38;44599;15415;0.3456;1298076;29.1055;343.77
1900;25;0.004765;76611;365;76428;3801492;49.62;43391;15209;0.3505;1253477;28.8880;341.16
1900;26;0.004865;76246;371;76060;3725064;48.86;42213;15007;0.3555;1210086;28.6660;338.49
