Edad;Inscritos;Ratio;InscritosNeg
0;8189;;11180
1;10073;1.23;9296
2;10001;0.993;9368
3;11586;1.158;7783
4;13436;1.16;5933
5;13626;1.014;5743
6;12923;0.948;6446
7;13597;1.052;5772
8;15005;1.104;4364
9;14854;0.99;4515
10;14534;0.978;4835
11;15434;1.062;3935
12;15105;0.979;4264
13;15248;1.009;4121
14;15517;1.018;3852
15;14623;0.942;4746
16;14507;0.992;4862
17;13965;0.963;5404
18;13668;0.979;5701
19;14274;1.044;5095
20;14684;1.029;4685
21;15160;1.032;4209
22;16040;1.058;3329
23;16380;1.021;2989
24;16861;1.029;2508
25;17201;1.02;2168
26;17916;1.042;1453
27;17947;1.002;1422
28;18495;1.031;874
29;19162;1.036;207
30;18937;0.988;432
31;19180;1.013;189
32;19353;1.009;16
33;19369;1.001;0
34;19238;0.993;131
35;18265;0.949;1104
36;17137;0.938;2232
37;16429;0.959;2940
38;15652;0.953;3717
39;15344;0.98;4025
40;15532;1.012;3837
41;16293;1.049;3076
42;15499;0.951;3870
43;14547;0.939;4822
44;13676;0.94;5693
45;13019;0.952;6350
46;12749;0.979;6620
47;12744;1.0;6625
48;13426;1.054;5943
49;14026;1.045;5343
50;13640;0.972;5729
51;14180;1.04;5189
52;13742;0.969;5627
53;12828;0.933;6541
54;13354;1.041;6015
55;13704;1.026;5665
56;13717;1.001;5652
57;13728;1.001;5641
58;14114;1.028;5255
59;14085;0.998;5284
60;14569;1.034;4800
61;14132;0.97;5237
62;13548;0.959;5821
63;13224;0.976;6145
64;12464;0.943;6905
65;11979;0.961;7390
66;11562;0.965;7807
67;10758;0.93;8611
68;9740;0.905;9629
69;9019;0.926;10350
70;8679;0.962;10690
71;7936;0.914;11433
72;7363;0.928;12006
73;7223;0.981;12146
74;6827;0.945;12542
75;6676;0.978;12693
76;6253;0.937;13116
77;5592;0.894;13777
78;5377;0.962;13992
79;4961;0.923;14408
80;4620;0.931;14749
81;4172;0.903;15197
82;3826;0.917;15543
83;3478;0.909;15891
84;2993;0.861;16376
85;2709;0.905;16660
86;2309;0.852;17060
87;2147;0.93;17222
88;1849;0.861;17520
89;1652;0.893;17717
90;1429;0.865;17940
91;1332;0.932;18037
92;1090;0.818;18279
93;950;0.872;18419
94;730;0.768;18639
95;557;0.763;18812
96;386;0.693;18983
97;288;0.746;19081
98;191;0.663;19178
99;157;0.822;19212
100;93;0.592;19276
101;94;1.011;19275
102;72;0.766;19297
103;60;0.833;19309
104;40;0.667;19329
105;35;0.875;19334
106;46;1.314;19323
107;48;1.043;19321
108;43;0.896;19326
109;36;0.837;19333
110;38;1.056;19331
