Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125349;7947;265;277;282;129;2027;3128;3262;5858;953;14275;18356;735.0;3346.0;1326.0;961.0;1027.0;1244.0;520.0
2024;128038;8117;307;231;240;119;2348;2609;2776;5404;897;13137;17305;751.0;3417.0;1377.0;955.0;1024.0;1282.0;556.0
2025;130531;7983;186;180;147;85;1422;2033;1700;3860;598;9015;13142;766.0;3361.0;807.0;564.0;611.0;751.0;327.0
2026;132355;7995;151;155;147;89;1155;1750;1700;4042;542;8647;12789;776.0;3366.0;651.0;443.0;480.0;597.0;284.0
2027;134789;8106;149;145;146;84;1139;1638;1689;3815;524;8281;12485;791.0;3413.0;564.0;364.0;404.0;516.0;293.0
2028;136406;8383;155;162;146;91;1185;1830;1689;4133;554;8837;13166;800.0;3529.0;760.0;521.0;562.0;701.0;313.0
2029;138758;8483;168;156;144;78;1285;1762;1666;3542;546;8255;12640;814.0;3571.0;730.0;511.0;550.0;679.0;319.0
2030;140902;8532;175;168;172;84;1338;1897;1990;3815;599;9040;13458;826.0;3592.0;716.0;490.0;538.0;670.0;335.0
2031;143367;8665;172;172;167;87;1315;1942;1932;3951;598;9140;13629;841.0;3648.0;722.0;494.0;519.0;663.0;316.0
2032;145379;8938;164;182;175;90;1254;2055;2024;4087;611;9420;14036;853.0;3763.0;790.0;541.0;582.0;719.0;328.0
2033;146576;8913;155;187;139;84;1185;2112;1608;3815;565;8720;13332;860.0;3752.0;644.0;447.0;486.0;600.0;301.0
2034;148025;9021;164;167;171;100;1254;1886;1978;4541;602;9659;14325;868.0;3798.0;771.0;537.0;570.0;709.0;320.0
2035;149138;9104;137;166;157;85;1048;1875;1816;3860;545;8599;13307;875.0;3833.0;492.0;317.0;358.0;454.0;291.0
2036;150583;9130;185;172;185;97;1415;1942;2140;4405;639;9902;14629;883.0;3844.0;734.0;501.0;554.0;682.0;347.0
2037;151941;9387;155;182;173;72;1185;2055;2001;3270;582;8511;13354;891.0;3952.0;660.0;449.0;484.0;606.0;296.0
2038;153876;9378;177;199;164;83;1354;2247;1897;3769;623;9267;14117;902.0;3948.0;795.0;542.0;601.0;741.0;331.0
2039;155818;9508;185;179;179;97;1415;2021;2071;4405;640;9912;14829;914.0;4003.0;760.0;522.0;556.0;697.0;330.0
2040;158207;9702;147;195;196;105;1124;2202;2267;4768;643;10361;15374;928.0;4085.0;595.0;416.0;459.0;553.0;337.0
2041;160003;9834;184;192;199;85;1407;2168;2302;3860;660;9737;14815;938.0;4140.0;852.0;603.0;642.0;788.0;370.0
2042;162717;9704;195;167;162;90;1491;1886;1874;4087;614;9338;14377;954.0;4085.0;803.0;554.0;589.0;737.0;342.0
2043;164173;10048;167;195;196;74;1277;2202;2267;3361;632;9107;14300;963.0;4230.0;749.0;527.0;573.0;704.0;341.0
2044;167201;10120;192;207;192;87;1468;2338;2221;3951;678;9978;15220;981.0;4261.0;803.0;561.0;597.0;741.0;360.0
2045;168428;10182;169;206;182;103;1292;2326;2105;4678;660;10401;15676;988.0;4287.0;774.0;548.0;578.0;715.0;338.0
2046;171608;10352;197;175;189;82;1507;1976;2186;3724;643;9393;14757;1006.0;4358.0;937.0;654.0;708.0;879.0;360.0
2047;172226;10257;194;184;189;91;1484;2078;2186;4133;658;9881;15209;1010.0;4318.0;880.0;606.0;658.0;816.0;382.0
2048;174788;10598;156;167;205;102;1193;1886;2371;4632;630;10082;15569;1025.0;4462.0;523.0;358.0;398.0;490.0;336.0
2049;175734;10394;189;223;216;70;1445;2518;2499;3179;698;9641;15048;1031.0;4376.0;833.0;588.0;629.0;771.0;369.0
2050;177427;10711;190;188;180;91;1453;2123;2082;4133;649;9791;15341;1041.0;4509.0;928.0;661.0;692.0;851.0;369.0
2051;178940;10760;175;195;202;103;1338;2202;2337;4678;675;10555;16134;1049.0;4530.0;775.0;541.0;588.0;729.0;368.0
2052;180453;10774;197;188;205;101;1507;2123;2371;4587;691;10588;16182;1058.0;4536.0;880.0;616.0;663.0;819.0;375.0
2053;181879;10864;154;196;192;93;1178;2213;2221;4224;635;9836;15477;1067.0;4574.0;576.0;384.0;439.0;539.0;325.0
2054;182660;10976;223;212;203;97;1705;2394;2348;4405;735;10852;16544;1071.0;4621.0;984.0;690.0;735.0;915.0;398.0
2055;183262;11195;201;196;227;119;1537;2213;2626;5404;743;11780;17568;1075.0;4713.0;914.0;633.0;679.0;846.0;389.0
2056;183325;11068;230;199;175;112;1759;2247;2024;5086;716;11116;16851;1075.0;4660.0;976.0;665.0;714.0;900.0;390.0
2057;183785;11252;228;188;190;111;1744;2123;2198;5041;717;11106;16921;1078.0;4737.0;938.0;638.0;714.0;876.0;412.0
2058;183384;11208;219;206;197;100;1675;2326;2279;4541;722;10821;16616;1076.0;4719.0;976.0;686.0;729.0;897.0;390.0
2059;185124;11223;204;216;209;109;1560;2439;2418;4950;738;11367;17178;1086.0;4725.0;869.0;618.0;639.0;805.0;380.0
2060;184496;11162;190;214;203;108;1453;2417;2348;4905;715;11123;16904;1082.0;4699.0;715.0;503.0;530.0;658.0;397.0
2061;185731;11155;206;195;211;98;1575;2202;2441;4451;710;10669;16454;1089.0;4696.0;850.0;582.0;637.0;792.0;392.0
2062;185022;11298;203;202;184;110;1552;2281;2128;4996;699;10957;16799;1085.0;4757.0;846.0;589.0;636.0;783.0;374.0
2063;184945;11312;208;227;192;105;1591;2564;2221;4768;732;11144;16991;1085.0;4762.0;870.0;603.0;637.0;801.0;396.0
2064;183608;11240;202;216;213;98;1545;2439;2464;4451;729;10899;16708;1077.0;4732.0;807.0;543.0;594.0;745.0;407.0
2065;182903;11157;207;206;194;96;1583;2326;2244;4360;703;10513;16283;1073.0;4697.0;846.0;568.0;629.0;779.0;399.0
2066;180637;11095;189;206;181;75;1445;2326;2094;3406;651;9271;15001;1059.0;4671.0;900.0;629.0;683.0;833.0;362.0
2067;179700;10842;196;202;197;99;1499;2281;2279;4496;694;10555;16174;1054.0;4565.0;731.0;479.0;550.0;686.0;371.0
2068;178511;10957;190;222;191;114;1453;2507;2209;5177;717;11346;17006;1047.0;4613.0;707.0;500.0;518.0;652.0;369.0
2069;177823;11088;202;216;216;94;1545;2439;2499;4269;728;10752;16463;1043.0;4668.0;796.0;527.0;588.0;738.0;393.0
2070;174947;10693;209;175;207;104;1598;1976;2394;4723;695;10691;16219;1026.0;4502.0;807.0;552.0;606.0;746.0;382.0
2071;173853;10612;204;198;201;101;1560;2236;2325;4587;704;10708;16196;1020.0;4468.0;812.0;559.0;615.0;757.0;377.0
2072;171761;10369;187;217;209;97;1430;2451;2418;4405;710;10704;16076;1007.0;4365.0;854.0;613.0;643.0;791.0;347.0
2073;169292;10281;156;217;177;114;1193;2451;2047;5177;664;10868;16189;993.0;4328.0;632.0;449.0;478.0;598.0;308.0
2074;168083;10220;180;220;174;99;1377;2485;2013;4496;673;10371;15660;986.0;4303.0;704.0;488.0;524.0;657.0;331.0
2075;166097;10192;202;191;218;88;1545;2157;2522;3996;699;10220;15485;974.0;4291.0;756.0;522.0;571.0;705.0;381.0
2076;164810;10015;163;201;186;90;1247;2270;2152;4087;640;9756;14939;967.0;4216.0;764.0;527.0;575.0;706.0;335.0
