Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14706;853;0;309296;5150;85272;367;5011;433.0;367.0;202.0;254.0;220.0;124.0;920.0;639.0;700.0;863.0;367.0
2024;1136685;13174;1287;0;315833;4352;89067;390;5258;375.0;390.0;201.0;224.0;219.0;121.0;890.0;624.0;668.0;824.0;390.0
2025;1148572;13438;2090;0;321258;4051;89957;400;5249;320.0;400.0;209.0;210.0;195.0;106.0;862.0;584.0;650.0;809.0;400.0
2026;1159920;15032;2940;0;326570;3834;89939;265;5194;283.0;265.0;152.0;140.0;160.0;96.0;632.0;420.0;461.0;588.0;265.0
2027;1172012;14207;3953;0;331595;3813;93386;290;5436;237.0;290.0;149.0;158.0;138.0;82.0;656.0;451.0;495.0;612.0;290.0
2028;1182266;14374;4978;0;336517;3823;94381;319;5578;262.0;319.0;159.0;169.0;159.0;94.0;686.0;463.0;509.0;631.0;319.0
2029;1191662;13601;5852;0;341991;3766;94528;291;5565;245.0;291.0;167.0;155.0;137.0;77.0;707.0;495.0;520.0;652.0;291.0
2030;1199411;14705;6587;0;347660;3774;98179;289;5810;265.0;289.0;141.0;162.0;170.0;81.0;626.0;426.0;462.0;579.0;289.0
2031;1207529;14467;6905;0;353208;3757;99648;295;5822;310.0;295.0;142.0;198.0;176.0;89.0;683.0;488.0;516.0;635.0;295.0
2032;1215091;15698;7251;0;357139;3670;99768;308;5866;302.0;308.0;165.0;176.0;169.0;100.0;731.0;515.0;543.0;672.0;308.0
2033;1223538;14118;7540;0;360461;3605;101914;280;6047;276.0;280.0;152.0;184.0;139.0;81.0;644.0;432.0;482.0;597.0;280.0
2034;1230116;14086;8495;0;363625;3579;102639;280;5982;308.0;280.0;145.0;172.0;169.0;102.0;674.0;483.0;497.0;619.0;280.0
2035;1235707;14022;9172;0;366813;3559;102828;293;6060;275.0;293.0;140.0;184.0;152.0;92.0;479.0;304.0;348.0;441.0;293.0
2036;1240557;13370;10085;0;370351;3562;105062;311;6093;326.0;311.0;164.0;189.0;179.0;105.0;622.0;404.0;463.0;572.0;311.0
2037;1243842;12922;10942;0;374493;3468;105703;289;6313;301.0;289.0;149.0;201.0;164.0;76.0;714.0;491.0;530.0;666.0;289.0
2038;1245822;13506;11442;0;379158;3452;106562;289;6264;307.0;289.0;150.0;186.0;179.0;81.0;654.0;459.0;493.0;603.0;289.0
2039;1247886;14862;12032;0;384438;3438;109155;310;6438;321.0;310.0;183.0;194.0;166.0;88.0;738.0;507.0;556.0;690.0;310.0
2040;1250716;15237;12458;0;389700;3425;109680;348;6479;324.0;348.0;164.0;198.0;205.0;105.0;710.0;497.0;540.0;648.0;348.0
2041;1253495;14157;12795;0;395115;3356;110806;320;6509;325.0;320.0;149.0;197.0;194.0;105.0;620.0;419.0;472.0;568.0;320.0
2042;1254857;13781;13027;0;400275;3296;113368;300;6504;300.0;300.0;154.0;183.0;173.0;90.0;649.0;451.0;482.0;600.0;300.0
2043;1255611;13652;13637;0;405808;3302;113911;330;6787;317.0;330.0;178.0;206.0;184.0;79.0;780.0;550.0;586.0;726.0;330.0
2044;1255626;13890;13930;0;411116;3282;115302;325;6758;353.0;325.0;185.0;220.0;188.0;85.0;851.0;611.0;643.0;793.0;325.0
2045;1255586;13787;14164;0;416526;3202;117379;339;6865;345.0;339.0;188.0;195.0;196.0;105.0;695.0;480.0;523.0;651.0;339.0
2046;1255209;13137;14605;0;421420;3079;117948;348;6896;309.0;348.0;176.0;191.0;199.0;91.0;810.0;568.0;608.0;755.0;348.0
2047;1253741;14128;15085;0;425222;3044;119739;329;6847;287.0;329.0;162.0;178.0;194.0;82.0;774.0;549.0;582.0;718.0;329.0
2048;1252784;15206;15418;0;429325;3040;120664;341;7115;316.0;341.0;181.0;185.0;190.0;101.0;683.0;463.0;513.0;635.0;341.0
2049;1252572;13285;15609;0;432691;3017;121001;321;6805;345.0;321.0;166.0;213.0;203.0;84.0;662.0;453.0;492.0;616.0;321.0
2050;1250248;13458;15677;0;436517;3014;122694;334;7173;306.0;334.0;168.0;194.0;179.0;99.0;770.0;531.0;579.0;713.0;334.0
2051;1248029;13692;15594;0;440290;3010;123180;348;7216;327.0;348.0;171.0;199.0;204.0;101.0;871.0;624.0;648.0;804.0;348.0
2052;1246127;14606;15406;0;443602;2996;123440;316;7016;336.0;316.0;161.0;200.0;189.0;102.0;573.0;388.0;436.0;539.0;316.0
2053;1245327;12771;15026;0;446512;2962;125410;349;7285;329.0;349.0;202.0;198.0;191.0;87.0;898.0;628.0;671.0;833.0;349.0
2054;1243072;13079;14869;0;448114;2966;125578;378;7335;354.0;378.0;203.0;216.0;212.0;101.0;914.0;633.0;674.0;843.0;378.0
2055;1241282;13263;14484;0;449145;2915;125307;377;7353;380.0;377.0;198.0;213.0;222.0;124.0;841.0;586.0;630.0;778.0;377.0
2056;1240061;14608;14463;0;449757;2839;126795;355;7311;351.0;355.0;204.0;207.0;185.0;110.0;936.0;649.0;711.0;872.0;355.0
2057;1240206;13392;14424;0;449657;2790;126652;399;7500;315.0;399.0;216.0;198.0;191.0;109.0;915.0;625.0;676.0;851.0;399.0
2058;1239174;14962;14151;0;451117;2828;125845;353;7456;348.0;353.0;212.0;194.0;181.0;114.0;837.0;560.0;615.0;770.0;353.0
2059;1239985;13465;14355;0;452360;2772;127463;344;7408;376.0;344.0;172.0;227.0;221.0;100.0;667.0;478.0;493.0;611.0;344.0
2060;1239095;13123;14355;0;453198;2696;127574;354;7324;345.0;354.0;186.0;208.0;205.0;100.0;772.0;540.0;584.0;714.0;354.0
2061;1237863;14198;14419;0;454036;2691;126734;396;7385;335.0;396.0;220.0;203.0;190.0;118.0;788.0;532.0;570.0;726.0;396.0
2062;1237642;13849;15015;0;453211;2651;128208;379;7603;361.0;379.0;201.0;219.0;202.0;118.0;844.0;576.0;641.0;786.0;379.0
2063;1236476;14970;15262;0;451530;2616;127373;330;7464;365.0;330.0;177.0;216.0;197.0;105.0;694.0;476.0;529.0;643.0;330.0
2064;1236184;13779;15499;0;448974;2567;126168;382;7409;355.0;382.0;174.0;246.0;213.0;104.0;814.0;571.0;604.0;753.0;382.0
2065;1234464;14927;15948;0;445365;2556;126961;364;7490;329.0;364.0;200.0;208.0;191.0;94.0;899.0;626.0;672.0;829.0;364.0
2066;1233443;13376;16106;0;441556;2515;124478;370;7343;319.0;370.0;205.0;204.0;197.0;83.0;786.0;535.0;589.0;736.0;370.0
2067;1230713;14796;16345;0;438886;2569;123062;326;7187;345.0;326.0;165.0;204.0;185.0;117.0;603.0;420.0;455.0;564.0;326.0
2068;1229164;15325;16420;0;436710;2588;124841;363;7372;369.0;363.0;199.0;225.0;197.0;111.0;757.0;502.0;558.0;691.0;363.0
2069;1228069;13722;16612;0;432574;2565;122568;348;7371;363.0;348.0;190.0;214.0;202.0;105.0;715.0;482.0;526.0;667.0;348.0
2070;1225179;13614;16683;0;427768;2511;119919;353;6986;360.0;353.0;198.0;196.0;221.0;98.0;822.0;560.0;606.0;752.0;353.0
2071;1222110;12379;16891;0;423607;2465;120439;370;7038;343.0;370.0;196.0;212.0;201.0;104.0;795.0;558.0;605.0;748.0;370.0
2072;1217598;14283;17255;0;417994;2430;119054;307;6982;407.0;307.0;175.0;226.0;201.0;112.0;649.0;445.0;482.0;608.0;307.0
2073;1214626;15493;17261;0;414233;2345;115325;320;6790;374.0;320.0;161.0;222.0;203.0;108.0;723.0;517.0;546.0;665.0;320.0
2074;1212858;14074;17327;0;409931;2311;117076;342;6842;365.0;342.0;181.0;235.0;193.0;98.0;729.0;508.0;541.0;672.0;342.0
2075;1209605;13595;17494;0;406433;2251;115322;294;6865;340.0;294.0;156.0;199.0;200.0;79.0;672.0;481.0;505.0;628.0;294.0
2076;1205706;13648;17562;0;404670;2302;112122;300;6561;331.0;300.0;159.0;204.0;184.0;84.0;659.0;456.0;493.0;611.0;300.0
2077;1201792;14852;17530;0;402328;2355;115453;332;6743;353.0;332.0;192.0;212.0;180.0;101.0;799.0;557.0;593.0;746.0;332.0
2078;1199114;14371;17730;0;401040;2322;112963;349;6639;342.0;349.0;191.0;220.0;193.0;87.0;738.0;495.0;540.0;681.0;349.0
2079;1195755;13690;17634;0;399364;2312;110970;339;6462;351.0;339.0;167.0;227.0;206.0;90.0;697.0;496.0;534.0;650.0;339.0
2080;1191811;13200;17272;0;398248;2288;113890;291;6707;350.0;291.0;162.0;236.0;153.0;90.0;710.0;482.0;526.0;658.0;291.0
2081;1187739;14253;17337;0;396674;2297;111618;315;6552;364.0;315.0;163.0;214.0;206.0;96.0;594.0;413.0;442.0;545.0;315.0
2082;1184655;14055;17556;0;395893;2265;109765;289;6503;352.0;289.0;157.0;205.0;175.0;104.0;674.0;456.0;491.0;617.0;289.0
2083;1181154;13434;17185;0;392354;2283;113748;321;6754;338.0;321.0;170.0;214.0;191.0;84.0;531.0;355.0;405.0;502.0;321.0
2084;1177403;13039;16842;0;388609;2240;108732;308;6351;360.0;308.0;169.0;224.0;179.0;96.0;621.0;422.0;457.0;573.0;308.0
2085;1173600;13767;16653;0;386084;2243;107460;283;6287;357.0;283.0;143.0;214.0;171.0;112.0;580.0;401.0;438.0;540.0;283.0
2086;1170714;14264;16335;0;382732;2262;111477;341;6556;365.0;341.0;181.0;218.0;181.0;126.0;740.0;500.0;555.0;693.0;341.0
2087;1168643;14556;16326;0;378797;2180;105918;303;6211;334.0;303.0;193.0;189.0;169.0;86.0;829.0;588.0;629.0;770.0;303.0
2088;1166873;14167;16004;0;375965;2152;104510;291;6078;317.0;291.0;165.0;191.0;167.0;85.0;697.0;470.0;514.0;641.0;291.0
2089;1165036;14064;16014;0;373742;2159;108476;288;6304;320.0;288.0;164.0;190.0;161.0;93.0;656.0;443.0;491.0;606.0;288.0
2090;1163086;14491;15812;0;371630;2194;104335;310;5965;361.0;310.0;171.0;212.0;188.0;100.0;691.0;472.0;509.0;638.0;310.0
2091;1161765;13815;15460;0;370231;2177;103109;273;6005;314.0;273.0;145.0;166.0;178.0;98.0;579.0;407.0;453.0;545.0;273.0
2092;1160120;13610;15609;0;369213;2243;106472;286;6213;352.0;286.0;148.0;215.0;180.0;95.0;632.0;438.0;480.0;587.0;286.0
2093;1158121;14487;15590;0;367375;2187;103417;292;6047;318.0;292.0;154.0;180.0;172.0;104.0;692.0;479.0;520.0;636.0;292.0
2094;1157018;13996;15500;0;364734;2206;102456;269;5891;332.0;269.0;143.0;193.0;171.0;94.0;592.0;393.0;426.0;545.0;269.0
2095;1155514;13948;15324;0;362827;2238;104498;316;6174;346.0;316.0;148.0;217.0;214.0;83.0;599.0;405.0;437.0;551.0;316.0
2096;1154138;13396;15321;0;362320;2204;100762;294;5946;352.0;294.0;180.0;211.0;174.0;81.0;724.0;490.0;543.0;669.0;294.0
2097;1152213;14972;15205;0;361486;2211;101062;283;5801;345.0;283.0;152.0;214.0;176.0;86.0;587.0;405.0;426.0;534.0;283.0
2098;1151980;13049;15116;0;363558;2202;104037;317;6114;328.0;317.0;153.0;217.0;178.0;97.0;704.0;487.0;522.0;643.0;317.0
2099;1149913;13801;15217;0;362955;2116;101388;261;5961;354.0;261.0;152.0;181.0;189.0;93.0;588.0;384.0;442.0;545.0;261.0
2100;1148497;13422;15210;0;362993;2096;101573;254;5815;331.0;254.0;143.0;180.0;166.0;96.0;605.0;404.0;425.0;552.0;254.0
2101;1146709;14049;14812;0;362692;2116;103448;288;5990;358.0;288.0;160.0;224.0;176.0;86.0;650.0;443.0;476.0;599.0;288.0
2102;1145946;14121;14687;0;360837;2061;101586;263;5856;322.0;263.0;144.0;185.0;158.0;98.0;520.0;335.0;377.0;483.0;263.0
2103;1145380;14470;14589;0;360467;2098;101072;248;5880;317.0;248.0;145.0;175.0;156.0;89.0;607.0;419.0;444.0;561.0;248.0
2104;1145261;13501;14375;0;358314;2164;102104;290;5948;318.0;290.0;151.0;197.0;181.0;79.0;660.0;453.0;487.0;606.0;290.0
2105;1144387;13342;14159;0;357429;2137;100358;293;5963;320.0;293.0;150.0;197.0;166.0;100.0;623.0;420.0;449.0;571.0;293.0
2106;1143570;13460;14136;0;357157;2126;100009;262;5792;340.0;262.0;128.0;195.0;181.0;98.0;478.0;325.0;351.0;439.0;262.0
2107;1142894;13513;14140;0;356691;2068;101912;275;5963;319.0;275.0;130.0;204.0;164.0;96.0;598.0;430.0;440.0;557.0;275.0
2108;1142267;14088;13833;0;356096;2082;99876;246;5750;342.0;246.0;130.0;196.0;170.0;92.0;533.0;367.0;394.0;492.0;246.0
