Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125349;7944;265;277;282;128;2027;3128;3262;5813;952;14230;18346;735.0;3381.0;1334.0;967.0;1033.0;1250.0;519.0
2024;128035;8122;308;235;241;118;2355;2654;2788;5359;902;13156;17364;751.0;3457.0;1393.0;967.0;1033.0;1294.0;561.0
2025;130523;7987;186;179;151;88;1422;2021;1747;3996;604;9186;13351;766.0;3399.0;791.0;548.0;600.0;738.0;333.0
2026;132352;8004;157;148;149;93;1201;1671;1724;4224;547;8820;13003;776.0;3407.0;657.0;452.0;491.0;604.0;289.0
2027;134786;8112;155;142;150;82;1185;1604;1735;3724;529;8248;12492;791.0;3453.0;615.0;403.0;444.0;566.0;299.0
2028;136407;8381;156;167;145;86;1193;1886;1677;3906;554;8662;13029;800.0;3567.0;772.0;523.0;567.0;718.0;311.0
2029;138760;8479;164;157;140;78;1254;1773;1619;3542;539;8188;12611;814.0;3609.0;703.0;490.0;531.0;654.0;311.0
2030;140890;8528;173;167;171;84;1323;1886;1978;3815;595;9002;13458;826.0;3630.0;727.0;504.0;541.0;676.0;333.0
2031;143378;8660;162;170;173;86;1239;1920;2001;3906;591;9066;13593;841.0;3686.0;702.0;491.0;504.0;644.0;312.0
2032;145382;8928;159;183;175;89;1216;2067;2024;4042;606;9349;14002;853.0;3800.0;783.0;538.0;577.0;711.0;318.0
2033;146568;8923;161;192;137;80;1231;2168;1585;3633;570;8617;13275;860.0;3798.0;650.0;450.0;494.0;609.0;310.0
2034;148022;9036;174;167;170;103;1331;1886;1966;4678;614;9861;14575;868.0;3846.0;793.0;548.0;586.0;729.0;329.0
2035;149139;9119;143;171;160;85;1094;1931;1851;3860;559;8736;13492;875.0;3881.0;539.0;354.0;390.0;494.0;305.0
2036;150600;9101;174;175;172;90;1331;1976;1990;4087;611;9384;14141;883.0;3874.0;750.0;516.0;562.0;694.0;322.0
2037;151944;9388;157;182;166;70;1201;2055;1920;3179;575;8355;13242;891.0;3996.0;670.0;459.0;493.0;614.0;293.0
2038;153884;9375;174;197;169;84;1331;2225;1955;3815;624;9326;14219;903.0;3990.0;773.0;522.0;582.0;720.0;332.0
2039;155811;9513;179;178;189;94;1369;2010;2186;4269;640;9834;14797;914.0;4049.0;737.0;500.0;546.0;682.0;334.0
2040;158215;9715;153;200;199;104;1170;2259;2302;4723;656;10454;15517;928.0;4135.0;585.0;409.0;450.0;544.0;351.0
2041;160024;9827;192;197;177;83;1468;2225;2047;3769;649;9509;14631;939.0;4183.0;922.0;652.0;688.0;850.0;365.0
2042;162744;9688;179;173;156;93;1369;1954;1805;4224;601;9352;14429;954.0;4123.0;743.0;518.0;550.0;685.0;324.0
