Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14213;813;0;309296;5154;125348;516;7424;433.0;516.0;263.0;276.0;282.0;128.0;1316.0;954.0;1021.0;1236.0;516.0
2024;1136232;13592;1222;0;315832;4205;128034;560;7562;341.0;560.0;311.0;232.0;239.0;119.0;1416.0;986.0;1051.0;1316.0;560.0
2025;1148602;14036;2093;0;321259;3776;130530;333;7655;271.0;333.0;189.0;176.0;151.0;88.0;810.0;561.0;613.0;754.0;333.0
2026;1160545;13882;2956;0;326565;3668;132354;284;7711;258.0;284.0;150.0;155.0;148.0;89.0;627.0;422.0;459.0;573.0;284.0
2027;1171471;13582;3978;0;331592;3635;134782;304;7813;231.0;304.0;157.0;148.0;148.0;82.0;629.0;414.0;453.0;577.0;304.0
2028;1181075;13210;5001;0;336514;3645;136404;307;8070;242.0;307.0;154.0;162.0;144.0;89.0;730.0;501.0;545.0;682.0;307.0
2029;1189284;14124;5957;0;341992;3626;138754;312;8166;225.0;312.0;159.0;154.0;149.0;75.0;675.0;470.0;508.0;626.0;312.0
2030;1197451;14644;6528;0;347661;3614;140892;345;8192;262.0;345.0;176.0;170.0;177.0;84.0;756.0;522.0;561.0;700.0;345.0
2031;1205567;14909;6912;0;353198;3553;143373;302;8345;285.0;302.0;169.0;165.0;162.0;91.0;677.0;464.0;490.0;628.0;302.0
2032;1213564;13375;7183;0;357147;3503;145394;308;8608;289.0;308.0;157.0;184.0;167.0;89.0;748.0;522.0;560.0;686.0;308.0
2033;1219756;14331;7799;0;360507;3431;146584;303;8615;257.0;303.0;154.0;189.0;137.0;80.0;663.0;462.0;502.0;617.0;303.0
2034;1226288;13522;8435;0;363656;3408;148033;329;8708;282.0;329.0;164.0;173.0;171.0;103.0;784.0;540.0;579.0;719.0;329.0
2035;1231375;14123;9056;0;366827;3402;149129;316;8811;254.0;316.0;151.0;170.0;161.0;88.0;518.0;333.0;372.0;476.0;316.0
2036;1236442;14028;9883;0;370401;3381;150605;329;8776;297.0;329.0;187.0;169.0;178.0;92.0;755.0;525.0;569.0;702.0;329.0
2037;1240587;14153;10918;0;374546;3288;151948;293;9089;279.0;293.0;147.0;182.0;171.0;72.0;632.0;429.0;464.0;577.0;293.0
2038;1243822;14222;11545;0;379189;3293;153863;328;9043;296.0;328.0;173.0;197.0;168.0;86.0;813.0;551.0;607.0;754.0;328.0
2039;1246499;14171;12047;0;384490;3249;155823;342;9178;308.0;342.0;185.0;183.0;193.0;89.0;845.0;592.0;623.0;778.0;342.0
2040;1248623;13580;12371;0;389708;3221;158202;356;9362;306.0;356.0;159.0;205.0;195.0;103.0;617.0;432.0;479.0;574.0;356.0
2041;1249832;14048;12792;0;395099;3152;160009;340;9466;286.0;340.0;174.0;188.0;179.0;85.0;795.0;552.0;598.0;736.0;340.0
2042;1251088;13572;13148;0;400272;3106;162730;339;9366;271.0;339.0;191.0;169.0;162.0;88.0;785.0;540.0;579.0;720.0;339.0
