Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;0;0;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0;0;0;0;0;0
2024;0;0;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0;0;0;0;0;0
2025;0;0;0;0;17;215;120;108;130;2428;1388;4905;460;8851;8851;0;0;0;0;0;0
2026;0;0;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0;0;0;0;0;0
2027;0;0;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0;0;0;0;0;0
2028;0;0;0;0;16;250;132;117;122;2823;1527;5313;515;9785;9785;0;0;0;0;0;0
2029;0;0;0;0;27;248;123;118;206;2801;1423;5359;516;9789;9789;0;0;0;0;0;0
2030;0;0;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0;0;0;0;0;0
2031;0;0;0;0;22;268;157;142;168;3027;1816;6449;589;11460;11460;0;0;0;0;0;0
2032;0;0;0;0;24;268;169;155;184;3027;1955;7039;616;12205;12205;0;0;0;0;0;0
2033;0;0;0;0;22;273;143;136;168;3083;1654;6176;574;11081;11081;0;0;0;0;0;0
2034;0;0;0;0;19;249;187;148;145;2812;2163;6721;603;11841;11841;0;0;0;0;0;0
2035;0;0;0;0;14;290;144;125;107;3275;1666;5677;573;10725;10725;0;0;0;0;0;0
2036;0;0;0;0;30;254;164;143;229;2868;1897;6494;591;11488;11488;0;0;0;0;0;0
2037;0;0;0;0;29;274;151;133;222;3094;1747;6040;587;11103;11103;0;0;0;0;0;0
2038;0;0;0;0;29;273;155;132;222;3083;1793;5995;589;11093;11093;0;0;0;0;0;0
2039;0;0;0;0;28;295;174;137;214;3332;2013;6222;634;11781;11781;0;0;0;0;0;0
2040;0;0;0;0;18;283;158;151;138;3196;1828;6858;610;12020;12020;0;0;0;0;0;0
2041;0;0;0;0;18;310;154;143;138;3501;1781;6494;625;11914;11914;0;0;0;0;0;0
2042;0;0;0;0;26;276;146;145;199;3117;1689;6585;593;11590;11590;0;0;0;0;0;0
