Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;7787;482;22;190;125;109;168;2146;1446;4950;446;8710;8959;46.0;203.0;9.0;5.0;8.0;11.0;13.0
2024;8017;540;30;200;128;113;229;2259;1481;5132;471;9101;9375;47.0;227.0;111.0;81.0;82.0;102.0;32.0
2025;8119;474;28;214;125;107;214;2417;1446;4859;474;8936;9184;48.0;200.0;53.0;37.0;37.0;48.0;19.0
2026;8309;504;19;207;138;125;145;2338;1596;5677;489;9756;10017;49.0;212.0;10.0;6.0;5.0;11.0;16.0
2027;8423;522;24;217;108;116;184;2451;1249;5268;465;9152;9421;49.0;220.0;28.0;18.0;22.0;26.0;18.0
2028;8576;522;23;249;135;117;176;2812;1562;5313;524;9863;10133;50.0;220.0;10.0;3.0;6.0;9.0;17.0
2029;8645;526;38;239;123;117;291;2699;1423;5313;517;9726;9998;51.0;221.0;51.0;36.0;40.0;49.0;21.0
2030;8776;500;24;252;152;120;184;2846;1758;5450;548;10238;10500;51.0;211.0;35.0;22.0;26.0;33.0;16.0
2031;8994;515;26;261;159;140;199;2948;1839;6358;586;11344;11614;53.0;217.0;31.0;21.0;23.0;29.0;15.0
2032;9031;559;41;257;170;152;314;2902;1966;6903;620;12085;12373;53.0;235.0;78.0;49.0;56.0;72.0;24.0
2033;9209;557;29;267;144;132;222;3015;1666;5995;572;10898;11186;54.0;234.0;15.0;6.0;7.0;14.0;17.0
2034;9148;569;28;244;193;145;214;2756;2233;6585;610;11788;12082;54.0;240.0;52.0;38.0;41.0;49.0;23.0
2035;9315;573;21;281;145;123;161;3173;1677;5586;570;10597;10893;55.0;241.0;10.0;1.0;5.0;8.0;20.0
2036;9290;568;39;259;164;138;298;2925;1897;6267;600;11387;11680;54.0;239.0;70.0;51.0;54.0;64.0;24.0
2037;9446;585;35;270;150;131;268;3049;1735;5949;586;11001;11302;55.0;246.0;30.0;19.0;21.0;25.0;16.0
2038;9491;577;40;272;159;136;306;3072;1839;6176;607;11393;11692;56.0;243.0;63.0;43.0;45.0;61.0;34.0
2039;9724;612;34;283;175;135;260;3196;2024;6131;627;11611;11926;57.0;258.0;29.0;19.0;18.0;29.0;21.0
2040;9787;580;26;278;162;145;199;3140;1874;6585;611;11798;12099;57.0;244.0;41.0;31.0;32.0;38.0;24.0
2041;9938;622;31;297;157;140;237;3354;1816;6358;625;11765;12085;58.0;262.0;66.0;45.0;47.0;60.0;25.0
2042;10074;576;39;272;148;137;298;3072;1712;6222;596;11304;11605;59.0;242.0;57.0;41.0;44.0;54.0;22.0
