Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;15297;991;90;417;30;190;129;109;229;2146;1492;4950;458;8817;9324;39;26;29;38;55;30
2024;15536;1053;91;443;33;192;125;112;252;2168;1446;5086;462;8952;9486;143;109;107;134;69;36
2025;16011;957;94;403;26;210;117;104;199;2372;1353;4723;457;8647;9144;56;42;42;53;36;18
2026;16075;1002;94;422;19;202;135;119;145;2281;1562;5404;475;9392;9908;40;27;29;37;37;21
2027;16568;1072;97;451;30;200;112;109;229;2259;1296;4950;451;8734;9282;72;54;54;66;53;27
2028;16621;1055;97;444;27;239;129;113;206;2699;1492;5132;508;9529;10070;68;46;49;62;43;23
2029;16989;1038;100;437;35;230;121;109;268;2597;1400;4950;495;9215;9752;33;19;26;31;41;21
2030;17146;1059;101;446;28;248;152;113;214;2801;1758;5132;541;9905;10452;69;45;45;63;42;14
2031;17555;1045;103;440;28;254;150;134;214;2868;1735;6085;566;10902;11445;52;39;41;49;28;15
2032;17684;1122;104;472;33;251;159;144;252;2835;1839;6540;587;11466;12042;53;34;42;51;40;22
2033;17946;1157;105;487;28;260;136;127;214;2936;1573;5768;551;10491;11083;50;39;35;46;29;8
2034;18031;1122;106;472;28;234;181;140;214;2643;2094;6358;583;11309;11887;38;30;33;36;48;30
2035;18297;1146;107;482;18;273;143;113;138;3083;1654;5132;547;10007;10596;24;16;18;23;45;28
2036;18321;1119;107;471;40;242;161;131;306;2733;1862;5949;574;10850;11428;69;49;52;63;42;21
2037;18605;1203;109;506;38;261;147;129;291;2948;1700;5858;575;10797;11412;26;11;16;23;42;22
2038;18779;1156;110;487;32;263;156;132;245;2970;1805;5995;583;11015;11612;44;30;35;41;51;23
2039;19106;1169;112;492;31;271;172;125;237;3060;1990;5677;599;10964;11568;15;8;8;13;42;25
2040;19357;1179;114;496;28;273;152;137;214;3083;1758;6222;590;11277;11887;47;29;32;43;52;29
2041;19483;1251;114;527;26;293;150;134;199;3309;1735;6085;603;11328;11969;66;47;49;60;47;25
2042;19874;1142;117;481;34;262;140;137;260;2959;1619;6222;573;11060;11658;57;45;47;54;33;14
