Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;0;0;0;433;0;17;188;121;107;0;0;0;0;0;0
2024;1135931;14995;1205;349;315831;4714;0;0;0;440;0;14;195;118;113;0;0;0;0;0;0
2025;1149721;13742;2000;326;321258;4757;0;0;0;460;0;17;215;120;108;0;0;0;0;0;0
2026;1161463;13459;3019;329;326568;4774;0;0;0;484;0;11;209;139;125;0;0;0;0;0;0
2027;1171903;14001;3986;386;331596;4807;0;0;0;460;0;18;214;111;117;0;0;0;0;0;0
2028;1181918;13186;4923;366;336517;4888;0;0;0;515;0;16;250;132;117;0;0;0;0;0;0
2029;1190181;13684;5973;401;341995;4924;0;0;0;516;0;27;248;123;118;0;0;0;0;0;0
2030;1197892;14419;6651;408;347651;4932;0;0;0;546;0;17;258;150;121;0;0;0;0;0;0
2031;1205660;14571;6884;413;353173;4914;0;0;0;589;0;22;268;157;142;0;0;0;0;0;0
2032;1213347;13789;7177;426;357122;4870;0;0;0;616;0;24;268;169;155;0;0;0;0;0;0
2033;1219959;14022;7758;456;360448;4787;0;0;0;574;0;22;273;143;136;0;0;0;0;0;0
2034;1226223;14132;8477;468;363610;4762;0;0;0;603;0;19;249;187;148;0;0;0;0;0;0
2035;1231878;14237;9152;471;366758;4722;0;0;0;573;0;14;290;144;125;0;0;0;0;0;0
2036;1236963;13823;10064;465;370284;4723;0;0;0;591;0;30;254;164;143;0;0;0;0;0;0
2037;1240722;15127;10875;548;374416;4665;0;0;0;587;0;29;274;151;133;0;0;0;0;0;0
2038;1244974;14323;11600;472;379038;4653;0;0;0;589;0;29;273;155;132;0;0;0;0;0;0
2039;1247697;13696;12129;535;384322;4633;0;0;0;634;0;28;295;174;137;0;0;0;0;0;0
2040;1249264;14141;12654;554;389555;4623;0;0;0;610;0;18;283;158;151;0;0;0;0;0;0
2041;1250751;14009;12916;529;394908;4624;0;0;0;625;0;18;310;154;143;0;0;0;0;0;0
2042;1251844;15349;13076;524;400052;4592;0;0;0;593;0;26;276;146;145;0;0;0;0;0;0
