Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13807;795;0;309296;5140;7787;13;469;433.0;13.0;22.0;190.0;125.0;109.0;9.0;5.0;8.0;11.0;13.0
2024;1135844;14178;1251;0;315832;4694;8019;30;508;439.0;30.0;30.0;199.0;127.0;113.0;106.0;77.0;78.0;97.0;30.0
2025;1148771;14292;2067;0;321259;4693;8122;17;455;454.0;17.0;27.0;214.0;123.0;107.0;50.0;35.0;35.0;45.0;17.0
2026;1160996;14546;2893;0;326564;4724;8310;18;487;473.0;18.0;20.0;208.0;138.0;125.0;23.0;16.0;15.0;23.0;18.0
2027;1172649;14591;4051;0;331593;4761;8424;18;503;447.0;18.0;24.0;216.0;109.0;116.0;27.0;17.0;21.0;25.0;18.0
2028;1183189;14110;5059;0;336513;4829;8575;17;505;507.0;17.0;22.0;249.0;137.0;116.0;7.0;2.0;5.0;7.0;17.0
2029;1192240;13104;5957;0;341995;4843;8646;22;504;495.0;22.0;38.0;239.0;123.0;117.0;45.0;31.0;36.0;44.0;22.0
2030;1199387;14591;6469;0;347655;4862;8774;19;485;532.0;19.0;26.0;252.0;153.0;120.0;44.0;27.0;31.0;40.0;19.0
2031;1207509;15064;6844;0;353196;4855;8995;15;500;572.0;15.0;27.0;261.0;158.0;141.0;43.0;31.0;31.0;40.0;15.0
2032;1215729;13998;7326;0;357132;4787;9032;23;535;597.0;23.0;39.0;256.0;172.0;153.0;69.0;44.0;51.0;65.0;23.0
2033;1222401;13887;7656;0;360451;4719;9208;18;539;554.0;18.0;29.0;266.0;145.0;132.0;18.0;9.0;10.0;16.0;18.0
2034;1228632;12969;8417;0;363601;4670;9150;24;546;585.0;24.0;29.0;242.0;193.0;145.0;44.0;30.0;35.0;42.0;24.0
2035;1233184;14290;9259;0;366751;4625;9315;19;553;548.0;19.0;20.0;281.0;143.0;123.0;2.0;-5.0;-1.0;1.0;19.0
2036;1238215;13338;10187;0;370276;4635;9289;26;545;576.0;26.0;41.0;260.0;163.0;138.0;87.0;66.0;66.0;80.0;26.0
2037;1241366;14591;11072;0;374408;4573;9449;15;570;569.0;15.0;35.0;270.0;149.0;130.0;35.0;24.0;27.0;31.0;15.0
2038;1244885;14494;11489;0;379043;4556;9494;26;543;574.0;26.0;34.0;273.0;159.0;134.0;47.0;31.0;35.0;45.0;26.0
2039;1247890;13799;12267;0;384330;4546;9724;22;591;606.0;22.0;34.0;284.0;175.0;135.0;21.0;13.0;11.0;21.0;22.0
2040;1249422;14170;12623;0;389556;4523;9786;29;556;590.0;29.0;29.0;279.0;164.0;147.0;46.0;34.0;33.0;43.0;29.0
2041;1250969;13496;12693;0;394920;4532;9935;26;597;598.0;26.0;31.0;297.0;156.0;140.0;74.0;52.0;53.0;67.0;26.0
2042;1251772;13722;13125;0;400070;4504;10076;20;554;576.0;20.0;38.0;270.0;150.0;138.0;48.0;33.0;39.0;45.0;20.0
