Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;15297;55;936;433;25;30;190;129;109;39;26;29;38;55;30
2024;1135931;14995;1205;349;315831;4659;15536;69;984;429;33;33;192;125;112;143;109;107;134;69;36
2025;1149721;13742;2000;326;321258;4644;16011;36;921;439;18;26;210;117;104;56;42;42;53;36;18
2026;1161463;13459;3019;329;326568;4646;16075;37;965;459;16;19;202;135;119;40;27;29;37;37;21
2027;1171903;14001;3986;386;331596;4667;16568;53;1019;425;26;30;200;112;109;72;54;54;66;53;27
2028;1181918;13186;4923;366;336517;4730;16621;43;1012;488;20;27;239;129;113;68;46;49;62;43;23
2029;1190181;13684;5973;401;341995;4750;16989;41;997;475;20;35;230;121;109;33;19;26;31;41;21
2030;1197892;14419;6651;408;347651;4758;17146;42;1017;513;28;28;248;152;113;69;45;45;63;42;14
2031;1205660;14571;6881;410;353173;4731;17555;28;1017;553;13;28;254;150;134;52;39;41;49;28;15
2032;1213350;13789;7173;422;357123;4695;17684;40;1082;569;18;33;251;159;144;53;34;42;51;40;22
2033;1219966;14022;7753;451;360452;4619;17946;29;1128;530;21;28;260;136;127;50;39;35;46;29;8
2034;1226235;14132;8470;461;363617;4609;18031;48;1074;565;18;28;234;181;140;38;30;33;36;48;30
2035;1231897;14237;9140;459;366767;4559;18297;45;1101;530;17;18;273;143;113;24;16;18;23;45;28
2036;1236994;13823;10055;455;370298;4558;18321;42;1077;553;21;40;242;161;131;69;49;52;63;42;21
2037;1240762;15127;10858;527;374435;4496;18605;42;1161;555;20;38;261;147;129;26;11;16;23;42;22
2038;1245031;14323;11588;455;379066;4474;18779;51;1105;555;28;32;263;156;132;44;30;35;41;51;23
2039;1247766;13696;12122;524;384352;4437;19106;42;1127;582;17;31;271;172;125;15;8;8;13;42;25
2040;1249340;14141;12643;536;389585;4437;19357;52;1127;567;23;28;273;152;137;47;29;32;43;52;29
2041;1250838;14009;12906;508;394942;4429;19483;47;1204;581;22;26;293;150;134;66;47;49;60;47;25
2042;1251941;15349;13061;498;400089;4394;19874;33;1109;554;19;34;262;140;137;57;45;47;54;33;14
