Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;0;0;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0;0;0;0;0;0
2024;0;0;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0;0;0;0;0;0
2025;0;0;0;0;17;215;120;108;130;2428;1388;4905;460;8851;8851;0;0;0;0;0;0
2026;0;0;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0;0;0;0;0;0
2027;0;0;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0;0;0;0;0;0
2028;0;0;0;0;16;250;132;117;122;2823;1527;5313;515;9785;9785;0;0;0;0;0;0
2029;0;0;0;0;27;248;123;118;206;2801;1423;5359;516;9789;9789;0;0;0;0;0;0
2030;0;0;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0;0;0;0;0;0
2031;0;0;0;0;22;268;157;142;168;3027;1816;6449;589;11460;11460;0;0;0;0;0;0
2032;0;0;0;0;24;268;169;155;184;3027;1955;7039;616;12205;12205;0;0;0;0;0;0
2033;0;0;0;0;22;273;143;136;168;3083;1654;6176;574;11081;11081;0;0;0;0;0;0
2034;0;0;0;0;19;249;187;148;145;2812;2163;6721;603;11841;11841;0;0;0;0;0;0
2035;0;0;0;0;14;290;144;125;107;3275;1666;5677;573;10725;10725;0;0;0;0;0;0
2036;0;0;0;0;30;254;164;143;229;2868;1897;6494;591;11488;11488;0;0;0;0;0;0
2037;0;0;0;0;29;274;151;133;222;3094;1747;6040;587;11103;11103;0;0;0;0;0;0
2038;0;0;0;0;29;273;155;132;222;3083;1793;5995;589;11093;11093;0;0;0;0;0;0
2039;0;0;0;0;28;295;174;137;214;3332;2013;6222;634;11781;11781;0;0;0;0;0;0
2040;0;0;0;0;18;283;158;151;138;3196;1828;6858;610;12020;12020;0;0;0;0;0;0
2041;0;0;0;0;18;310;154;143;138;3501;1781;6494;625;11914;11914;0;0;0;0;0;0
2042;0;0;0;0;26;276;146;145;199;3117;1689;6585;593;11590;11590;0;0;0;0;0;0
2043;0;0;0;0;17;302;170;138;130;3411;1966;6267;627;11774;11774;0;0;0;0;0;0
2044;0;0;0;0;33;311;177;156;252;3512;2047;7085;677;12896;12896;0;0;0;0;0;0
2045;0;0;0;0;39;295;178;163;298;3332;2059;7403;675;13092;13092;0;0;0;0;0;0
2046;0;0;0;0;26;286;196;146;199;3230;2267;6630;654;12326;12326;0;0;0;0;0;0
2047;0;0;0;0;27;277;178;145;206;3128;2059;6585;627;11978;11978;0;0;0;0;0;0
2048;0;0;0;0;16;293;178;156;122;3309;2059;7085;643;12575;12575;0;0;0;0;0;0
2049;0;0;0;0;27;333;186;133;206;3761;2152;6040;679;12159;12159;0;0;0;0;0;0
2050;0;0;0;0;23;295;158;141;176;3332;1828;6403;617;11739;11739;0;0;0;0;0;0
2051;0;0;0;0;23;313;173;165;176;3535;2001;7493;674;13205;13205;0;0;0;0;0;0
2052;0;0;0;0;27;306;187;149;206;3456;2163;6767;669;12592;12592;0;0;0;0;0;0
2053;0;0;0;0;28;301;174;149;214;3399;2013;6767;652;12393;12393;0;0;0;0;0;0
2054;0;0;0;0;33;309;204;167;252;3490;2360;7584;713;13686;13686;0;0;0;0;0;0
2055;0;0;0;0;30;306;195;188;229;3456;2256;8538;719;14479;14479;0;0;0;0;0;0
2056;0;0;0;0;30;311;183;185;229;3512;2117;8402;709;14260;14260;0;0;0;0;0;0
2057;0;0;0;0;29;283;183;161;222;3196;2117;7312;656;12847;12847;0;0;0;0;0;0
2058;0;0;0;0;33;321;189;168;252;3625;2186;7630;711;13693;13693;0;0;0;0;0;0
2059;0;0;0;0;29;338;213;175;222;3817;2464;7947;755;14450;14450;0;0;0;0;0;0
2060;0;0;0;0;23;314;210;156;176;3546;2429;7085;703;13236;13236;0;0;0;0;0;0
2061;0;0;0;0;27;321;198;147;206;3625;2290;6676;693;12797;12797;0;0;0;0;0;0
2062;0;0;0;0;34;343;195;173;260;3874;2256;7857;745;14247;14247;0;0;0;0;0;0
2063;0;0;0;0;32;329;182;158;245;3715;2105;7175;701;13240;13240;0;0;0;0;0;0
2064;0;0;0;0;30;333;190;155;229;3761;2198;7039;708;13227;13227;0;0;0;0;0;0
2065;0;0;0;0;27;339;182;166;206;3828;2105;7539;714;13678;13678;0;0;0;0;0;0
2066;0;0;0;0;30;322;200;153;229;3636;2313;6948;705;13126;13126;0;0;0;0;0;0
2067;0;0;0;0;30;329;198;155;229;3715;2290;7039;712;13273;13273;0;0;0;0;0;0
2068;0;0;0;0;30;316;179;177;229;3569;2071;8038;702;13907;13907;0;0;0;0;0;0
2069;0;0;0;0;25;367;202;169;191;4145;2337;7675;763;14348;14348;0;0;0;0;0;0
2070;0;0;0;0;26;311;202;144;199;3512;2337;6540;683;12588;12588;0;0;0;0;0;0
2071;0;0;0;0;41;330;182;166;314;3727;2105;7539;719;13685;13685;0;0;0;0;0;0
2072;0;0;0;0;23;342;213;164;176;3862;2464;7448;742;13950;13950;0;0;0;0;0;0
2073;0;0;0;0;26;343;192;163;199;3874;2221;7403;724;13697;13697;0;0;0;0;0;0
2074;0;0;0;0;27;356;171;166;206;4020;1978;7539;720;13743;13743;0;0;0;0;0;0
2075;0;0;0;0;26;317;218;155;199;3580;2522;7039;716;13340;13340;0;0;0;0;0;0
2076;0;0;0;0;21;303;168;153;161;3422;1943;6948;645;12474;12474;0;0;0;0;0;0
2077;0;0;0;0;30;302;164;155;229;3411;1897;7039;651;12576;12576;0;0;0;0;0;0
2078;0;0;0;0;32;304;180;152;245;3433;2082;6903;668;12663;12663;0;0;0;0;0;0
2079;0;0;0;0;33;310;181;139;252;3501;2094;6313;663;12160;12160;0;0;0;0;0;0
2080;0;0;0;0;36;313;167;148;275;3535;1932;6721;664;12463;12463;0;0;0;0;0;0
2081;0;0;0;0;35;318;222;143;268;3591;2568;6494;718;12921;12921;0;0;0;0;0;0
2082;0;0;0;0;38;312;159;169;291;3523;1839;7675;678;13328;13328;0;0;0;0;0;0
2083;0;0;0;0;28;330;180;138;214;3727;2082;6267;676;12290;12290;0;0;0;0;0;0
