Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;7786;483;23;190;125;109;176;2146;1446;4950;447;8718;8967;46.0;203.0;11.0;6.0;10.0;13.0;14.0
2024;8018;539;29;200;128;113;222;2259;1481;5132;470;9094;9368;47.0;227.0;109.0;80.0;80.0;100.0;31.0
2025;8120;472;27;214;123;107;206;2417;1423;4859;471;8905;9152;48.0;199.0;52.0;37.0;36.0;47.0;17.0
2026;8311;504;19;208;138;125;145;2349;1596;5677;490;9767;10028;49.0;212.0;12.0;7.0;7.0;13.0;16.0
2027;8424;522;24;216;110;116;184;2439;1272;5268;466;9163;9432;49.0;220.0;27.0;17.0;21.0;25.0;18.0
2028;8577;521;23;248;134;117;176;2801;1550;5313;522;9840;10109;50.0;219.0;17.0;9.0;13.0;16.0;16.0
2029;8646;525;36;240;123;117;275;2710;1423;5313;516;9721;9993;51.0;221.0;37.0;26.0;31.0;37.0;20.0
2030;8774;506;27;253;154;120;206;2857;1781;5450;554;10294;10558;51.0;213.0;42.0;26.0;29.0;38.0;21.0
2031;8996;516;27;261;159;140;206;2948;1839;6358;587;11351;11621;53.0;217.0;40.0;27.0;28.0;36.0;16.0
2032;9033;556;38;256;170;153;291;2891;1966;6948;617;12096;12383;53.0;234.0;65.0;42.0;48.0;61.0;21.0
2033;9204;558;30;268;144;132;229;3027;1666;5995;574;10917;11206;54.0;235.0;20.0;10.0;11.0;19.0;18.0
2034;9149;571;29;242;194;144;222;2733;2244;6540;609;11739;12033;54.0;240.0;44.0;30.0;35.0;42.0;25.0
2035;9316;570;21;281;141;124;161;3173;1631;5631;567;10596;10891;55.0;240.0;16.0;6.0;11.0;13.0;17.0
2036;9290;568;39;261;164;139;298;2948;1897;6313;603;11456;11749;54.0;239.0;72.0;54.0;55.0;66.0;24.0
2037;9445;587;35;270;152;130;268;3049;1758;5904;587;10979;11281;55.0;247.0;24.0;16.0;17.0;21.0;17.0
2038;9496;571;37;267;161;134;283;3015;1862;6085;599;11245;11541;56.0;240.0;56.0;39.0;41.0;54.0;28.0
2039;9722;609;31;284;174;136;237;3207;2013;6176;625;11633;11946;57.0;256.0;6.0;3.0;2.0;8.0;18.0
