Year;Fit;Colonoscopy;Fit Costs;Colonoscopy Costs;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;122618;7968;719;3355;137;229;193;121;1048;2586;2233;5495;680;11362;15436;661;483;517;621;531;284
2024;125234;8107;734;3413;151;189;158;115;1155;2134;1828;5223;613;10340;14487;642;443;473;598;555;288
2025;127809;7966;750;3354;71;146;115;74;543;1649;1330;3361;406;6883;10987;220;148;170;204;315;176
2026;129619;8017;760;3375;89;115;109;80;681;1299;1261;3633;393;6874;11009;357;252;266;333;296;153
2027;132086;8125;775;3421;89;115;91;65;681;1299;1053;2952;360;5985;10181;370;247;264;333;308;168
2028;133637;8405;784;3539;87;145;106;76;665;1638;1226;3451;414;6980;11303;410;290;309;384;328;160
2029;136031;8471;798;3566;87;131;93;61;665;1479;1076;2770;372;5990;10354;349;238;258;321;303;155
2030;138081;8536;810;3594;78;152;115;70;596;1717;1330;3179;415;6822;11226;335;230;243;308;328;173
2031;140541;8640;824;3637;95;150;120;74;726;1694;1388;3361;439;7169;11630;288;201;212;270;296;142
2032;142486;8927;836;3758;91;152;125;80;696;1717;1446;3633;448;7492;12086;378;259;285;349;319;163
2033;143673;8899;843;3747;78;146;97;81;596;1649;1122;3679;402;7046;11636;326;223;239;301;291;155
2034;145126;9033;851;3803;80;134;125;89;612;1513;1446;4042;428;7613;12267;340;228;253;311;336;188
2035;146187;9104;857;3833;71;149;108;70;543;1683;1249;3179;398;6654;11344;324;221;230;297;307;162
2036;147626;9105;866;3833;81;155;124;82;619;1750;1434;3724;442;7527;12226;320;218;233;291;323;174
2037;148916;9404;873;3959;78;168;110;66;596;1897;1272;2997;422;6762;11594;286;196;213;268;310;173
2038;150787;9378;884;3948;86;169;127;71;658;1909;1469;3224;453;7260;12092;409;285;304;377;336;176
2039;152669;9523;895;4009;87;152;133;80;665;1717;1538;3633;452;7553;12457;330;219;232;296;340;182
2040;155039;9711;909;4088;81;166;133;79;619;1875;1538;3588;459;7620;12617;314;218;244;290;340;181
2041;156767;9813;919;4131;93;162;126;77;711;1830;1458;3497;458;7496;12546;370;259;277;345;358;195
2042;159457;9721;935;4093;98;151;113;79;749;1705;1307;3588;441;7349;12377;408;289;303;375;353;191
2043;160875;10094;944;4250;78;169;145;62;596;1909;1677;2816;454;6998;12192;353;251;269;329;373;203
2044;163879;10141;961;4269;94;171;135;72;719;1931;1562;3270;472;7482;12712;367;256;270;335;375;213
