Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered;Polypectomies
2023;1122832;13958;859;320;309297;5147;0;0;0;433;0;17;188;121;107;0;0;0;0;0;0
2024;1135931;14995;1205;349;315831;4714;0;0;0;440;0;14;195;118;113;0;0;0;0;0;0
2025;1149721;13742;2000;326;321258;4757;0;0;0;460;0;17;215;120;108;0;0;0;0;0;0
2026;1161463;13459;3019;329;326568;4774;0;0;0;484;0;11;209;139;125;0;0;0;0;0;0
2027;1171903;14001;3986;386;331596;4807;0;0;0;460;0;18;214;111;117;0;0;0;0;0;0
2028;1181918;13186;4923;366;336517;4888;0;0;0;515;0;16;250;132;117;0;0;0;0;0;0
2029;1190181;13684;5973;401;341995;4924;0;0;0;516;0;27;248;123;118;0;0;0;0;0;0
2030;1197892;14419;6651;408;347651;4932;0;0;0;546;0;17;258;150;121;0;0;0;0;0;0
2031;1205660;14571;6884;413;353173;4914;0;0;0;589;0;22;268;157;142;0;0;0;0;0;0
2032;1213347;13789;7177;426;357122;4870;0;0;0;616;0;24;268;169;155;0;0;0;0;0;0
2033;1219959;14022;7758;456;360448;4787;0;0;0;574;0;22;273;143;136;0;0;0;0;0;0
2034;1226223;14132;8477;468;363610;4762;0;0;0;603;0;19;249;187;148;0;0;0;0;0;0
2035;1231878;14237;9152;471;366758;4722;0;0;0;573;0;14;290;144;125;0;0;0;0;0;0
2036;1236963;13823;10064;465;370284;4723;0;0;0;591;0;30;254;164;143;0;0;0;0;0;0
2037;1240722;15127;10875;548;374416;4665;0;0;0;587;0;29;274;151;133;0;0;0;0;0;0
2038;1244974;14323;11600;472;379038;4653;0;0;0;589;0;29;273;155;132;0;0;0;0;0;0
2039;1247697;13696;12129;535;384322;4633;0;0;0;634;0;28;295;174;137;0;0;0;0;0;0
2040;1249264;14141;12654;554;389555;4623;0;0;0;610;0;18;283;158;151;0;0;0;0;0;0
2041;1250751;14009;12916;529;394908;4624;0;0;0;625;0;18;310;154;143;0;0;0;0;0;0
2042;1251844;15349;13076;524;400052;4592;0;0;0;593;0;26;276;146;145;0;0;0;0;0;0
2043;1254117;13627;13478;549;405605;4583;0;0;0;627;0;17;302;170;138;0;0;0;0;0;0
2044;1254266;13053;13815;605;410905;4572;0;0;0;677;0;33;311;177;156;0;0;0;0;0;0
2045;1253504;13751;14084;580;416143;4500;0;0;0;675;0;39;295;178;163;0;0;0;0;0;0
2046;1253171;14025;14701;585;421111;4411;0;0;0;654;0;26;286;196;146;0;0;0;0;0;0
2047;1252495;14137;15137;642;424950;4354;0;0;0;627;0;27;277;178;145;0;0;0;0;0;0
2048;1251495;13608;15440;614;429107;4356;0;0;0;643;0;16;293;178;156;0;0;0;0;0;0
2049;1249663;13790;15600;635;432535;4329;0;0;0;679;0;27;333;186;133;0;0;0;0;0;0
2050;1247853;14471;15684;621;436444;4328;0;0;0;617;0;23;295;158;141;0;0;0;0;0;0
2051;1246640;13843;15411;598;440150;4343;0;0;0;674;0;23;313;173;165;0;0;0;0;0;0
2052;1245072;15150;15226;620;443595;4343;0;0;0;669;0;27;306;187;149;0;0;0;0;0;0
2053;1244996;14503;15215;600;446342;4314;0;0;0;652;0;28;301;174;149;0;0;0;0;0;0
2054;1244284;14804;14889;659;447851;4341;0;0;0;713;0;33;309;204;167;0;0;0;0;0;0
2055;1244199;12770;14631;690;448879;4300;0;0;0;719;0;30;306;195;188;0;0;0;0;0;0
2056;1242338;13838;14339;675;449364;4254;0;0;0;709;0;30;311;183;185;0;0;0;0;0;0
2057;1241837;14112;14502;682;449256;4208;0;0;0;656;0;29;283;183;161;0;0;0;0;0;0
2058;1241447;13736;14126;634;450753;4254;0;0;0;711;0;33;321;189;168;0;0;0;0;0;0
2059;1241057;14289;14155;673;452151;4220;0;0;0;755;0;29;338;213;175;0;0;0;0;0;0
2060;1241191;14066;14389;672;452859;4111;0;0;0;703;0;23;314;210;156;0;0;0;0;0;0
2061;1240868;14533;14774;669;453589;4099;0;0;0;693;0;27;321;198;147;0;0;0;0;0;0
2062;1240627;13441;14957;685;452756;4102;0;0;0;745;0;34;343;195;173;0;0;0;0;0;0
2063;1239111;13941;15179;688;451136;4049;0;0;0;701;0;32;329;182;158;0;0;0;0;0;0
2064;1237873;14242;15739;749;448810;4027;0;0;0;708;0;30;333;190;155;0;0;0;0;0;0
2065;1236376;13648;15774;722;445192;4028;0;0;0;714;0;27;339;182;166;0;0;0;0;0;0
2066;1234250;13664;16141;707;441620;3969;0;0;0;705;0;30;322;200;153;0;0;0;0;0;0
2067;1231773;14771;16168;704;439123;3982;0;0;0;712;0;30;329;198;155;0;0;0;0;0;0
2068;1230376;14618;16470;695;436957;3976;0;0;0;702;0;30;316;179;177;0;0;0;0;0;0
2069;1228524;14269;16705;745;432993;3968;0;0;0;763;0;25;367;202;169;0;0;0;0;0;0
2070;1226088;14760;16738;665;428429;3876;0;0;0;683;0;26;311;202;144;0;0;0;0;0;0
2071;1224110;14242;16726;748;424561;3886;0;0;0;719;0;41;330;182;166;0;0;0;0;0;0
2072;1221626;13311;17257;719;419082;3826;0;0;0;742;0;23;342;213;164;0;0;0;0;0;0
2073;1217680;15565;17363;776;415103;3720;0;0;0;724;0;26;343;192;163;0;0;0;0;0;0
2074;1215882;14112;17608;764;411662;3642;0;0;0;720;0;27;356;171;166;0;0;0;0;0;0
