Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;31440;1940;71;209;154;113;543;2360;1781;5132;547;9816;10817;184.0;817.0;325.0;243.0;246.0;302.0;114.0
2024;31908;2092;90;206;155;114;688;2326;1793;5177;565;9984;11052;187.0;881.0;459.0;337.0;341.0;427.0;144.0
2025;32803;1977;56;203;123;97;428;2293;1423;4405;479;8549;9573;192.0;832.0;198.0;139.0;157.0;190.0;72.0
2026;32950;1960;51;200;139;108;390;2259;1608;4905;498;9162;10180;193.0;825.0;202.0;139.0;151.0;189.0;66.0
2027;33911;2059;54;201;123;107;413;2270;1423;4859;485;8965;10031;199.0;867.0;173.0;118.0;117.0;151.0;90.0
2028;33920;2125;52;229;143;110;398;2586;1654;4996;534;9634;10728;199.0;895.0;171.0;119.0;129.0;161.0;75.0
2029;34807;2093;63;232;134;110;482;2620;1550;4996;539;9648;10733;204.0;881.0;185.0;136.0;143.0;172.0;86.0
2030;34993;2172;55;245;159;108;421;2767;1839;4905;567;9932;11051;205.0;914.0;152.0;100.0;103.0;138.0;86.0
2031;35973;2181;52;244;169;125;398;2756;1955;5677;590;10786;11915;211.0;918.0;189.0;141.0;143.0;177.0;76.0
2032;35989;2190;58;247;161;138;444;2789;1862;6267;604;11362;12495;211.0;922.0;256.0;188.0;195.0;235.0;81.0
2033;36747;2273;55;255;135;124;421;2880;1562;5631;569;10494;11667;216.0;957.0;178.0;120.0;129.0;163.0;70.0
2034;36712;2247;53;229;173;129;405;2586;2001;5858;584;10850;12011;215.0;946.0;132.0;83.0;100.0;123.0;67.0
2035;37357;2295;42;268;147;115;321;3027;1700;5223;572;10271;11456;219.0;966.0;129.0;81.0;97.0;119.0;78.0
2036;37346;2234;71;236;167;125;543;2665;1932;5677;599;10817;11977;219.0;941.0;198.0;136.0;148.0;188.0;81.0
2037;38027;2355;72;252;154;121;551;2846;1781;5495;599;10673;11887;223.0;991.0;193.0;130.0;140.0;180.0;77.0
2038;38180;2293;65;257;162;130;497;2902;1874;5904;614;11177;12366;224.0;965.0;224.0;154.0;167.0;205.0;93.0
2039;39091;2343;58;261;175;122;444;2948;2024;5541;616;10957;12172;229.0;986.0;157.0;102.0;106.0;140.0;83.0
2040;39223;2371;52;276;168;134;398;3117;1943;6085;630;11543;12771;230.0;998.0;159.0;114.0;119.0;152.0;99.0
2041;40010;2455;56;291;153;128;428;3286;1770;5813;628;11297;12566;235.0;1034.0;221.0;160.0;161.0;200.0;87.0
2042;40375;2391;59;243;145;130;451;2744;1677;5904;577;10776;12020;237.0;1007.0;188.0;135.0;145.0;173.0;68.0
