Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;0;0;17;215;120;108;130;2428;1388;4905;460;8851;8851;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2026;0;0;11;210;139;125;84;2372;1608;5677;485;9741;9741;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2027;0;0;18;214;112;117;138;2417;1296;5313;461;9164;9164;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2028;0;0;16;250;131;118;122;2823;1515;5359;515;9819;9819;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029;0;0;27;249;123;118;206;2812;1423;5359;517;9800;9800;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030;0;0;17;259;150;121;130;2925;1735;5495;547;10285;10285;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2031;0;0;22;268;157;142;168;3027;1816;6449;589;11460;11460;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2032;0;0;24;267;169;155;184;3015;1955;7039;615;12193;12193;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2033;0;0;22;275;143;136;168;3106;1654;6176;576;11104;11104;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2034;0;0;19;248;187;148;145;2801;2163;6721;602;11830;11830;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2035;0;0;14;290;144;125;107;3275;1666;5677;573;10725;10725;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;0;0;30;256;166;143;229;2891;1920;6494;595;11534;11534;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;0;0;31;274;152;132;237;3094;1758;5995;589;11084;11084;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2038;0;0;29;269;156;131;222;3038;1805;5949;585;11014;11014;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2039;0;0;27;295;173;139;206;3332;2001;6313;634;11852;11852;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2040;0;0;18;282;157;151;138;3185;1816;6858;608;11997;11997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2041;0;0;18;306;154;144;138;3456;1781;6540;622;11915;11915;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2042;0;0;26;275;146;143;199;3106;1689;6494;590;11488;11488;0.0;0.0;0.0;0.0;0.0;0.0;0.0
