Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14676;817;0;309298;5152;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0;0.0;0.0;0.0
2024;1136691;13977;1198;0;315832;4721;0;0;0;440.0;0.0;14.0;195.0;118.0;113.0;0.0;0.0;0.0;0.0;0.0
2025;1149470;14719;2079;0;321259;4745;0;0;0;461.0;0.0;17.0;215.0;121.0;108.0;0.0;0.0;0.0;0.0;0.0
2026;1162110;14415;3041;0;326570;4799;0;0;0;484.0;0.0;11.0;209.0;139.0;125.0;0.0;0.0;0.0;0.0;0.0
2027;1173484;12973;3958;0;331598;4826;0;0;0;461.0;0.0;18.0;215.0;111.0;117.0;0.0;0.0;0.0;0.0;0.0
2028;1182499;14267;4924;0;336515;4904;0;0;0;516.0;0.0;16.0;250.0;133.0;117.0;0.0;0.0;0.0;0.0;0.0
2029;1191842;14699;5939;0;341992;4911;0;0;0;516.0;0.0;27.0;248.0;123.0;118.0;0.0;0.0;0.0;0.0;0.0
2030;1200602;13996;6633;0;347660;4937;0;0;0;547.0;0.0;17.0;258.0;151.0;121.0;0.0;0.0;0.0;0.0;0.0
2031;1207965;12884;6977;0;353190;4930;0;0;0;591.0;0.0;22.0;269.0;157.0;143.0;0.0;0.0;0.0;0.0;0.0
2032;1213872;14251;7117;0;357125;4879;0;0;0;615.0;0.0;24.0;267.0;170.0;154.0;0.0;0.0;0.0;0.0;0.0
2033;1221006;13315;7665;0;360473;4802;0;0;0;576.0;0.0;22.0;274.0;144.0;136.0;0.0;0.0;0.0;0.0;0.0
2034;1226656;12779;8372;0;363597;4757;0;0;0;603.0;0.0;19.0;249.0;187.0;148.0;0.0;0.0;0.0;0.0;0.0
2035;1231063;13564;9135;0;366755;4720;0;0;0;572.0;0.0;14.0;290.0;143.0;125.0;0.0;0.0;0.0;0.0;0.0
2036;1235492;13659;10005;0;370278;4709;0;0;0;592.0;0.0;30.0;255.0;164.0;143.0;0.0;0.0;0.0;0.0;0.0
2037;1239146;14613;10914;0;374401;4660;0;0;0;588.0;0.0;29.0;274.0;152.0;133.0;0.0;0.0;0.0;0.0;0.0
2038;1242845;14330;11427;0;379068;4651;0;0;0;588.0;0.0;29.0;273.0;155.0;131.0;0.0;0.0;0.0;0.0;0.0
2039;1245748;14571;12256;0;384334;4637;0;0;0;637.0;0.0;28.0;296.0;175.0;138.0;0.0;0.0;0.0;0.0;0.0
2040;1248063;13207;12685;0;389537;4621;0;0;0;610.0;0.0;18.0;283.0;158.0;151.0;0.0;0.0;0.0;0.0;0.0
2041;1248585;13965;12810;0;394886;4611;0;0;0;624.0;0.0;18.0;308.0;154.0;144.0;0.0;0.0;0.0;0.0;0.0
2042;1249740;14249;13334;0;400072;4580;0;0;0;595.0;0.0;26.0;277.0;147.0;145.0;0.0;0.0;0.0;0.0;0.0
