Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13329;860;0;309296;5150;23736;80;1388;433.0;80.0;57.0;200.0;145.0;111.0;187.0;139.0;143.0;178.0;80.0
2024;1135301;14085;1221;0;315831;4637;23833;102;1456;422.0;102.0;70.0;199.0;141.0;114.0;327.0;240.0;244.0;304.0;102.0
2025;1148165;13785;2053;0;321256;4591;24723;48;1396;427.0;48.0;38.0;210.0;122.0;105.0;115.0;83.0;90.0;110.0;48.0
2026;1159897;14222;2956;0;326567;4597;24626;53;1456;450.0;53.0;36.0;204.0;141.0;122.0;121.0;85.0;89.0;115.0;53.0
2027;1171163;14609;4021;0;331595;4606;25531;73;1530;411.0;73.0;48.0;200.0;124.0;112.0;153.0;108.0;111.0;137.0;73.0
2028;1181751;13507;4954;0;336516;4669;25410;52;1514;475.0;52.0;40.0;238.0;140.0;109.0;105.0;74.0;80.0;101.0;52.0
2029;1190304;13711;5962;0;342000;4691;26139;69;1510;464.0;69.0;52.0;233.0;137.0;111.0;94.0;58.0;70.0;83.0;69.0
2030;1198053;13583;6506;0;347665;4711;26232;65;1525;497.0;65.0;59.0;243.0;152.0;108.0;230.0;164.0;168.0;213.0;65.0
2031;1205130;14769;6955;0;353193;4669;27023;68;1581;541.0;68.0;52.0;259.0;163.0;135.0;163.0;120.0;127.0;156.0;68.0
2032;1212944;14355;7277;0;357136;4585;26954;56;1587;544.0;56.0;44.0;249.0;164.0;143.0;127.0;85.0;90.0;114.0;56.0
2033;1220022;14464;7697;0;360456;4531;27579;54;1660;507.0;54.0;46.0;255.0;134.0;126.0;117.0;79.0;87.0;108.0;54.0
2034;1226789;14228;8307;0;363585;4479;27526;64;1606;541.0;64.0;54.0;235.0;180.0;136.0;148.0;98.0;112.0;139.0;64.0
2035;1232710;14040;9081;0;366774;4461;28033;66;1656;513.0;66.0;37.0;273.0;153.0;116.0;100.0;62.0;72.0;90.0;66.0
2036;1237669;14240;10135;0;370319;4458;27935;69;1595;528.0;69.0;62.0;240.0;166.0;129.0;198.0;144.0;147.0;188.0;69.0
2037;1241774;14410;11059;0;374448;4409;28534;53;1733;536.0;53.0;58.0;261.0;147.0;123.0;136.0;88.0;98.0;126.0;53.0
2038;1245125;13346;11666;0;379101;4362;28604;63;1639;539.0;63.0;45.0;259.0;163.0;135.0;120.0;81.0;91.0;110.0;63.0
2039;1246805;14023;12136;0;384380;4338;29329;53;1729;559.0;53.0;44.0;268.0;174.0;126.0;96.0;68.0;65.0;87.0;53.0
2040;1248692;14992;12560;0;389608;4354;29447;75;1675;543.0;75.0;50.0;275.0;162.0;131.0;114.0;73.0;81.0;108.0;75.0
2041;1251124;14441;12781;0;394944;4342;29968;61;1796;558.0;61.0;44.0;287.0;153.0;135.0;144.0;107.0;103.0;130.0;61.0
2042;1252784;14607;13012;0;400095;4312;30247;61;1722;534.0;61.0;58.0;259.0;144.0;134.0;166.0;122.0;127.0;155.0;61.0
