Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13556;790;0;309296;5148;125351;516;7424;433.0;516.0;267.0;275.0;279.0;128.0;1331.0;961.0;1029.0;1248.0;516.0
2024;1135598;14139;1225;0;315832;4199;128034;559;7560;341.0;559.0;308.0;232.0;242.0;118.0;1413.0;985.0;1049.0;1312.0;559.0
2025;1148512;14012;2001;0;321258;3766;130529;327;7655;271.0;327.0;181.0;180.0;150.0;87.0;770.0;535.0;585.0;719.0;327.0
2026;1160523;12774;3001;0;326570;3682;132358;285;7717;258.0;285.0;153.0;151.0;147.0;92.0;641.0;439.0;479.0;589.0;285.0
2027;1170296;14453;4020;0;331593;3624;134786;310;7816;230.0;310.0;158.0;145.0;155.0;82.0;633.0;417.0;459.0;580.0;310.0
2028;1180729;14599;5033;0;336510;3627;136404;317;8075;243.0;317.0;164.0;168.0;140.0;88.0;757.0;514.0;559.0;705.0;317.0
2029;1190295;13476;5952;0;341994;3615;138754;301;8162;225.0;301.0;157.0;155.0;138.0;76.0;665.0;462.0;499.0;618.0;301.0
2030;1197819;13858;6539;0;347660;3630;140899;330;8193;259.0;330.0;169.0;164.0;173.0;83.0;733.0;499.0;541.0;678.0;330.0
2031;1205138;13251;6891;0;353200;3564;143371;320;8350;280.0;320.0;169.0;172.0;169.0;90.0;735.0;509.0;536.0;677.0;320.0
2032;1211498;13758;7121;0;357147;3511;145383;326;8612;288.0;326.0;166.0;183.0;174.0;91.0;771.0;533.0;572.0;706.0;326.0
2033;1218135;14308;7699;0;360482;3424;146584;301;8612;263.0;301.0;158.0;182.0;140.0;84.0;624.0;431.0;469.0;582.0;301.0
2034;1224744;14664;8314;0;363669;3400;148033;323;8705;285.0;323.0;174.0;169.0;168.0;97.0;834.0;578.0;620.0;767.0;323.0
2035;1231094;14219;9383;0;366833;3379;149139;301;8815;252.0;301.0;144.0;172.0;152.0;85.0;526.0;340.0;379.0;482.0;301.0
2036;1235930;14288;10018;0;370393;3378;150601;316;8776;295.0;316.0;168.0;172.0;178.0;93.0;705.0;491.0;528.0;652.0;316.0
2037;1240200;13108;10680;0;374524;3308;151953;289;9092;281.0;289.0;152.0;180.0;167.0;71.0;652.0;440.0;469.0;593.0;289.0
2038;1242628;12699;11591;0;379212;3281;153891;328;9044;289.0;328.0;175.0;196.0;158.0;88.0;773.0;521.0;590.0;723.0;328.0
2039;1243736;13722;12046;0;384487;3273;155823;347;9180;307.0;347.0;182.0;184.0;194.0;94.0;767.0;535.0;576.0;714.0;347.0
2040;1245412;14679;12459;0;389717;3224;158220;361;9363;310.0;361.0;154.0;206.0;204.0;107.0;601.0;417.0;458.0;553.0;361.0
2041;1247632;13258;12950;0;395117;3173;160012;339;9460;292.0;339.0;170.0;194.0;180.0;87.0;804.0;568.0;597.0;740.0;339.0
2042;1247940;13692;13150;0;400286;3137;162710;339;9367;275.0;339.0;187.0;173.0;164.0;90.0;767.0;537.0;569.0;709.0;339.0
