Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125350;7947;267;276;281;129;2042;3117;3250;5858;953;14267;18474;861.0;3346.0;1343.0;971.0;1036.0;1257.0;520.0
2024;128041;8114;307;231;238;118;2348;2609;2753;5359;894;13069;17364;879.0;3416.0;1404.0;977.0;1041.0;1304.0;553.0
2025;130533;7979;182;178;150;86;1392;2010;1735;3906;596;9043;13298;896.0;3359.0;777.0;544.0;593.0;726.0;324.0
2026;132359;8004;159;157;144;90;1216;1773;1666;4087;550;8742;13021;909.0;3370.0;674.0;461.0;497.0;619.0;292.0
2027;134781;8116;156;148;149;82;1193;1671;1724;3724;535;8312;12654;925.0;3417.0;631.0;413.0;453.0;576.0;304.0
2028;136405;8394;157;164;148;88;1201;1852;1712;3996;557;8761;13231;936.0;3534.0;743.0;508.0;550.0;688.0;318.0
2029;138760;8469;161;154;141;78;1231;1739;1631;3542;534;8143;12661;953.0;3565.0;685.0;480.0;513.0;638.0;306.0
2030;140893;8528;175;164;171;83;1338;1852;1978;3769;593;8937;13494;967.0;3590.0;756.0;518.0;565.0;706.0;334.0
2031;143364;8656;165;174;167;88;1262;1965;1932;3996;594;9155;13783;984.0;3644.0;694.0;477.0;499.0;638.0;310.0
2032;145391;8937;160;181;177;93;1224;2044;2047;4224;611;9539;14300;998.0;3763.0;746.0;515.0;550.0;676.0;324.0
2033;146579;8923;159;186;137;83;1216;2101;1585;3769;565;8671;13434;1006.0;3757.0;655.0;453.0;494.0;612.0;306.0
2034;148036;9025;166;169;169;96;1269;1909;1955;4360;600;9493;14309;1016.0;3800.0;800.0;558.0;596.0;738.0;321.0
2035;149150;9105;138;169;156;83;1055;1909;1805;3769;546;8538;13395;1024.0;3833.0;511.0;324.0;367.0;468.0;293.0
2036;150602;9100;181;169;171;93;1384;1909;1978;4224;614;9495;14360;1034.0;3831.0;693.0;469.0;515.0;642.0;323.0
2037;151956;9394;161;185;175;69;1231;2089;2024;3134;590;8478;13476;1043.0;3955.0;705.0;489.0;512.0;642.0;306.0
2038;153883;9387;178;198;176;88;1361;2236;2036;3996;640;9629;14637;1056.0;3952.0;821.0;564.0;627.0;766.0;344.0
2039;155807;9520;182;187;181;96;1392;2112;2094;4360;646;9958;15036;1070.0;4008.0;742.0;509.0;550.0;686.0;339.0
2040;158237;9705;149;201;199;107;1139;2270;2302;4859;656;10570;15742;1086.0;4086.0;580.0;405.0;447.0;538.0;340.0
2041;159997;9812;180;181;188;87;1377;2044;2175;3951;636;9547;14776;1098.0;4131.0;860.0;601.0;652.0;794.0;350.0
2042;162722;9714;199;168;165;89;1522;1897;1909;4042;621;9370;14577;1117.0;4090.0;824.0;573.0;616.0;761.0;347.0
