Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125348;7986;288;282;287;136;2202;3185;3320;6176;993;14883;18980;735.0;3362.0;1431.0;1031.0;1103.0;1341.0;560.0
2024;128041;8154;333;234;248;116;2547;2643;2869;5268;931;13327;17511;751.0;3433.0;1517.0;1056.0;1128.0;1411.0;594.0
2025;130528;7973;171;175;150;81;1308;1976;1735;3679;577;8698;12821;766.0;3357.0;720.0;500.0;551.0;676.0;317.0
2026;132345;8006;156;145;144;93;1193;1638;1666;4224;538;8721;12868;776.0;3371.0;661.0;454.0;488.0;607.0;290.0
2027;134782;8135;165;147;147;81;1262;1660;1700;3679;540;8301;12516;790.0;3425.0;662.0;438.0;473.0;603.0;318.0
2028;136406;8384;154;163;150;86;1178;1841;1735;3906;553;8660;12990;800.0;3530.0;721.0;491.0;536.0;673.0;317.0
2029;138761;8473;163;147;145;74;1247;1660;1677;3361;529;7945;12326;814.0;3567.0;690.0;477.0;525.0;642.0;307.0
2030;140894;8541;173;172;172;85;1323;1942;1990;3860;602;9115;13537;826.0;3596.0;746.0;505.0;546.0;689.0;345.0
2031;143378;8669;174;170;171;87;1331;1920;1978;3951;602;9180;13671;841.0;3650.0;767.0;537.0;553.0;707.0;322.0
2032;145377;8950;177;178;173;86;1354;2010;2001;3906;614;9271;13892;853.0;3768.0;810.0;565.0;604.0;742.0;336.0
2033;146595;8924;165;182;133;80;1262;2055;1538;3633;560;8488;13105;860.0;3757.0;693.0;478.0;523.0;648.0;303.0
2034;148016;9024;164;167;167;100;1254;1886;1932;4541;598;9613;14280;868.0;3799.0;805.0;559.0;599.0;742.0;326.0
2035;149152;9135;136;176;162;86;1040;1988;1874;3906;560;8808;13529;875.0;3846.0;433.0;271.0;312.0;401.0;313.0
2036;150604;9112;177;167;171;97;1354;1886;1978;4405;612;9623;14342;883.0;3836.0;718.0;484.0;532.0;665.0;329.0
2037;151942;9390;166;177;166;72;1269;1999;1920;3270;581;8458;13302;891.0;3953.0;715.0;486.0;520.0;648.0;301.0
2038;153891;9400;180;197;173;86;1377;2225;2001;3906;636;9509;14369;903.0;3957.0;849.0;585.0;653.0;794.0;351.0
2039;155779;9530;181;175;194;94;1384;1976;2244;4269;644;9873;14799;914.0;4012.0;745.0;515.0;558.0;691.0;347.0
2040;158228;9721;156;193;197;105;1193;2180;2279;4768;651;10420;15441;928.0;4093.0;589.0;411.0;448.0;540.0;349.0
2041;159970;9830;190;195;184;88;1453;2202;2128;3996;657;9779;14855;938.0;4138.0;907.0;635.0;682.0;841.0;370.0
2042;162755;9704;197;168;159;85;1507;1897;1839;3860;609;9103;14143;955.0;4085.0;843.0;578.0;622.0;776.0;340.0
