Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125350;5419;265;275;285;128;2027;3106;3297;5813;953;14243;17259;735.0;2281.0;1327.0;959.0;1027.0;1244.0;520.0
2024;128041;5622;306;232;238;118;2340;2620;2753;5359;894;13072;16190;751.0;2367.0;1391.0;967.0;1032.0;1294.0;553.0
2025;130524;5500;185;182;148;89;1415;2055;1712;4042;604;9224;12306;766.0;2316.0;791.0;552.0;606.0;742.0;332.0
2026;132362;5423;150;155;150;89;1147;1750;1735;4042;544;8674;11733;776.0;2283.0;630.0;430.0;469.0;579.0;285.0
2027;134789;5601;148;142;144;84;1132;1604;1666;3815;518;8217;11366;791.0;2358.0;551.0;351.0;389.0;500.0;288.0
2028;136408;5615;160;162;143;88;1224;1830;1654;3996;553;8704;11868;800.0;2364.0;771.0;526.0;567.0;714.0;313.0
2029;138745;5769;163;155;151;79;1247;1750;1747;3588;548;8332;11575;814.0;2429.0;738.0;521.0;558.0;684.0;321.0
2030;140894;5789;171;166;177;82;1308;1875;2047;3724;596;8954;12217;826.0;2437.0;763.0;522.0;567.0;707.0;335.0
2031;143365;5883;172;173;164;90;1315;1954;1897;4087;599;9253;12571;841.0;2477.0;683.0;469.0;489.0;629.0;313.0
2032;145392;6001;168;182;166;88;1285;2055;1920;3996;604;9256;12635;853.0;2526.0;787.0;543.0;583.0;719.0;320.0
2033;146583;6091;160;189;140;80;1224;2134;1619;3633;569;8610;12034;860.0;2564.0;664.0;466.0;505.0;621.0;302.0
2034;148038;6134;169;173;168;101;1292;1954;1943;4587;611;9776;13226;868.0;2582.0;781.0;545.0;579.0;721.0;327.0
2035;149136;6201;137;176;159;88;1048;1988;1839;3996;560;8871;12357;875.0;2611.0;519.0;330.0;377.0;479.0;307.0
2036;150603;6206;166;176;175;92;1269;1988;2024;4178;609;9459;12955;883.0;2613.0;668.0;458.0;501.0;620.0;316.0
2037;151942;6331;159;176;172;71;1216;1988;1990;3224;578;8418;11974;891.0;2665.0;688.0;471.0;504.0;629.0;300.0
2038;153884;6339;174;196;176;88;1331;2213;2036;3996;634;9576;13148;903.0;2669.0;791.0;529.0;600.0;736.0;339.0
2039;155798;6481;181;183;192;91;1384;2067;2221;4133;647;9805;13448;914.0;2729.0;760.0;527.0;563.0;703.0;340.0
2040;158207;6638;155;199;192;105;1185;2247;2221;4768;651;10421;14144;928.0;2795.0;620.0;430.0;471.0;575.0;344.0
2041;159979;6708;187;196;186;84;1430;2213;2152;3815;653;9610;13372;938.0;2824.0;868.0;610.0;649.0;801.0;364.0
2042;162716;6574;186;174;168;90;1422;1965;1943;4087;618;9417;13139;954.0;2768.0;753.0;524.0;558.0;689.0;341.0
