Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;15332;812;0;309296;5141;125350;520;4899;433.0;520.0;265.0;275.0;285.0;128.0;1327.0;959.0;1027.0;1244.0;520.0
2024;1137352;13388;1276;0;315834;4190;128041;553;5069;341.0;553.0;306.0;232.0;238.0;118.0;1391.0;967.0;1032.0;1294.0;553.0
2025;1149464;14072;2049;0;321257;3781;130524;332;5168;272.0;332.0;185.0;182.0;148.0;89.0;791.0;552.0;606.0;742.0;332.0
2026;1161487;14201;3064;0;326566;3665;132362;285;5138;259.0;285.0;150.0;155.0;150.0;89.0;630.0;430.0;469.0;579.0;285.0
2027;1172624;14112;3880;0;331593;3634;134789;288;5313;230.0;288.0;148.0;142.0;144.0;84.0;551.0;351.0;389.0;500.0;288.0
2028;1182856;14567;5055;0;336514;3661;136408;313;5302;240.0;313.0;160.0;162.0;143.0;88.0;771.0;526.0;567.0;714.0;313.0
2029;1192368;14393;5921;0;341990;3657;138745;321;5448;227.0;321.0;163.0;155.0;151.0;79.0;738.0;521.0;558.0;684.0;321.0
2030;1200840;14871;6546;0;347653;3639;140894;335;5454;261.0;335.0;171.0;166.0;177.0;82.0;763.0;522.0;567.0;707.0;335.0
2031;1209165;13099;6936;0;353196;3579;143365;313;5570;286.0;313.0;172.0;173.0;164.0;90.0;683.0;469.0;489.0;629.0;313.0
2032;1215328;14170;7293;0;357163;3492;145392;320;5681;284.0;320.0;168.0;182.0;166.0;88.0;787.0;543.0;583.0;719.0;320.0
2033;1222205;13318;7753;0;360496;3430;146583;302;5789;267.0;302.0;160.0;189.0;140.0;80.0;664.0;466.0;505.0;621.0;302.0
2034;1227770;13556;8442;0;363669;3394;148038;327;5807;284.0;327.0;169.0;173.0;168.0;101.0;781.0;545.0;579.0;721.0;327.0
2035;1232884;13015;9116;0;366825;3373;149136;307;5894;253.0;307.0;137.0;176.0;159.0;88.0;519.0;330.0;377.0;479.0;307.0
2036;1236783;13512;9960;0;370388;3351;150603;316;5890;293.0;316.0;166.0;176.0;175.0;92.0;668.0;458.0;501.0;620.0;316.0
2037;1240335;13842;10844;0;374543;3305;151942;300;6031;278.0;300.0;159.0;176.0;172.0;71.0;688.0;471.0;504.0;629.0;300.0
2038;1243333;13772;11392;0;379189;3302;153884;339;6000;295.0;339.0;174.0;196.0;176.0;88.0;791.0;529.0;600.0;736.0;339.0
2039;1245713;13185;12049;0;384466;3248;155798;340;6141;307.0;340.0;181.0;183.0;192.0;91.0;760.0;527.0;563.0;703.0;340.0
2040;1246849;14154;12376;0;389698;3213;158207;344;6294;307.0;344.0;155.0;199.0;192.0;105.0;620.0;430.0;471.0;575.0;344.0
2041;1248627;13606;12946;0;395074;3189;159979;364;6344;289.0;364.0;187.0;196.0;186.0;84.0;868.0;610.0;649.0;801.0;364.0
2042;1249287;13934;13260;0;400280;3114;162716;341;6233;277.0;341.0;186.0;174.0;168.0;90.0;753.0;524.0;558.0;689.0;341.0
