Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;184285;11524;373;308;320;155;2852;3478;3702;7039;1156;17071;23004;1081.0;4852.0;1915.0;1357.0;1473.0;1782.0;723.0
2024;187933;11831;437;252;302;133;3342;2846;3493;6040;1124;15721;21804;1102.0;4981.0;2217.0;1551.0;1652.0;2041.0;798.0
2025;191338;11545;204;158;169;83;1560;1784;1955;3769;614;9068;15051;1122.0;4861.0;1003.0;691.0;761.0;932.0;395.0
2026;195261;11700;210;142;169;78;1606;1604;1955;3542;599;8707;14778;1145.0;4926.0;1007.0;685.0;751.0;931.0;396.0
2027;199114;11987;188;139;164;78;1438;1570;1897;3542;569;8447;14662;1168.0;5047.0;863.0;594.0;643.0;797.0;390.0
2028;203562;12295;184;146;144;80;1407;1649;1666;3633;554;8355;14725;1194.0;5176.0;863.0;605.0;648.0;799.0;368.0
2029;207648;12567;204;143;152;56;1560;1615;1758;2543;555;7476;13985;1218.0;5291.0;1005.0;695.0;751.0;927.0;398.0
2030;211977;12743;206;146;171;82;1575;1649;1978;3724;605;8926;15534;1243.0;5365.0;963.0;648.0;700.0;882.0;421.0
2031;215384;12965;193;144;187;67;1476;1626;2163;3043;591;8308;15029;1263.0;5458.0;857.0;582.0;636.0;794.0;382.0
2032;218881;13209;188;154;170;81;1438;1739;1966;3679;593;8822;15667;1284.0;5561.0;869.0;600.0;640.0;802.0;366.0
2033;221459;13201;191;146;156;63;1461;1649;1805;2861;556;7776;14633;1299.0;5558.0;823.0;568.0;618.0;756.0;374.0
2034;224904;13528;192;139;187;87;1468;1570;2163;3951;605;9152;16166;1319.0;5695.0;876.0;596.0;657.0;807.0;398.0
2035;226612;13629;182;159;174;72;1392;1796;2013;3270;587;8471;15538;1329.0;5738.0;929.0;646.0;693.0;854.0;393.0
2036;229310;13781;214;150;172;81;1637;1694;1990;3679;617;9000;16147;1345.0;5802.0;1008.0;695.0;768.0;932.0;407.0
2037;230817;14075;200;146;163;62;1529;1649;1885;2816;571;7879;15159;1354.0;5926.0;964.0;662.0;703.0;884.0;359.0
2038;232535;13864;203;178;164;78;1552;2010;1897;3542;623;9001;16202;1364.0;5837.0;924.0;634.0;695.0;862.0;401.0
2039;233791;14054;203;155;193;80;1552;1750;2233;3633;631;9168;16456;1371.0;5917.0;876.0;605.0;650.0;805.0;409.0
2040;235382;14230;199;175;183;86;1522;1976;2117;3906;643;9521;16893;1381.0;5991.0;981.0;684.0;718.0;900.0;409.0
2041;236503;14288;204;169;175;83;1560;1909;2024;3769;631;9262;16664;1387.0;6015.0;885.0;595.0;651.0;825.0;394.0
2042;237805;14094;207;158;171;73;1583;1784;1978;3315;609;8660;15989;1395.0;5934.0;948.0;657.0;726.0;873.0;392.0
2043;238704;14329;202;181;189;70;1545;2044;2186;3179;642;8954;16387;1400.0;6033.0;1033.0;722.0;780.0;959.0;413.0
2044;239660;14509;259;186;184;81;1981;2101;2128;3679;710;9889;17403;1406.0;6108.0;1161.0;808.0;871.0;1079.0;449.0
2045;240407;14447;208;163;186;99;1591;1841;2152;4496;656;10080;17572;1410.0;6082.0;945.0;660.0;711.0;867.0;400.0
2046;241765;14218;220;154;198;74;1682;1739;2290;3361;646;9072;16476;1418.0;5986.0;1013.0;695.0;759.0;952.0;418.0
2047;242261;14303;223;158;204;80;1705;1784;2360;3633;665;9482;16925;1421.0;6022.0;1078.0;764.0;815.0;996.0;452.0
2048;243601;14648;188;149;188;85;1438;1683;2175;3860;610;9156;16752;1429.0;6167.0;831.0;583.0;637.0;775.0;394.0
2049;245265;14387;222;201;217;57;1698;2270;2510;2589;697;9067;16562;1438.0;6057.0;1056.0;725.0;788.0;971.0;434.0
2050;245940;14685;218;156;204;78;1667;1762;2360;3542;656;9331;16955;1442.0;6182.0;1032.0;715.0;770.0;944.0;443.0
2051;248008;14826;193;166;198;96;1476;1875;2290;4360;653;10001;17698;1455.0;6242.0;891.0;616.0;675.0;830.0;410.0
2052;249356;14840;233;164;203;85;1782;1852;2348;3860;685;9842;17552;1462.0;6248.0;1137.0;819.0;857.0;1057.0;447.0
2053;250791;14927;203;189;196;74;1552;2134;2267;3361;662;9314;17069;1471.0;6284.0;952.0;658.0;732.0;885.0;421.0
2054;251993;15077;266;191;207;94;2034;2157;2394;4269;758;10854;18679;1478.0;6347.0;1292.0;901.0;953.0;1188.0;477.0
2055;253022;15316;241;179;220;99;1843;2021;2545;4496;739;10905;18837;1484.0;6448.0;1162.0;798.0;882.0;1080.0;457.0
2056;252719;15221;243;191;181;91;1858;2157;2094;4133;706;10242;18132;1482.0;6408.0;1182.0;817.0;866.0;1087.0;445.0
2057;252666;15368;271;190;182;96;2072;2146;2105;4360;739;10683;18635;1482.0;6470.0;1222.0;837.0;912.0;1128.0;489.0
2058;252813;15222;254;178;208;90;1942;2010;2406;4087;730;10445;18337;1483.0;6409.0;1055.0;736.0;786.0;966.0;480.0
2059;253419;15280;218;177;215;94;1667;1999;2487;4269;704;10422;18341;1486.0;6433.0;931.0;638.0;700.0;867.0;421.0
2060;252216;15068;235;200;195;84;1797;2259;2256;3815;714;10127;17950;1479.0;6344.0;1092.0;767.0;824.0;1009.0;471.0
2061;251542;15060;251;170;216;92;1919;1920;2499;4178;729;10516;18331;1475.0;6340.0;1025.0;702.0;762.0;952.0;478.0
2062;250483;15162;234;178;195;103;1789;2010;2256;4678;710;10733;18585;1469.0;6383.0;1123.0;779.0;846.0;1032.0;444.0
2063;248046;15095;227;212;208;96;1736;2394;2406;4360;743;10896;18706;1455.0;6355.0;1050.0;719.0;788.0;972.0;467.0
2064;246953;14926;204;189;205;73;1560;2134;2371;3315;671;9380;17112;1448.0;6284.0;901.0;610.0;664.0;824.0;413.0
2065;244759;14727;211;186;176;87;1614;2101;2036;3951;660;9702;17338;1436.0;6200.0;854.0;578.0;650.0;793.0;410.0
2066;242602;14662;214;192;192;77;1637;2168;2221;3497;675;9523;17119;1423.0;6173.0;962.0;680.0;720.0;889.0;424.0
2067;239978;14340;232;162;184;81;1774;1830;2128;3679;659;9411;16855;1407.0;6037.0;925.0;605.0;688.0;864.0;412.0
2068;237961;14481;212;190;184;95;1621;2146;2128;4314;681;10209;17702;1396.0;6097.0;864.0;592.0;640.0;799.0;394.0
2069;236705;14498;203;190;220;95;1552;2146;2545;4314;708;10557;18049;1388.0;6104.0;718.0;466.0;547.0;677.0;408.0
2070;233805;14086;212;163;207;98;1621;1841;2394;4451;680;10307;17608;1371.0;5930.0;842.0;571.0;621.0;777.0;407.0
2071;232159;14084;208;182;195;101;1591;2055;2256;4587;686;10489;17780;1362.0;5929.0;881.0;614.0;658.0;813.0;411.0
2072;229904;13678;206;210;208;96;1575;2372;2406;4360;720;10713;17820;1348.0;5759.0;949.0;677.0;714.0;878.0;401.0
2073;228736;13808;181;208;194;91;1384;2349;2244;4133;674;10110;17265;1342.0;5813.0;839.0;586.0;639.0;786.0;384.0
2074;225955;13678;197;210;174;90;1507;2372;2013;4087;671;9979;17063;1325.0;5759.0;901.0;637.0;671.0;830.0;374.0
2075;225569;13511;200;173;173;83;1529;1954;2001;3769;629;9253;16264;1323.0;5688.0;775.0;533.0;579.0;716.0;366.0
2076;222668;13418;179;182;190;82;1369;2055;2198;3724;633;9346;16301;1306.0;5649.0;832.0;582.0;632.0;771.0;370.0
2077;223021;13431;197;183;186;83;1507;2067;2152;3769;649;9495;16458;1308.0;5655.0;798.0;550.0;609.0;751.0;383.0
2078;220602;13215;203;181;180;86;1552;2044;2082;3906;650;9584;16442;1294.0;5564.0;924.0;640.0;683.0;850.0;379.0
2079;220668;13226;175;206;190;71;1338;2326;2198;3224;642;9086;15948;1294.0;5568.0;790.0;544.0;583.0;729.0;369.0
2080;218381;13150;195;192;158;89;1491;2168;1828;4042;634;9529;16346;1281.0;5536.0;888.0;614.0;648.0;813.0;363.0
2081;219137;13184;201;195;182;90;1537;2202;2105;4087;668;9931;16767;1285.0;5551.0;829.0;571.0;622.0;767.0;383.0
2082;216720;13037;182;178;181;82;1392;2010;2094;3724;623;9220;15980;1271.0;5489.0;808.0;566.0;602.0;735.0;354.0
2083;216660;13183;192;216;185;74;1468;2439;2140;3361;667;9408;16229;1271.0;5550.0;780.0;526.0;586.0;720.0;390.0
2084;214283;12969;198;199;178;84;1514;2247;2059;3815;659;9635;16352;1257.0;5460.0;831.0;583.0;620.0;772.0;379.0
2085;213618;12800;192;207;196;98;1468;2338;2267;4451;693;10524;17166;1253.0;5389.0;884.0;606.0;663.0;817.0;391.0
2086;211673;12588;177;182;165;84;1354;2055;1909;3815;608;9133;15674;1241.0;5300.0;790.0;540.0;581.0;727.0;338.0
2087;211411;12771;190;165;182;81;1453;1863;2105;3679;618;9100;15717;1240.0;5377.0;779.0;510.0;582.0;723.0;359.0
2088;208373;12339;207;173;187;78;1583;1954;2163;3542;645;9242;15659;1222.0;5195.0;813.0;544.0;622.0;757.0;372.0
2089;209193;12486;183;180;182;81;1399;2033;2105;3679;626;9216;15700;1227.0;5257.0;882.0;634.0;673.0;822.0;352.0
2090;205885;12395;189;160;195;86;1445;1807;2256;3906;630;9414;15840;1208.0;5218.0;923.0;642.0;690.0;847.0;360.0
2091;206924;12360;206;167;175;90;1575;1886;2024;4087;638;9572;15990;1214.0;5204.0;832.0;556.0;615.0;754.0;382.0
2092;204737;12323;191;162;178;92;1461;1830;2059;4178;623;9528;15917;1201.0;5188.0;857.0;591.0;648.0;796.0;354.0
2093;206882;12358;167;159;182;79;1277;1796;2105;3588;587;8766;15182;1213.0;5203.0;824.0;573.0;622.0;761.0;335.0
2094;202639;12088;180;151;175;69;1377;1705;2024;3134;575;8240;14517;1188.0;5089.0;783.0;532.0;587.0;716.0;349.0
2095;204949;12287;184;178;190;74;1407;2010;2198;3361;626;8976;15351;1202.0;5173.0;741.0;502.0;552.0;688.0;371.0
2096;202306;12121;174;195;179;61;1331;2202;2071;2770;609;8374;14664;1187.0;5103.0;829.0;572.0;615.0;757.0;336.0
2097;205030;12308;189;180;190;97;1445;2033;2198;4405;656;10081;16466;1203.0;5182.0;700.0;470.0;524.0;644.0;371.0
2098;201750;12116;160;165;164;84;1224;1863;1897;3815;573;8799;15083;1183.0;5101.0;731.0;493.0;532.0;665.0;322.0
2099;206305;12538;199;172;212;93;1522;1942;2452;4224;676;10140;16629;1210.0;5279.0;961.0;675.0;720.0;891.0;372.0
2100;202159;11926;181;158;141;88;1384;1784;1631;3996;568;8795;15002;1186.0;5021.0;755.0;496.0;552.0;697.0;310.0
2101;205246;12331;201;188;182;70;1537;2123;2105;3179;641;8944;15339;1204.0;5191.0;849.0;580.0;649.0;805.0;377.0
2102;201823;12084;190;167;175;91;1453;1886;2024;4133;623;9496;15767;1184.0;5087.0;805.0;569.0;590.0;739.0;367.0
2103;206414;12435;204;158;176;88;1560;1784;2036;3996;626;9376;15822;1211.0;5235.0;825.0;562.0;601.0;754.0;371.0
2104;202849;12317;181;148;169;78;1384;1671;1955;3542;576;8552;14928;1190.0;5186.0;787.0;543.0;585.0;730.0;343.0
2105;205604;12317;170;183;165;87;1300;2067;1909;3951;605;9227;15619;1206.0;5186.0;737.0;501.0;547.0;681.0;328.0
2106;202440;11992;143;176;174;63;1094;1988;2013;2861;556;7956;14192;1187.0;5049.0;703.0;483.0;526.0;646.0;301.0
2107;206670;12323;177;168;151;82;1354;1897;1747;3724;578;8722;15122;1212.0;5188.0;776.0;530.0;577.0;725.0;340.0
2108;202755;12033;168;172;176;82;1285;1942;2036;3724;598;8987;15242;1189.0;5066.0;775.0;521.0;567.0;707.0;329.0
2109;206542;12388;186;177;162;79;1422;1999;1874;3588;604;8883;15309;1211.0;5215.0;801.0;545.0;574.0;734.0;336.0
2110;202914;12197;191;160;175;91;1461;1807;2024;4133;617;9425;15750;1190.0;5135.0;827.0;562.0;617.0;765.0;352.0
2111;207114;12468;176;183;164;88;1346;2067;1897;3996;611;9306;15770;1215.0;5249.0;682.0;453.0;495.0;631.0;341.0
2112;202756;12303;193;175;184;86;1476;1976;2128;3906;638;9486;15855;1189.0;5180.0;803.0;550.0;604.0;751.0;384.0
2113;207901;12443;179;176;173;71;1369;1988;2001;3224;599;8582;15040;1219.0;5239.0;849.0;598.0;628.0;783.0;345.0
