;Total Cost M CLP;Percentage Cost;Inverted Percentage Cost;DifferenceCosts;DALYGained;Percentage DALY;Inverted Percentage DALY;Efficacy Ratio;YearsGained;Percentage Years;Inverted Percentage Years;AsymptomaticTreatments;SymptomaticTreatments;Cancer Treatments;StageI;StageII;StageIII;StageIV;StageI%;StageII%;StageIII%;StageIV%;HYearsGained;DFYearsGained
"60-75
(15)";2 600 602;91.59%;8.41%;-238796;82 086;64.56%;35.44%;4.21;88844.0;0.6464814046730264;0.3535185953269736;43952.0;78569.0;122521;24750;42873;34096;20802;20.20%;34.99%;27.83%;16.98%;61099.0;65724.0
"50-70
(20)";2 748 535;96.80%;3.20%;-90863;113 373;89.16%;10.84%;3.39;122516.0;0.891498759341323;0.10850124065867695;54522.0;67789.0;122311;29514;39367;34456;18974;24.13%;32.19%;28.17%;15.51%;84263.0;91175.0
"55-75
(20)";2 735 710;96.35%;3.65%;-103688;107 962;84.91%;15.09%;4.13;116483.0;0.8475990889708718;0.15240091102912823;55806.0;66750.0;122556;30177;39026;34474;18879;24.62%;31.84%;28.13%;15.40%;80595.0;86631.0
"50-75
(25)";2 839 398;100.00%;0.00%;0;127 150;100.00%;0.00%;nan;137427.0;1.0;0.0;63318.0;59371.0;122689;33389;36898;34650;17752;27.21%;30.07%;28.24%;14.47%;94545.0;102193.0
"55-80
(25)";2 826 202;99.54%;0.46%;-13196;116 735;91.81%;8.19%;17.62;125605.0;0.9139761473364041;0.08602385266359591;61929.0;60822.0;122751;32966;37227;34545;18013;26.86%;30.33%;28.14%;14.67%;86909.0;93545.0
"50-80
(30)";2 976 125;104.82%;-4.82%;136727;138 731;109.11%;-9.11%;1.89;149440.0;1.0874136814454218;-0.08741368144542183;71500.0;51340.0;122840;37114;34371;34802;16553;30.21%;27.98%;28.33%;13.48%;102908.0;111363.0
"45-75
(30)";2 996 982;105.55%;-5.55%;157584;146 940;115.56%;-15.56%;2.80;158885.0;1.1561410785362412;-0.15614107853624115;71493.0;51095.0;122588;37080;34240;34854;16414;30.25%;27.93%;28.43%;13.39%;109540.0;118587.0
"45-80
(35)";3 082 601;108.57%;-8.57%;243203;155 116;121.99%;-21.99%;2.57;167315.0;1.2174827362890843;-0.21748273628908432;77366.0;45188.0;122554;39745;32400;34812;15597;32.43%;26.44%;28.41%;12.73%;115459.0;125027.0
"40-85
(45)";3 362 547;118.42%;-18.42%;523149;168 578;132.58%;-32.58%;1.77;181939.0;1.323895595479782;-0.323895595479782;83277.0;39636.0;122913;42400;30674;35110;14729;34.50%;24.96%;28.56%;11.98%;125214.0;136000.0
"35-90
(55)";3 595 708;126.64%;-26.64%;756310;175 725;138.20%;-38.20%;1.43;189788.0;1.3810095541633012;-0.3810095541633012;86621.0;36060.0;122681;43835;29545;35112;14189;35.73%;24.08%;28.62%;11.57%;130691.0;141604.0
