Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;15294;821;0;309296;5152;68684;296;4094;433.0;296.0;149.0;243.0;216.0;121.0;574.0;403.0;443.0;541.0;296.0
2024;1137305;14146;1280;0;315834;4425;71572;327;4270;380.0;327.0;188.0;218.0;184.0;117.0;726.0;508.0;546.0;688.0;327.0
2025;1150171;14050;2039;0;321258;4183;74475;225;4336;345.0;225.0;126.0;201.0;143.0;100.0;452.0;312.0;341.0;423.0;225.0
2026;1162182;14777;2943;0;326568;4126;76717;194;4455;346.0;194.0;107.0;164.0;156.0;113.0;380.0;266.0;282.0;353.0;194.0
2027;1174016;13883;4117;0;331596;4083;79555;200;4640;299.0;200.0;111.0;161.0;143.0;84.0;487.0;346.0;358.0;443.0;200.0
2028;1183782;14429;5011;0;336518;4123;81315;196;4865;310.0;196.0;101.0;182.0;132.0;91.0;402.0;280.0;298.0;375.0;196.0
2029;1193200;13909;6024;0;342001;4166;83311;201;4917;329.0;201.0;120.0;173.0;139.0;98.0;385.0;258.0;288.0;356.0;201.0
2030;1201085;13554;6368;0;347669;4172;84358;219;5006;362.0;219.0;109.0;198.0;170.0;104.0;430.0;297.0;317.0;401.0;219.0
2031;1208271;13142;6898;0;353202;4123;86544;206;5096;397.0;206.0;109.0;208.0;188.0;98.0;402.0;286.0;297.0;376.0;206.0
2032;1214515;14279;7326;0;357139;4044;87044;202;5135;406.0;202.0;108.0;205.0;175.0;120.0;398.0;287.0;293.0;364.0;202.0
2033;1221468;14611;7754;0;360466;3974;88186;208;5256;373.0;208.0;126.0;202.0;150.0;103.0;456.0;321.0;338.0;419.0;208.0
2034;1228325;13630;8376;0;363623;3919;88698;245;5163;386.0;245.0;135.0;187.0;190.0;119.0;577.0;403.0;427.0;529.0;245.0
2035;1233579;13051;9240;0;366776;3881;88828;198;5259;359.0;198.0;103.0;214.0;144.0;96.0;386.0;252.0;275.0;357.0;198.0
2036;1237390;14024;9939;0;370326;3872;88281;205;5156;388.0;205.0;111.0;206.0;172.0;104.0;412.0;285.0;310.0;385.0;205.0
2037;1241475;13169;10685;0;374446;3827;88150;192;5275;389.0;192.0;115.0;216.0;159.0;91.0;399.0;267.0;283.0;364.0;192.0
2038;1243959;13619;11591;0;379086;3813;87289;200;5165;392.0;200.0;129.0;219.0;153.0;91.0;531.0;362.0;385.0;487.0;200.0
2039;1245987;13360;11990;0;384347;3807;87427;226;5190;402.0;226.0;135.0;218.0;172.0;103.0;514.0;353.0;375.0;470.0;226.0
2040;1247357;13585;12538;0;389544;3815;87694;214;5167;417.0;214.0;108.0;232.0;171.0;120.0;414.0;300.0;323.0;383.0;214.0
2041;1248404;13058;12686;0;394927;3813;88544;229;5215;419.0;229.0;127.0;233.0;173.0;115.0;463.0;322.0;351.0;433.0;229.0
2042;1248776;15059;13193;0;400100;3723;89767;241;5194;398.0;241.0;139.0;221.0;169.0;110.0;570.0;399.0;432.0;533.0;241.0
2043;1250642;14304;13414;0;405629;3697;89873;221;5362;398.0;221.0;123.0;232.0;177.0;87.0;548.0;402.0;417.0;509.0;221.0
2044;1251532;13816;13983;0;411008;3698;90955;224;5427;452.0;224.0;127.0;251.0;189.0;109.0;461.0;330.0;349.0;426.0;224.0
2045;1251365;14246;14365;0;416466;3616;91621;190;5404;445.0;190.0;106.0;234.0;180.0;115.0;369.0;262.0;270.0;339.0;190.0
2046;1251246;15012;14639;0;421557;3560;93643;211;5467;413.0;211.0;125.0;223.0;175.0;101.0;420.0;289.0;305.0;389.0;211.0
2047;1251619;13401;15132;0;425511;3552;94147;244;5417;410.0;244.0;134.0;212.0;189.0;119.0;568.0;404.0;421.0;526.0;244.0
2048;1249888;14126;15571;0;429926;3501;96948;234;5787;440.0;234.0;126.0;229.0;193.0;126.0;430.0;295.0;330.0;403.0;234.0
2049;1248443;13745;15488;0;433592;3440;98697;244;5628;467.0;244.0;129.0;275.0;206.0;101.0;413.0;287.0;304.0;379.0;244.0
2050;1246700;14126;15594;0;437615;3412;101251;229;5925;416.0;229.0;129.0;234.0;180.0;102.0;514.0;363.0;380.0;472.0;229.0
2051;1245232;14929;15498;0;441583;3408;103387;241;6094;415.0;241.0;133.0;226.0;178.0;119.0;594.0;420.0;451.0;556.0;241.0
2052;1244663;13902;15491;0;445336;3399;106391;242;6035;436.0;242.0;133.0;236.0;194.0;115.0;548.0;399.0;416.0;507.0;242.0
2053;1243074;13722;15079;0;448450;3379;108409;239;6342;418.0;239.0;131.0;240.0;178.0;108.0;447.0;305.0;337.0;418.0;239.0
2054;1241717;12706;14900;0;450150;3376;111386;280;6518;477.0;280.0;173.0;240.0;218.0;126.0;693.0;481.0;506.0;637.0;280.0
2055;1239523;13544;14501;0;451269;3300;112437;265;6651;471.0;265.0;143.0;231.0;225.0;137.0;486.0;331.0;351.0;449.0;265.0
2056;1238566;14981;14421;0;451890;3254;114476;275;6631;454.0;275.0;168.0;251.0;174.0;136.0;609.0;416.0;448.0;563.0;275.0
2057;1239126;13487;14156;0;451868;3201;114842;278;6866;426.0;278.0;159.0;234.0;192.0;119.0;546.0;356.0;404.0;508.0;278.0
2058;1238457;14331;14062;0;453197;3201;115709;264;6923;455.0;264.0;161.0;233.0;201.0;124.0;519.0;357.0;383.0;480.0;264.0
2059;1238726;13925;14417;0;454383;3138;116714;272;6780;476.0;272.0;153.0;246.0;218.0;131.0;588.0;419.0;443.0;552.0;272.0
2060;1238234;12383;14373;0;455008;3051;117156;284;6730;421.0;284.0;143.0;230.0;206.0;126.0;486.0;327.0;362.0;450.0;284.0
2061;1236244;14741;14663;0;455573;3033;117620;287;6896;442.0;287.0;163.0;244.0;202.0;120.0;629.0;429.0;463.0;584.0;287.0
2062;1236322;13740;14801;0;454545;2988;117305;272;7030;457.0;272.0;146.0;249.0;194.0;140.0;487.0;337.0;361.0;446.0;272.0
2063;1235261;14213;15062;0;452773;2977;117133;272;6906;439.0;272.0;135.0;250.0;195.0;131.0;556.0;393.0;412.0;510.0;272.0
