Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125351;7906;245;271;272;125;1874;3060;3146;5677;913;13757;17820;735.0;3328.0;1251.0;904.0;969.0;1172.0;480.0
2024;128037;8079;287;230;232;118;2195;2597;2684;5359;867;12835;16987;751.0;3401.0;1277.0;884.0;947.0;1187.0;519.0
2025;130532;7966;178;183;149;89;1361;2067;1724;4042;599;9194;13314;766.0;3354.0;730.0;500.0;548.0;682.0;315.0
2026;132370;7997;162;156;145;98;1239;1762;1677;4451;561;9129;13272;776.0;3367.0;703.0;491.0;525.0;649.0;281.0
2027;134795;8100;150;152;139;84;1147;1717;1608;3815;525;8287;12488;791.0;3410.0;598.0;395.0;432.0;546.0;286.0
2028;136404;8375;149;172;141;89;1139;1942;1631;4042;551;8754;13080;800.0;3526.0;704.0;481.0;521.0;653.0;303.0
2029;138754;8479;166;158;147;74;1269;1784;1700;3361;545;8114;12498;814.0;3570.0;748.0;526.0;567.0;692.0;316.0
2030;140897;8514;161;162;177;87;1231;1830;2047;3951;587;9059;13469;826.0;3584.0;646.0;440.0;478.0;600.0;319.0
2031;143371;8662;166;183;166;92;1269;2067;1920;4178;607;9434;13922;841.0;3647.0;697.0;487.0;504.0;646.0;315.0
2032;145392;8927;169;180;180;89;1292;2033;2082;4042;618;9449;14060;853.0;3758.0;844.0;587.0;626.0;774.0;322.0
2033;146583;8896;148;188;138;82;1132;2123;1596;3724;556;8575;13180;860.0;3745.0;559.0;379.0;426.0;521.0;285.0
2034;148049;8989;150;170;163;100;1147;1920;1885;4541;583;9493;14145;868.0;3784.0;705.0;484.0;522.0;647.0;290.0
2035;149137;9108;138;172;155;87;1055;1942;1793;3951;552;8741;13451;875.0;3835.0;546.0;356.0;397.0;503.0;294.0
2036;150618;9101;177;182;184;91;1354;2055;2128;4133;634;9670;14385;883.0;3832.0;760.0;536.0;574.0;703.0;332.0
2037;151950;9367;148;186;170;74;1132;2101;1966;3361;578;8560;13395;891.0;3944.0;615.0;425.0;450.0;559.0;282.0
2038;153873;9378;184;195;160;90;1407;2202;1851;4087;629;9547;14397;902.0;3948.0;806.0;543.0;610.0;752.0;334.0
2039;155792;9507;186;178;190;94;1422;2010;2198;4269;648;9899;14815;914.0;4002.0;792.0;543.0;584.0;733.0;336.0
2040;158226;9707;147;209;197;107;1124;2360;2279;4859;660;10622;15637;928.0;4087.0;553.0;388.0;427.0;517.0;340.0
2041;159999;9816;172;195;196;86;1315;2202;2267;3906;649;9690;14761;938.0;4133.0;809.0;563.0;610.0;748.0;352.0
2042;162719;9697;191;178;166;93;1461;2010;1920;4224;628;9615;14651;954.0;4082.0;794.0;551.0;594.0;731.0;340.0
