Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125348;10380;265;278;281;129;2027;3140;3250;5858;953;14275;19380;735.0;4370.0;1328.0;964.0;1028.0;1245.0;520.0
2024;128045;10557;305;233;236;119;2332;2631;2730;5404;893;13097;18293;751.0;4445.0;1397.0;973.0;1039.0;1299.0;552.0
2025;130528;10499;182;178;152;86;1392;2010;1758;3906;598;9066;14252;766.0;4420.0;786.0;547.0;597.0;733.0;327.0
2026;132362;10585;155;150;147;92;1185;1694;1700;4178;544;8757;13989;776.0;4456.0;627.0;426.0;466.0;575.0;285.0
2027;134785;10635;152;148;147;83;1162;1671;1700;3769;530;8302;13570;791.0;4477.0;624.0;411.0;448.0;568.0;300.0
2028;136402;11080;161;167;150;91;1231;1886;1735;4133;569;8985;14450;800.0;4665.0;777.0;525.0;565.0;716.0;326.0
2029;138761;11196;162;156;142;76;1239;1762;1643;3451;536;8095;13623;814.0;4714.0;691.0;484.0;523.0;645.0;310.0
2030;140907;11182;172;168;175;81;1315;1897;2024;3679;596;8915;14449;826.0;4708.0;746.0;518.0;560.0;696.0;332.0
2031;143371;11467;170;171;165;89;1300;1931;1909;4042;595;9182;14851;841.0;4828.0;705.0;482.0;505.0;648.0;312.0
2032;145385;11807;162;184;181;87;1239;2078;2094;3951;614;9362;15186;853.0;4971.0;759.0;525.0;565.0;697.0;327.0
2033;146594;11798;156;183;134;81;1193;2067;1550;3679;554;8489;14316;860.0;4967.0;622.0;427.0;470.0;583.0;290.0
2034;148033;11988;168;171;163;101;1285;1931;1885;4587;603;9688;15603;868.0;5047.0;785.0;542.0;584.0;722.0;319.0
2035;149153;12014;146;180;159;84;1116;2033;1839;3815;569;8803;14736;875.0;5058.0;590.0;394.0;431.0;544.0;311.0
2036;150613;11990;176;173;180;95;1346;1954;2082;4314;624;9696;15627;883.0;5048.0;758.0;519.0;563.0;698.0;331.0
2037;151946;12353;157;179;165;71;1201;2021;1909;3224;572;8355;14447;891.0;5201.0;669.0;454.0;482.0;606.0;292.0
2038;153889;12365;176;204;168;85;1346;2304;1943;3860;633;9453;15562;903.0;5206.0;768.0;523.0;592.0;723.0;342.0
2039;155797;12589;182;176;198;94;1392;1988;2290;4269;650;9939;16153;914.0;5300.0;761.0;529.0;571.0;704.0;351.0
2040;158217;12852;163;187;193;106;1247;2112;2233;4814;649;10406;16745;928.0;5411.0;625.0;429.0;475.0;578.0;348.0
2041;159996;12822;177;186;182;85;1354;2101;2105;3860;630;9420;15756;938.0;5398.0;789.0;548.0;591.0;731.0;341.0
2042;162710;12926;183;177;161;87;1399;1999;1862;3951;608;9211;15607;954.0;5442.0;784.0;551.0;579.0;725.0;332.0
