Year;x;q(x);l(x);d(x);L(x);T(x);e(x);D(x);M(x);A(x);N(x);a(x);12a(x)
1900;0;0.145957;100000;14596;90026;5151522;51.52;100000;40363;0.4036;2652566;26.5257;312.81
1900;1;0.032822;85404;2803;84003;5061495;59.27;83484;26095;0.3126;2552566;30.5755;361.41
1900;2;0.016343;82601;1350;81926;4977493;60.26;78929;23417;0.2967;2469082;31.2825;369.89
1900;3;0.010518;81251;855;80824;4895566;60.25;75893;22156;0.2919;2390153;31.4937;372.42
1900;4;0.008748;80397;703;80045;4814743;59.89;73407;21375;0.2912;2314260;31.5266;372.82
1900;5;0.006284;79693;501;79443;4734698;59.41;71128;20748;0.2917;2240854;31.5043;372.55
1900;6;0.004621;79192;366;79009;4655255;58.78;69092;20311;0.2940;2169725;31.4033;371.34
1900;7;0.003262;78827;257;78698;4576245;58.05;67227;19999;0.2975;2100633;31.2469;369.46
1900;8;0.002562;78569;201;78469;4497547;57.24;65501;19784;0.3020;2033406;31.0439;367.03
1900;9;0.002030;78368;159;78289;4419079;56.39;63864;19620;0.3072;1967905;30.8138;364.27
1900;10;0.002105;78209;165;78127;4340790;55.50;62302;19493;0.3129;1904040;30.5616;361.24
1900;11;0.002165;78044;169;77960;4262663;54.62;60773;19365;0.3186;1841739;30.3053;358.16
1900;12;0.002116;77875;165;77793;4184704;53.74;59278;19237;0.3245;1780966;30.0444;355.03
1900;13;0.002393;77711;186;77618;4106911;52.85;57823;19114;0.3306;1721688;29.7754;351.80
1900;14;0.002536;77525;197;77426;4029293;51.97;56387;18979;0.3366;1663866;29.5078;348.59
1900;15;0.002669;77328;206;77225;3951867;51.11;54980;18839;0.3427;1607478;29.2377;345.35
1900;16;0.003199;77122;247;76998;3874642;50.24;53600;18696;0.3488;1552499;28.9644;342.07
1900;17;0.003779;76875;291;76730;3797643;49.40;52227;18528;0.3548;1498898;28.6994;338.89
1900;18;0.009134;76584;699;76235;3720914;48.59;50860;18335;0.3605;1446671;28.4440;335.83
1900;19;0.005308;75885;403;75684;3644679;48.03;49263;17881;0.3630;1395811;28.3340;334.51
1900;20;0.005073;75482;383;75291;3568996;47.28;47900;17625;0.3680;1346548;28.1119;331.84
1900;21;0.004373;75099;328;74935;3493705;46.52;46585;17388;0.3732;1298648;27.8769;329.02
1900;22;0.004493;74771;336;74603;3418770;45.72;45339;17189;0.3791;1252063;27.6158;325.89
1900;23;0.004718;74435;351;74259;3344167;44.93;44120;16989;0.3851;1206725;27.3509;322.71
1900;24;0.004557;74084;338;73915;3269908;44.14;42925;16786;0.3911;1162604;27.0847;319.52
1900;25;0.004619;73746;341;73576;3195993;43.34;41768;16595;0.3973;1119680;26.8069;316.18
1900;26;0.004666;73405;343;73234;3122417;42.54;40641;16406;0.4037;1077911;26.5229;312.78
1900;27;0.004565;73063;334;72896;3049183;41.73;39542;16221;0.4102;1037271;26.2324;309.29
1900;28;0.004935;72729;359;72550;2976287;40.92;38476;16044;0.4170;997729;25.9311;305.67
1900;29;0.005041;72370;365;72188;2903737;40.12;37425;15859;0.4237;959253;25.6310;302.07
1900;30;0.004911;72006;354;71829;2831549;39.32;36400;15674;0.4306;921827;25.3252;298.40
1900;31;0.004963;71652;356;71474;2759720;38.52;35406;15500;0.4378;885428;25.0075;294.59
1900;32;0.004717;71296;336;71128;2688246;37.71;34439;15328;0.4451;850021;24.6822;290.69
1900;33;0.004861;70960;345;70787;2617118;36.88;33506;15169;0.4527;815582;24.3417;286.60
1900;34;0.005213;70615;368;70431;2546331;36.06;32593;15010;0.4605;782077;23.9952;282.44
1900;35;0.005530;70247;388;70053;2475900;35.25;31694;14844;0.4683;749484;23.6474;278.27
1900;36;0.006052;69858;423;69647;2405847;34.44;30810;14672;0.4762;717790;23.2971;274.06
1900;37;0.006006;69436;417;69227;2336200;33.65;29935;14490;0.4840;686979;22.9488;269.89
1900;38;0.005553;69019;383;68827;2266973;32.85;29087;14314;0.4921;657044;22.5893;265.57
1900;39;0.005626;68635;386;68442;2198146;32.03;28275;14156;0.5007;627957;22.2092;261.01
1900;40;0.005951;68249;406;68046;2129704;31.20;27484;14001;0.5094;599683;21.8197;256.34
1900;41;0.006272;67843;426;67630;2061658;30.39;26706;13841;0.5183;572199;21.4261;251.61
1900;42;0.006538;67418;441;67197;1994027;29.58;25942;13677;0.5272;545494;21.0278;246.83
1900;43;0.007011;66977;470;66742;1926830;28.77;25193;13512;0.5363;519552;20.6233;241.98
1900;44;0.007210;66507;480;66267;1860088;27.97;24453;13339;0.5455;494359;20.2163;237.10
1900;45;0.007750;66028;512;65772;1793821;27.17;23731;13166;0.5548;469906;19.8011;232.11
1900;46;0.007950;65516;521;65256;1728049;26.38;23018;12987;0.5642;446175;19.3837;227.10
1900;47;0.008690;64995;565;64713;1662794;25.58;22322;12808;0.5738;423157;18.9572;221.99
1900;48;0.009475;64430;610;64125;1598081;24.80;21630;12618;0.5834;400835;18.5313;216.88
1900;49;0.010195;63820;651;63495;1533956;24.04;20944;12418;0.5929;379205;18.1061;211.77
1900;50;0.010936;63169;691;62824;1470461;23.28;20264;12209;0.6025;358261;17.6797;206.66
1900;51;0.012109;62478;757;62100;1407637;22.53;19592;11993;0.6121;337997;17.2520;201.52
1900;52;0.013129;61722;810;61317;1345537;21.80;18919;11761;0.6216;318406;16.8296;196.46
1900;53;0.014100;60912;859;60482;1284221;21.08;18251;11518;0.6311;299486;16.4091;191.41
1900;54;0.014461;60053;868;59618;1223738;20.38;17589;11266;0.6405;281235;15.9890;186.37
1900;55;0.015557;59184;921;58724;1164120;19.67;16945;11018;0.6502;263646;15.5587;181.20
1900;56;0.016982;58264;989;57769;1105396;18.97;16307;10760;0.6599;246701;15.1289;176.05
1900;57;0.018588;57274;1065;56742;1047627;18.29;15669;10489;0.6694;230394;14.7036;170.94
1900;58;0.019844;56210;1115;55652;990885;17.63;15032;10205;0.6788;214725;14.2843;165.91
1900;59;0.021579;55094;1189;54500;935234;16.98;14403;9913;0.6883;199693;13.8650;160.88
1900;60;0.023920;53905;1289;53261;880734;16.34;13775;9609;0.6976;185290;13.4511;155.91
1900;61;0.025619;52616;1348;51942;827473;15.73;13143;9287;0.7066;171515;13.0497;151.10
1900;62;0.028126;51268;1442;50547;775532;15.13;12519;8958;0.7156;158372;12.6509;146.31
1900;63;0.031120;49826;1551;49051;724985;14.55;11893;8614;0.7243;145853;12.2638;141.67
1900;64;0.033020;48275;1594;47478;675934;14.00;11264;8252;0.7326;133960;11.8930;137.22
1900;65;0.035537;46681;1659;45852;628456;13.46;10647;7888;0.7409;122696;11.5240;132.79
