Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;236574;15264;549;369;404;160;4198;4167;4673;7266;1482;20304;28118;1388.0;6426.0;3679.0;1050.0
2024;242494;14927;209;167;196;100;1598;1886;2267;4541;672;10292;17998;1422.0;6284.0;1161.0;415.0
2025;247678;15229;185;152;134;70;1415;1717;1550;3179;541;7861;15725;1453.0;6411.0;1061.0;317.0
2026;252078;15287;166;131;146;83;1269;1479;1689;3769;526;8206;16120;1478.0;6436.0;1093.0;302.0
2027;256358;15629;167;138;148;79;1277;1558;1712;3588;532;8135;16219;1504.0;6580.0;886.0;324.0
2028;260296;15941;161;157;159;85;1231;1773;1839;3860;562;8703;16941;1527.0;6711.0;931.0;334.0
2029;264221;16186;165;156;143;74;1262;1762;1654;3361;538;8039;16403;1550.0;6814.0;897.0;321.0
2030;268632;16453;175;165;176;77;1338;1863;2036;3497;593;8734;17237;1576.0;6927.0;1005.0;345.0
2031;273055;16668;156;174;171;88;1193;1965;1978;3996;589;9132;17750;1601.0;7017.0;905.0;317.0
2032;277400;16966;185;166;177;74;1415;1875;2047;3361;602;8698;17468;1627.0;7143.0;1116.0;336.0
2033;280460;16988;166;168;127;86;1269;1897;1469;3906;547;8541;17338;1645.0;7152.0;980.0;298.0
2034;283029;17368;162;175;181;105;1239;1976;2094;4768;623;10077;19049;1660.0;7312.0;945.0;359.0
2035;285505;17425;167;165;158;89;1277;1863;1828;4042;579;9010;18020;1674.0;7336.0;845.0;345.0
2036;287944;17646;182;176;184;77;1392;1988;2128;3497;619;9005;18123;1689.0;7429.0;1072.0;344.0
2037;290583;17948;176;188;170;76;1346;2123;1966;3451;610;8886;18146;1704.0;7556.0;1081.0;338.0
2038;293595;17828;181;174;158;83;1384;1965;1828;3769;596;8946;18174;1722.0;7506.0;1101.0;322.0
2039;297183;18053;176;187;198;96;1346;2112;2290;4360;657;10108;19451;1743.0;7600.0;868.0;375.0
2040;301290;18469;184;177;194;94;1407;1999;2244;4269;649;9919;19462;1767.0;7776.0;958.0;365.0
2041;305286;18718;214;192;200;82;1637;2168;2313;3724;688;9842;19513;1791.0;7880.0;1412.0;416.0
2042;309530;18721;193;165;158;93;1476;1863;1828;4224;609;9391;19088;1815.0;7882.0;937.0;351.0
2043;313505;19148;192;187;191;62;1468;2112;2209;2816;632;8605;18505;1839.0;8061.0;1223.0;366.0
2044;317737;19513;184;193;189;96;1407;2180;2186;4360;662;10133;20212;1864.0;8215.0;964.0;358.0
2045;321697;19810;200;205;175;100;1529;2315;2024;4541;680;10409;20636;1887.0;8340.0;1114.0;379.0
2046;325815;19527;206;168;205;78;1575;1897;2371;3542;657;9385;19517;1911.0;8221.0;1303.0;386.0
2047;329521;19809;170;155;201;86;1300;1750;2325;3906;612;9281;19554;1933.0;8340.0;965.0;363.0
2048;332564;20383;186;187;195;99;1422;2112;2256;4496;667;10286;20817;1950.0;8581.0;994.0;385.0
2049;335981;20289;214;208;215;71;1637;2349;2487;3224;708;9697;20210;1971.0;8542.0;1305.0;408.0
2050;338687;20583;180;178;199;80;1377;2010;2302;3633;637;9322;19974;1986.0;8666.0;1125.0;377.0
2051;341798;20932;213;182;195;107;1629;2055;2256;4859;697;10799;21616;2005.0;8812.0;1257.0;413.0
2052;344667;20795;199;182;208;99;1522;2055;2406;4496;688;10479;21255;2021.0;8755.0;1098.0;392.0
2053;347445;21011;212;178;186;89;1621;2010;2152;4042;665;9825;20709;2038.0;8846.0;1201.0;379.0
2054;349662;21139;224;201;204;96;1713;2270;2360;4360;725;10703;21654;2051.0;8900.0;1322.0;406.0
2055;351124;21463;227;198;220;112;1736;2236;2545;5086;757;11603;22698;2059.0;9036.0;1280.0;421.0
2056;351792;21518;223;188;176;106;1705;2123;2036;4814;693;10678;21800;2063.0;9059.0;1251.0;395.0
2057;352198;21627;256;188;187;96;1958;2123;2163;4360;727;10604;21775;2066.0;9105.0;1530.0;441.0
2058;352036;21478;224;180;195;109;1713;2033;2256;4950;708;10952;22059;2065.0;9042.0;1074.0;406.0
2059;353299;21698;210;211;225;103;1606;2383;2603;4678;749;11270;22477;2072.0;9135.0;1092.0;421.0
2060;354296;21544;219;208;209;96;1675;2349;2418;4360;732;10802;21950;2078.0;9070.0;1284.0;442.0
2061;354860;21619;205;182;189;104;1568;2055;2186;4723;680;10532;21715;2081.0;9102.0;1200.0;399.0
2062;355430;21943;225;216;200;109;1721;2439;2313;4950;750;11423;22746;2085.0;9238.0;1347.0;450.0
2063;354669;21660;217;192;204;109;1659;2168;2360;4950;722;11137;22336;2080.0;9119.0;1229.0;406.0
2064;353528;21894;199;217;194;97;1522;2451;2244;4405;707;10622;21912;2073.0;9217.0;921.0;404.0
2065;351699;21522;214;200;180;90;1637;2259;2082;4087;684;10065;21189;2063.0;9061.0;1279.0;413.0
2066;349021;21302;233;199;208;82;1782;2247;2406;3724;722;10159;21174;2047.0;8968.0;1283.0;440.0
2067;346105;21166;219;182;207;97;1675;2055;2394;4405;705;10529;21470;2030.0;8911.0;1136.0;412.0
2068;344040;21148;218;209;194;89;1667;2360;2244;4042;710;10313;21234;2018.0;8903.0;1171.0;397.0
2069;342303;21339;202;211;207;102;1545;2383;2394;4632;722;10954;21946;2008.0;8984.0;1156.0;409.0
2070;339442;20718;240;175;223;98;1835;1976;2580;4451;736;10842;21555;1991.0;8722.0;1322.0;435.0
2071;335905;20672;192;180;200;99;1468;2033;2313;4496;671;10310;20983;1970.0;8703.0;1033.0;375.0
2072;332880;20213;178;206;217;98;1361;2326;2510;4451;699;10648;21110;1952.0;8510.0;951.0;356.0
2073;328636;20159;196;217;205;95;1499;2451;2371;4314;713;10635;21049;1927.0;8487.0;1200.0;393.0
2074;325622;19951;208;200;172;87;1591;2259;1990;3951;667;9791;20100;1910.0;8399.0;1196.0;361.0
2075;322564;19535;169;191;211;83;1292;2157;2441;3769;654;9659;19775;1892.0;8224.0;897.0;355.0
2076;320468;19645;179;202;188;98;1369;2281;2175;4451;667;10276;20427;1880.0;8271.0;960.0;378.0
2077;318551;19573;201;203;184;85;1537;2293;2128;3860;673;9818;19926;1868.0;8240.0;1172.0;381.0
2078;316602;19341;189;199;189;82;1445;2247;2186;3724;659;9602;19602;1857.0;8143.0;1049.0;364.0
2079;315023;19360;187;203;179;72;1430;2293;2071;3270;641;9064;19063;1848.0;8151.0;991.0;344.0
2080;313845;19240;173;209;156;94;1323;2360;1805;4269;632;9757;19698;1841.0;8100.0;926.0;333.0
2081;312468;19156;183;194;195;93;1399;2191;2256;4224;665;10070;19968;1833.0;8065.0;942.0;340.0
2082;311843;19100;188;202;181;100;1438;2281;2094;4541;671;10354;20224;1829.0;8041.0;1041.0;370.0
2083;310467;19153;192;213;167;84;1468;2405;1932;3815;656;9620;19505;1821.0;8064.0;999.0;351.0
2084;308628;18926;198;202;190;85;1514;2281;2198;3860;675;9853;19631;1810.0;7968.0;1071.0;374.0
2085;306387;18652;201;193;193;89;1537;2180;2233;4042;676;9992;19642;1797.0;7853.0;1216.0;371.0
2086;304247;18471;193;196;150;95;1476;2213;1735;4314;634;9738;19298;1784.0;7776.0;1095.0;331.0
2087;301396;18465;175;175;174;81;1338;1976;2013;3679;605;9006;18548;1768.0;7774.0;963.0;323.0
2088;299157;18065;189;187;180;87;1445;2112;2082;3951;643;9590;18950;1755.0;7605.0;894.0;353.0
2089;297244;17963;151;178;188;83;1155;2010;2175;3769;600;9109;18415;1743.0;7563.0;879.0;319.0
2090;294584;18086;201;207;181;105;1537;2338;2094;4768;694;10737;20079;1728.0;7614.0;1132.0;362.0
2091;291857;17735;173;167;181;100;1323;1886;2094;4541;621;9844;19023;1712.0;7467.0;1088.0;342.0
2092;290591;17649;156;188;181;94;1193;2123;2094;4269;619;9679;18813;1704.0;7430.0;841.0;306.0
2093;289083;17479;155;154;165;98;1185;1739;1909;4451;572;9284;18338;1695.0;7359.0;887.0;308.0
2094;287722;17456;162;198;167;75;1239;2236;1932;3406;602;8813;17849;1687.0;7349.0;849.0;307.0
2095;286109;17512;203;184;214;73;1552;2078;2475;3315;674;9420;18471;1678.0;7373.0;1101.0;376.0
2096;284178;17302;161;220;178;73;1231;2485;2059;3315;632;9090;18041;1667.0;7284.0;831.0;317.0
2097;283019;17205;185;188;165;81;1415;2123;1909;3679;619;9126;18029;1660.0;7243.0;954.0;327.0
2098;282743;17224;158;187;172;93;1208;2112;1990;4224;610;9534;18443;1658.0;7251.0;907.0;321.0
2099;283182;17365;168;188;202;91;1285;2123;2337;4133;649;9878;18850;1661.0;7311.0;997.0;345.0
2100;282694;17037;177;173;171;79;1354;1954;1978;3588;600;8874;17705;1658.0;7173.0;995.0;303.0
2101;282892;17101;169;190;174;83;1292;2146;2013;3769;616;9220;18079;1659.0;7200.0;831.0;312.0
2102;282216;17138;168;179;170;98;1285;2021;1966;4451;615;9723;18593;1655.0;7215.0;901.0;318.0
2103;282692;17143;172;188;190;85;1315;2123;2198;3860;635;9496;18371;1658.0;7217.0;977.0;334.0
2104;282928;17421;147;172;172;70;1124;1942;1990;3179;561;8235;17228;1659.0;7334.0;800.0;303.0
2105;282386;17148;143;195;186;96;1094;2202;2152;4360;620;9808;18683;1656.0;7219.0;730.0;310.0
2106;282260;17048;145;188;165;79;1109;2123;1909;3588;577;8729;17561;1655.0;7177.0;913.0;283.0
2107;282071;17115;190;167;158;81;1453;1886;1828;3679;596;8846;17706;1654.0;7206.0;1096.0;334.0
2108;281588;17120;201;188;199;86;1537;2123;2302;3906;674;9868;18728;1652.0;7208.0;1117.0;371.0
2109;281223;17060;152;197;172;80;1162;2225;1990;3633;601;9010;17841;1649.0;7182.0;795.0;298.0
2110;281671;17027;162;187;155;85;1239;2112;1793;3860;589;9004;17824;1652.0;7168.0;901.0;309.0
2111;281258;17142;156;170;176;98;1193;1920;2036;4451;600;9600;18467;1650.0;7217.0;815.0;309.0
2112;280687;17274;159;188;162;101;1216;2123;1874;4587;610;9800;18718;1646.0;7272.0;805.0;316.0
2113;281783;16995;185;172;179;61;1415;1942;2071;2770;597;8198;17006;1653.0;7155.0;1112.0;320.0
2114;281524;17188;162;172;165;85;1239;1942;1909;3860;584;8950;17837;1651.0;7236.0;896.0;309.0
2115;281725;17356;193;182;186;77;1476;2055;2152;3497;638;9180;18139;1652.0;7307.0;1018.0;366.0
2116;282577;17437;190;183;163;83;1453;2067;1885;3769;619;9174;18172;1657.0;7341.0;1087.0;337.0
2117;283930;17605;169;160;156;80;1292;1807;1805;3633;565;8537;17614;1665.0;7412.0;942.0;307.0
2118;283834;17268;151;177;151;91;1155;1999;1747;4133;570;9034;17969;1665.0;7270.0;877.0;287.0
2119;284233;17272;161;182;188;75;1231;2055;2175;3406;606;8867;17806;1667.0;7272.0;911.0;318.0
2120;284015;17377;173;153;163;94;1323;1728;1885;4269;583;9205;18187;1666.0;7316.0;851.0;316.0
2121;283820;17126;149;168;174;100;1139;1897;2013;4541;591;9590;18465;1665.0;7210.0;696.0;308.0
2122;284473;17410;157;177;166;85;1201;1999;1920;3860;585;8980;17978;1668.0;7330.0;873.0;297.0
2123;285378;17311;169;190;171;91;1292;2146;1978;4133;621;9549;18511;1674.0;7288.0;911.0;328.0
2124;284610;17528;163;145;179;85;1247;1638;2071;3860;572;8816;17864;1669.0;7379.0;800.0;305.0
2125;284763;17490;177;160;181;81;1354;1807;2094;3679;599;8934;17967;1670.0;7363.0;834.0;347.0
2126;284689;17440;179;178;166;88;1369;2010;1920;3996;611;9295;18307;1670.0;7342.0;968.0;315.0
2127;284334;17392;180;176;169;86;1377;1988;1955;3906;611;9226;18216;1668.0;7322.0;908.0;349.0
2128;283975;17340;167;162;171;82;1277;1830;1978;3724;582;8809;17775;1666.0;7300.0;872.0;326.0
2129;282752;17275;174;169;165;89;1331;1909;1909;4042;597;9191;18122;1658.0;7273.0;962.0;304.0
2130;282630;17114;160;175;161;69;1224;1976;1862;3134;565;8196;17059;1658.0;7205.0;933.0;303.0
2131;282781;17435;169;185;163;69;1292;2089;1885;3134;586;8400;17399;1659.0;7340.0;859.0;320.0
2132;282027;17233;162;198;162;81;1239;2236;1874;3679;603;9028;17937;1654.0;7255.0;711.0;323.0
2133;282240;16974;143;188;151;74;1094;2123;1747;3361;556;8325;17126;1655.0;7146.0;847.0;298.0
2134;282198;17249;165;169;166;80;1262;1909;1920;3633;580;8724;17641;1655.0;7262.0;871.0;295.0
2135;281767;17101;177;167;158;92;1354;1886;1828;4178;594;9246;18099;1653.0;7200.0;844.0;323.0
2136;281594;17053;154;176;152;89;1178;1988;1758;4042;571;8966;17797;1652.0;7179.0;771.0;300.0
2137;281467;17235;154;173;192;81;1178;1954;2221;3679;600;9032;17939;1651.0;7256.0;872.0;306.0
2138;281847;17348;156;144;160;69;1193;1626;1851;3134;529;7804;16761;1653.0;7304.0;913.0;299.0
2139;281700;17129;183;176;154;67;1399;1988;1781;3043;580;8211;17074;1652.0;7211.0;1016.0;327.0
2140;281678;17164;175;168;152;77;1338;1897;1758;3497;572;8490;17368;1652.0;7226.0;959.0;320.0
2141;281539;17358;172;176;168;90;1315;1988;1943;4087;606;9333;18292;1651.0;7308.0;930.0;337.0
