Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13959;832;0;309296;5152;247220;1039;14545;433.0;1039.0;536.0;360.0;423.0;153.0;2589.0;1830.0;1959.0;2423.0;1039.0
2024;1135959;13832;1218;0;315832;3680;252990;435;14827;257.0;435.0;223.0;169.0;193.0;107.0;907.0;627.0;685.0;839.0;435.0
2025;1148573;12828;2093;0;321258;3448;258227;318;15214;223.0;318.0;181.0;158.0;132.0;70.0;765.0;525.0;584.0;714.0;318.0
2026;1159308;13939;2905;0;326568;3408;262602;297;15280;220.0;297.0;176.0;126.0;136.0;79.0;814.0;561.0;584.0;742.0;297.0
2027;1170342;14847;3881;0;331592;3403;266887;323;15634;205.0;323.0;156.0;138.0;157.0;77.0;691.0;477.0;514.0;639.0;323.0
2028;1181308;13797;5154;0;336508;3417;270931;342;15919;229.0;342.0;156.0;168.0;159.0;88.0;790.0;559.0;592.0;735.0;342.0
2029;1189951;14256;5911;0;341989;3389;274903;330;16165;213.0;330.0;180.0;144.0;149.0;70.0;687.0;454.0;506.0;634.0;330.0
2030;1198296;14600;6547;0;347661;3382;279409;353;16442;247.0;353.0;179.0;160.0;173.0;88.0;735.0;496.0;536.0;682.0;353.0
2031;1206349;14389;6937;0;353193;3307;283998;327;16672;271.0;327.0;169.0;182.0;164.0;83.0;777.0;557.0;575.0;717.0;327.0
2032;1213801;15391;7326;0;357141;3265;288499;303;16944;269.0;303.0;161.0;162.0;170.0;79.0;746.0;524.0;561.0;685.0;303.0
2033;1221866;14014;7744;0;360490;3210;291692;316;17051;248.0;316.0;172.0;180.0;126.0;86.0;738.0;500.0;553.0;683.0;316.0
2034;1228136;14930;8382;0;363667;3177;294329;342;17328;264.0;342.0;167.0;158.0;173.0;108.0;658.0;448.0;484.0;612.0;342.0
2035;1234684;14513;9072;0;366845;3145;296900;333;17436;236.0;333.0;156.0;166.0;163.0;84.0;574.0;361.0;415.0;527.0;333.0
2036;1240125;14380;10001;0;370393;3152;299485;321;17627;272.0;321.0;163.0;173.0;182.0;75.0;734.0;504.0;542.0;674.0;321.0
2037;1244504;13171;10784;0;374514;3096;302217;370;17943;276.0;370.0;188.0;199.0;178.0;81.0;884.0;623.0;666.0;818.0;370.0
2038;1246891;13668;11362;0;379182;3018;305475;326;17860;277.0;326.0;184.0;177.0;161.0;81.0;716.0;481.0;540.0;668.0;326.0
2039;1249197;13217;12080;0;384476;3001;309349;377;18036;278.0;377.0;184.0;175.0;198.0;98.0;759.0;532.0;578.0;702.0;377.0
2040;1250334;15004;12237;0;389742;2954;313707;376;18476;281.0;376.0;189.0;178.0;195.0;95.0;768.0;525.0;562.0;707.0;376.0
2041;1253101;14718;12908;0;395146;2913;317907;388;18681;269.0;388.0;201.0;185.0;188.0;83.0;883.0;625.0;676.0;821.0;388.0
2042;1254911;14140;13167;0;400324;2852;322328;386;18751;258.0;386.0;204.0;176.0;170.0;94.0;847.0;584.0;631.0;782.0;386.0
2043;1255884;14317;13658;0;405834;2810;326537;362;19164;272.0;362.0;169.0;192.0;207.0;66.0;780.0;562.0;602.0;731.0;362.0
2044;1256543;15279;13904;0;411214;2790;331038;370;19557;293.0;370.0;198.0;189.0;187.0;89.0;835.0;588.0;619.0;770.0;370.0
2045;1257918;13520;14268;0;416523;2722;335319;351;19843;300.0;351.0;198.0;184.0;170.0;99.0;796.0;547.0;602.0;747.0;351.0
2046;1257170;13543;14866;0;421515;2623;339575;399;19561;260.0;399.0;205.0;172.0;199.0;83.0;982.0;684.0;729.0;909.0;399.0
2047;1255847;14420;15023;0;425423;2605;343375;390;19865;253.0;390.0;190.0;163.0;210.0;80.0;860.0;608.0;645.0;796.0;390.0
2048;1255244;14590;15435;0;429716;2559;346621;352;20418;284.0;352.0;172.0;182.0;184.0;98.0;669.0;453.0;503.0;624.0;352.0
2049;1254399;13991;15622;0;433246;2543;350227;416;20281;303.0;416.0;222.0;208.0;218.0;71.0;977.0;692.0;742.0;906.0;416.0
2050;1252768;13731;15711;0;437146;2507;352873;397;20664;252.0;397.0;188.0;177.0;202.0;82.0;897.0;638.0;678.0;833.0;397.0
2051;1250788;14853;15634;0;440945;2516;355887;396;20957;290.0;396.0;206.0;187.0;184.0;109.0;909.0;646.0;680.0;848.0;396.0
2052;1250007;14487;15389;0;444339;2499;358874;387;20800;285.0;387.0;195.0;176.0;212.0;89.0;897.0;617.0;680.0;831.0;387.0
2053;1249105;13584;15004;0;447164;2432;361653;359;21064;284.0;359.0;201.0;184.0;174.0;84.0;823.0;554.0;617.0;765.0;359.0
2054;1247685;13836;14652;0;448716;2459;363878;421;21160;323.0;421.0;230.0;190.0;223.0;101.0;987.0;690.0;737.0;917.0;421.0
2055;1246869;14326;14641;0;449731;2390;365053;391;21426;335.0;391.0;207.0;197.0;208.0;114.0;828.0;568.0;620.0;765.0;391.0
2056;1246554;13846;14410;0;450374;2345;365668;442;21525;300.0;442.0;229.0;199.0;196.0;118.0;1017.0;703.0;755.0;941.0;442.0
2057;1245990;14563;14095;0;450253;2287;366024;433;21586;282.0;433.0;251.0;185.0;189.0;90.0;1024.0;690.0;754.0;953.0;433.0
2058;1246458;12673;14098;0;451675;2248;365945;411;21471;296.0;411.0;242.0;182.0;181.0;102.0;1003.0;684.0;744.0;923.0;411.0
2059;1245033;13770;14086;0;452969;2234;367111;391;21642;330.0;391.0;192.0;215.0;212.0;102.0;752.0;536.0;565.0;691.0;391.0
2060;1244717;13169;14282;0;453782;2164;368069;430;21494;294.0;430.0;222.0;203.0;199.0;100.0;922.0;647.0;683.0;861.0;430.0
2061;1243604;14668;14663;0;454634;2109;368537;431;21625;292.0;431.0;212.0;194.0;211.0;106.0;820.0;575.0;611.0;749.0;431.0
2062;1243609;14493;14796;0;453743;2082;369048;408;21914;299.0;408.0;197.0;216.0;188.0;106.0;842.0;576.0;627.0;781.0;408.0
2063;1243306;14172;15273;0;452149;2099;368324;431;21634;317.0;431.0;248.0;202.0;204.0;94.0;1086.0;755.0;796.0;996.0;431.0
2064;1242205;14821;15753;0;449643;2005;366963;391;21855;303.0;391.0;185.0;218.0;199.0;92.0;736.0;488.0;550.0;680.0;391.0
2065;1241273;13959;16200;0;446020;1989;364959;420;21491;272.0;420.0;229.0;180.0;190.0;93.0;995.0;690.0;760.0;927.0;420.0
2066;1239032;12742;16134;0;442139;1976;362037;409;21236;273.0;409.0;202.0;204.0;202.0;74.0;882.0;614.0;665.0;823.0;409.0
2067;1235640;14127;16178;0;439433;2013;358949;385;21094;291.0;385.0;196.0;184.0;190.0;106.0;655.0;437.0;485.0;602.0;385.0
2068;1233589;14714;16703;0;437186;2011;356748;410;21119;319.0;410.0;228.0;215.0;193.0;93.0;949.0;668.0;706.0;883.0;410.0
2069;1231600;14312;16561;0;432973;1990;354954;407;21244;302.0;407.0;205.0;210.0;197.0;97.0;845.0;572.0;621.0;789.0;407.0
2070;1229351;14247;16706;0;428181;1966;351437;411;20612;298.0;411.0;218.0;176.0;212.0;103.0;906.0;618.0;683.0;839.0;411.0
2071;1226892;12778;17023;0;424191;1940;347580;382;20581;303.0;382.0;188.0;198.0;196.0;103.0;719.0;500.0;540.0;673.0;382.0
2072;1222647;15084;16895;0;418668;1901;344324;375;20139;342.0;375.0;200.0;209.0;222.0;86.0;891.0;648.0;661.0;822.0;375.0
2073;1220836;15304;16929;0;414089;1809;339942;383;20042;313.0;383.0;201.0;208.0;191.0;96.0;809.0;550.0;619.0;762.0;383.0
2074;1219211;13541;17363;0;409699;1765;336192;349;19849;317.0;349.0;199.0;198.0;172.0;97.0;842.0;596.0;624.0;779.0;349.0
2075;1215389;13698;17390;0;405245;1730;332520;364;19377;295.0;364.0;195.0;188.0;205.0;71.0;813.0;592.0;624.0;762.0;364.0
2076;1211697;14795;17825;0;402660;1764;329002;379;19403;278.0;379.0;169.0;194.0;201.0;93.0;700.0;475.0;500.0;639.0;379.0
2077;1208667;14940;17628;0;400197;1793;326962;372;19313;293.0;372.0;195.0;208.0;173.0;89.0;811.0;567.0;611.0;765.0;372.0
2078;1205979;14635;18030;0;397573;1806;325161;358;19111;310.0;358.0;179.0;197.0;207.0;85.0;739.0;493.0;539.0;674.0;358.0
2079;1202584;14762;17881;0;397005;1836;322904;340;19123;289.0;340.0;178.0;197.0;173.0;81.0;714.0;497.0;532.0;658.0;340.0
2080;1199465;13618;17767;0;396680;1865;322377;351;19081;298.0;351.0;191.0;204.0;164.0;90.0;815.0;568.0;605.0;753.0;351.0
2081;1195316;12855;17361;0;395266;1867;322121;354;19023;306.0;354.0;187.0;184.0;201.0;88.0;769.0;523.0;583.0;720.0;354.0
2082;1190810;13482;17486;0;394346;1855;321138;336;18944;312.0;336.0;173.0;202.0;186.0;87.0;673.0;466.0;500.0;621.0;336.0
2083;1186806;14081;17008;0;391710;1858;320309;370;19017;322.0;370.0;196.0;226.0;181.0;89.0;771.0;534.0;566.0;709.0;370.0
2084;1183879;15090;16720;0;388770;1838;318106;352;18763;321.0;352.0;191.0;195.0;186.0;101.0;785.0;547.0;597.0;728.0;352.0
2085;1182249;13890;16666;0;386103;1808;315746;346;18468;323.0;346.0;190.0;206.0;187.0;86.0;898.0;629.0;677.0;839.0;346.0
2086;1179473;13727;16279;0;382976;1799;313564;347;18319;305.0;347.0;209.0;200.0;147.0;96.0;854.0;583.0;639.0;802.0;347.0
2087;1176921;13137;16272;0;379115;1770;311104;348;18383;294.0;348.0;194.0;173.0;180.0;95.0;766.0;513.0;565.0;708.0;348.0
2088;1173786;13943;16092;0;376135;1743;307939;358;17859;293.0;358.0;185.0;198.0;197.0;71.0;731.0;501.0;568.0;682.0;358.0
2089;1171637;14639;16123;0;373241;1693;305428;329;17784;292.0;329.0;162.0;195.0;176.0;88.0;688.0;483.0;512.0;628.0;329.0
2090;1170153;13262;15536;0;371283;1704;303130;353;17882;310.0;353.0;173.0;195.0;208.0;87.0;817.0;571.0;627.0;762.0;353.0
2091;1167879;13592;15753;0;369846;1686;301703;332;17613;284.0;332.0;180.0;156.0;175.0;105.0;780.0;537.0;582.0;723.0;332.0
2092;1165718;14101;15598;0;368757;1743;300590;328;17570;316.0;328.0;176.0;189.0;177.0;102.0;731.0;507.0;543.0;670.0;328.0
2093;1164221;14263;15248;0;366785;1707;299688;328;17470;250.0;328.0;153.0;151.0;187.0;87.0;578.0;385.0;433.0;536.0;328.0
2094;1163236;13582;15621;0;365915;1762;298145;317;17396;289.0;317.0;166.0;198.0;161.0;81.0;822.0;589.0;623.0;764.0;317.0
2095;1161197;15363;15524;0;363705;1768;297421;325;17446;299.0;325.0;182.0;189.0;177.0;76.0;617.0;385.0;451.0;572.0;325.0
2096;1161036;13107;15394;0;363567;1767;295720;334;17308;295.0;334.0;167.0;203.0;188.0;71.0;604.0;427.0;464.0;558.0;334.0
2097;1158749;13163;15231;0;363196;1783;295716;317;17270;299.0;317.0;178.0;197.0;170.0;71.0;824.0;579.0;609.0;748.0;317.0
2098;1156681;14365;15187;0;364855;1796;295363;325;17282;302.0;325.0;160.0;196.0;185.0;86.0;587.0;395.0;438.0;542.0;325.0
2099;1155859;14481;15221;0;365695;1776;296733;316;17488;301.0;316.0;167.0;181.0;184.0;85.0;697.0;496.0;522.0;643.0;316.0
2100;1155119;12738;14903;0;365812;1760;297443;313;17294;297.0;313.0;171.0;180.0;175.0;84.0;709.0;474.0;521.0;653.0;313.0
2101;1152954;14796;14909;0;366932;1748;297382;313;17357;312.0;313.0;174.0;193.0;168.0;90.0;647.0;440.0;472.0;601.0;313.0
2102;1152841;12139;14557;0;366813;1725;298249;323;17441;302.0;323.0;175.0;188.0;178.0;84.0;829.0;594.0;616.0;769.0;323.0
2103;1150423;14026;14179;0;366991;1717;298161;337;17401;302.0;337.0;177.0;178.0;192.0;92.0;637.0;435.0;479.0;588.0;337.0
2104;1150270;14140;14250;0;366939;1717;298171;333;17722;278.0;333.0;164.0;169.0;189.0;89.0;646.0;424.0;464.0;595.0;333.0
2105;1150160;12545;14271;0;365954;1691;298236;325;17426;313.0;325.0;143.0;208.0;196.0;91.0;492.0;327.0;355.0;454.0;325.0
2106;1148434;14505;14292;0;364849;1678;297490;272;17363;278.0;272.0;135.0;166.0;163.0;86.0;565.0;376.0;413.0;529.0;272.0
2107;1148647;13391;13953;0;365242;1662;296575;314;17325;266.0;314.0;158.0;189.0;151.0;82.0;799.0;567.0;590.0;739.0;314.0
2108;1148085;14565;13812;0;363317;1739;296822;345;17363;295.0;345.0;172.0;197.0;182.0;89.0;616.0;421.0;458.0;566.0;345.0
2109;1148838;14396;13783;0;364034;1704;295324;302;17233;295.0;302.0;181.0;187.0;161.0;68.0;748.0;520.0;555.0;681.0;302.0
2110;1149451;15294;13633;0;363217;1730;295916;367;17215;274.0;367.0;192.0;187.0;186.0;76.0;789.0;537.0;597.0;734.0;367.0
2111;1151112;14238;13786;0;363342;1731;295271;301;17318;305.0;301.0;166.0;179.0;172.0;89.0;651.0;443.0;497.0;614.0;301.0
2112;1151564;13463;13570;0;363663;1721;295337;331;17504;300.0;331.0;167.0;204.0;165.0;95.0;756.0;549.0;574.0;699.0;331.0
2113;1151457;13034;13518;0;364407;1674;295480;317;17143;296.0;317.0;185.0;169.0;179.0;80.0;733.0;474.0;519.0;667.0;317.0
2114;1150973;13268;13450;0;365213;1672;296091;306;17386;307.0;306.0;148.0;194.0;178.0;93.0;590.0;406.0;433.0;541.0;306.0
2115;1150791;14453;13449;0;364990;1665;296712;339;17519;277.0;339.0;174.0;178.0;179.0;85.0;800.0;541.0;577.0;727.0;339.0
2116;1151795;13620;13447;0;364377;1657;296579;334;17560;315.0;334.0;186.0;198.0;179.0;86.0;696.0;470.0;517.0;647.0;334.0
2117;1151968;14649;13385;0;364022;1608;295870;329;17713;234.0;329.0;182.0;156.0;142.0;83.0;771.0;522.0;563.0;708.0;329.0
2118;1153232;12655;13552;0;364044;1640;295721;334;17366;275.0;334.0;182.0;175.0;165.0;87.0;743.0;508.0;558.0;690.0;334.0
2119;1152335;15043;13398;0;364188;1607;295750;288;17273;288.0;288.0;150.0;175.0;165.0;86.0;524.0;345.0;381.0;483.0;288.0
2120;1153980;13551;13281;0;362766;1620;296030;322;17452;260.0;322.0;179.0;161.0;155.0;87.0;728.0;501.0;539.0;670.0;322.0
2121;1154250;13794;13266;0;363259;1616;294805;305;17102;280.0;305.0;159.0;155.0;175.0;96.0;561.0;380.0;415.0;520.0;305.0
2122;1154778;14457;13459;0;364166;1631;295296;321;17407;282.0;321.0;171.0;179.0;172.0;81.0;797.0;562.0;596.0;743.0;321.0
2123;1155776;14585;13550;0;364443;1586;295988;333;17262;273.0;333.0;177.0;186.0;163.0;80.0;753.0;504.0;559.0;700.0;333.0
2124;1156811;14303;13464;0;363049;1564;296108;345;17563;269.0;345.0;182.0;166.0;187.0;79.0;736.0;517.0;548.0;680.0;345.0
2125;1157650;12870;13411;0;362488;1580;294972;346;17412;265.0;346.0;193.0;156.0;187.0;75.0;755.0;490.0;558.0;696.0;346.0
2126;1157109;13489;13283;0;363050;1578;294484;287;17364;278.0;287.0;165.0;158.0;157.0;85.0;638.0;444.0;478.0;594.0;287.0
2127;1157315;14310;13253;0;363172;1619;295059;329;17337;265.0;329.0;175.0;168.0;162.0;89.0;723.0;504.0;530.0;654.0;329.0
2128;1158372;13967;13374;0;363316;1612;295209;310;17355;253.0;310.0;156.0;164.0;158.0;85.0;580.0;383.0;433.0;539.0;310.0
2129;1158965;14210;13474;0;363180;1647;295394;293;17397;258.0;293.0;149.0;156.0;163.0;83.0;511.0;349.0;377.0;475.0;293.0
2130;1159701;14773;13283;0;362878;1663;295352;323;17264;297.0;323.0;160.0;190.0;176.0;94.0;699.0;487.0;522.0;648.0;323.0
2131;1161191;14629;13546;0;361755;1594;295118;327;17518;280.0;327.0;155.0;203.0;180.0;69.0;622.0;440.0;477.0;576.0;327.0
2132;1162274;13621;13378;0;361227;1585;294180;348;17286;280.0;348.0;192.0;195.0;157.0;84.0;660.0;447.0;497.0;619.0;348.0
2133;1162517;15516;13297;0;360496;1565;293890;287;17034;279.0;287.0;152.0;195.0;141.0;78.0;643.0;456.0;474.0;595.0;287.0
2134;1164736;15133;13291;0;361527;1527;293354;296;17275;276.0;296.0;156.0;161.0;169.0;86.0;550.0;380.0;407.0;514.0;296.0
2135;1166578;13864;13381;0;360813;1559;294185;331;17176;253.0;331.0;180.0;166.0;149.0;89.0;668.0;456.0;510.0;626.0;331.0
2136;1167061;13743;13576;0;361405;1566;293626;301;17156;268.0;301.0;148.0;180.0;159.0;82.0;561.0;378.0;425.0;519.0;301.0
2137;1167228;13558;13523;0;359632;1562;294149;326;17326;282.0;326.0;165.0;167.0;197.0;79.0;778.0;524.0;583.0;722.0;326.0
2138;1167263;13875;13417;0;359635;1535;292667;292;17348;229.0;292.0;149.0;140.0;163.0;69.0;600.0;432.0;463.0;564.0;292.0
2139;1167721;14535;13505;0;360178;1566;292740;307;17105;278.0;307.0;157.0;194.0;176.0;58.0;735.0;524.0;540.0;676.0;307.0
2140;1168751;15138;13238;0;359094;1534;293217;332;17194;269.0;332.0;164.0;181.0;174.0;82.0;681.0;465.0;492.0;624.0;332.0
2141;1170651;13993;13229;0;358398;1549;292397;359;17370;276.0;359.0;186.0;176.0;173.0;100.0;770.0;520.0;552.0;707.0;359.0
2142;1171415;13424;13221;0;358377;1546;291852;291;17338;257.0;291.0;150.0;166.0;154.0;78.0;620.0;436.0;465.0;568.0;291.0
2143;1171618;14477;13298;0;359097;1566;291836;319;17256;239.0;319.0;168.0;150.0;158.0;82.0;592.0;401.0;443.0;551.0;319.0
2144;1172797;14511;13458;0;359376;1616;292407;309;17216;262.0;309.0;170.0;153.0;162.0;86.0;573.0;386.0;411.0;534.0;309.0
2145;1173850;15056;13276;0;359140;1611;292611;340;17377;254.0;340.0;185.0;173.0;162.0;74.0;796.0;550.0;586.0;740.0;340.0
2146;1175630;13477;13309;0;358837;1633;292369;315;17166;281.0;315.0;177.0;177.0;175.0;67.0;663.0;444.0;501.0;621.0;315.0
2147;1175798;13881;13404;0;358329;1577;292199;308;17025;298.0;308.0;165.0;175.0;173.0;93.0;562.0;386.0;423.0;525.0;308.0
2148;1176275;15031;13312;0;358360;1527;291735;313;17341;260.0;313.0;163.0;163.0;156.0;91.0;616.0;416.0;458.0;576.0;313.0
2149;1177994;14343;13422;0;358638;1548;291866;308;17110;272.0;308.0;162.0;168.0;168.0;82.0;658.0;461.0;480.0;607.0;308.0
2150;1178915;13069;13354;0;358107;1522;291999;308;16978;250.0;308.0;166.0;133.0;180.0;79.0;584.0;382.0;418.0;538.0;308.0
2151;1178630;15370;13492;0;358568;1550;291569;331;17256;247.0;331.0;169.0;154.0;181.0;74.0;606.0;405.0;443.0;554.0;331.0
2152;1180508;12912;13280;0;356865;1580;291920;318;17191;255.0;318.0;166.0;171.0;164.0;72.0;667.0;473.0;492.0;615.0;318.0
2153;1180140;14591;13403;0;356507;1612;290517;314;16985;297.0;314.0;168.0;191.0;169.0;83.0;786.0;548.0;580.0;730.0;314.0
2154;1181328;13865;13376;0;356311;1577;290393;312;17137;254.0;312.0;185.0;174.0;143.0;64.0;756.0;513.0;564.0;701.0;312.0
2155;1181817;13511;13324;0;355609;1597;290052;323;17109;255.0;323.0;153.0;175.0;169.0;81.0;530.0;351.0;395.0;493.0;323.0
2156;1182004;14518;13268;0;356912;1611;289571;342;16950;284.0;342.0;181.0;192.0;165.0;88.0;860.0;611.0;628.0;786.0;342.0
2157;1183254;13831;13241;0;357255;1608;290531;310;17257;273.0;310.0;166.0;175.0;151.0;91.0;644.0;439.0;467.0;589.0;310.0
2158;1183844;14624;13302;0;358263;1555;290754;292;17007;268.0;292.0;158.0;162.0;163.0;77.0;583.0;395.0;440.0;545.0;292.0
2159;1185166;13724;13382;0;358173;1562;291595;334;17033;280.0;334.0;193.0;166.0;160.0;95.0;717.0;485.0;527.0;668.0;334.0
2160;1185508;14068;13528;0;358789;1552;291512;343;17168;263.0;343.0;167.0;162.0;200.0;77.0;726.0;502.0;553.0;674.0;343.0
2161;1186048;14060;13093;0;359266;1552;292079;293;17082;279.0;293.0;154.0;168.0;167.0;83.0;602.0;420.0;441.0;559.0;293.0
2162;1187015;14939;13250;0;359795;1520;292506;327;17454;241.0;327.0;158.0;156.0;176.0;78.0;610.0;416.0;452.0;563.0;327.0
