Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;85272;5378;202;254;220;124;1545;2868;2545;5631;800;12589;15353;500.0;2264.0;920.0;639.0;700.0;863.0;367.0
2024;89067;5648;201;224;219;121;1537;2530;2533;5495;765;12095;14995;522.0;2378.0;890.0;624.0;668.0;824.0;390.0
2025;89957;5649;209;210;195;106;1598;2372;2256;4814;720;11040;13946;528.0;2378.0;862.0;584.0;650.0;809.0;400.0
2026;89939;5459;152;140;160;96;1162;1581;1851;4360;548;8954;11779;527.0;2298.0;632.0;420.0;461.0;588.0;265.0
2027;93386;5726;149;158;138;82;1139;1784;1596;3724;527;8243;11202;548.0;2411.0;656.0;451.0;495.0;612.0;290.0
2028;94381;5897;159;169;159;94;1216;1909;1839;4269;581;9233;12270;554.0;2483.0;686.0;463.0;509.0;631.0;319.0
2029;94528;5856;167;155;137;77;1277;1750;1585;3497;536;8109;11128;554.0;2465.0;707.0;495.0;520.0;652.0;291.0
2030;98179;6099;141;162;170;81;1078;1830;1966;3679;554;8553;11697;576.0;2568.0;626.0;426.0;462.0;579.0;289.0
2031;99648;6117;142;198;176;89;1086;2236;2036;4042;605;9400;12559;584.0;2575.0;683.0;488.0;516.0;635.0;295.0
2032;99768;6174;165;176;169;100;1262;1988;1955;4541;610;9746;12930;585.0;2599.0;731.0;515.0;543.0;672.0;308.0
2033;101914;6327;152;184;139;81;1162;2078;1608;3679;556;8527;11789;598.0;2664.0;644.0;432.0;482.0;597.0;280.0
2034;102639;6262;145;172;169;102;1109;1942;1955;4632;588;9638;12876;602.0;2636.0;674.0;483.0;497.0;619.0;280.0
2035;102828;6353;140;184;152;92;1071;2078;1758;4178;568;9085;12363;603.0;2675.0;479.0;304.0;348.0;441.0;293.0
2036;105062;6404;164;189;179;105;1254;2134;2071;4768;637;10227;13539;616.0;2696.0;622.0;404.0;463.0;572.0;311.0
2037;105703;6602;149;201;164;76;1139;2270;1897;3451;590;8757;12156;620.0;2779.0;714.0;491.0;530.0;666.0;289.0
2038;106562;6553;150;186;179;81;1147;2101;2071;3679;596;8998;12382;625.0;2759.0;654.0;459.0;493.0;603.0;289.0
2039;109155;6748;183;194;166;88;1399;2191;1920;3996;631;9506;12987;640.0;2841.0;738.0;507.0;556.0;690.0;310.0
2040;109680;6827;164;198;205;105;1254;2236;2371;4768;672;10629;14146;643.0;2874.0;710.0;497.0;540.0;648.0;348.0
2041;110806;6829;149;197;194;105;1139;2225;2244;4768;645;10376;13901;650.0;2875.0;620.0;419.0;472.0;568.0;320.0
2042;113368;6804;154;183;173;90;1178;2067;2001;4087;600;9333;12863;665.0;2865.0;649.0;451.0;482.0;600.0;300.0
2043;113911;7117;178;206;184;79;1361;2326;2128;3588;647;9403;13067;668.0;2996.0;780.0;550.0;586.0;726.0;330.0
2044;115302;7083;185;220;188;85;1415;2485;2175;3860;678;9935;13593;676.0;2982.0;851.0;611.0;643.0;793.0;325.0
2045;117379;7204;188;195;196;105;1438;2202;2267;4768;684;10675;14396;688.0;3033.0;695.0;480.0;523.0;651.0;339.0
2046;117948;7244;176;191;199;91;1346;2157;2302;4133;657;9938;13680;692.0;3050.0;810.0;568.0;608.0;755.0;348.0
2047;119739;7176;162;178;194;82;1239;2010;2244;3724;616;9217;12940;702.0;3021.0;774.0;549.0;582.0;718.0;329.0
2048;120664;7456;181;185;190;101;1384;2089;2198;4587;657;10258;14105;708.0;3139.0;683.0;463.0;513.0;635.0;341.0
2049;121001;7126;166;213;203;84;1269;2405;2348;3815;666;9837;13547;710.0;3000.0;662.0;453.0;492.0;616.0;321.0
2050;122694;7507;168;194;179;99;1285;2191;2071;4496;640;10043;13923;720.0;3160.0;770.0;531.0;579.0;713.0;334.0
2051;123180;7564;171;199;204;101;1308;2247;2360;4587;675;10502;14408;722.0;3184.0;871.0;624.0;648.0;804.0;348.0
2052;123440;7332;161;200;189;102;1231;2259;2186;4632;652;10308;14119;724.0;3087.0;573.0;388.0;436.0;539.0;316.0
2053;125410;7634;202;198;191;87;1545;2236;2209;3951;678;9941;13891;736.0;3214.0;898.0;628.0;671.0;833.0;349.0
2054;125578;7713;203;216;212;101;1552;2439;2452;4587;732;11030;15014;737.0;3247.0;914.0;633.0;674.0;843.0;378.0
2055;125307;7730;198;213;222;124;1514;2405;2568;5631;757;12118;16107;735.0;3254.0;841.0;586.0;630.0;778.0;377.0
2056;126795;7666;204;207;185;110;1560;2338;2140;4996;706;11034;15005;744.0;3227.0;936.0;649.0;711.0;872.0;355.0
2057;126652;7899;216;198;191;109;1652;2236;2209;4950;714;11047;15116;743.0;3326.0;915.0;625.0;676.0;851.0;399.0
2058;125845;7809;212;194;181;114;1621;2191;2094;5177;701;11083;15109;738.0;3288.0;837.0;560.0;615.0;770.0;353.0
2059;127463;7752;172;227;221;100;1315;2564;2556;4541;720;10976;14988;748.0;3264.0;667.0;478.0;493.0;611.0;344.0
2060;127574;7678;186;208;205;100;1422;2349;2371;4541;699;10683;14663;748.0;3232.0;772.0;540.0;584.0;714.0;354.0
2061;126734;7781;220;203;190;118;1682;2293;2198;5359;731;11532;15551;743.0;3276.0;788.0;532.0;570.0;726.0;396.0
2062;128208;7982;201;219;202;118;1537;2473;2337;5359;740;11706;15818;752.0;3360.0;844.0;576.0;641.0;786.0;379.0
2063;127373;7794;177;216;197;105;1354;2439;2279;4768;695;10840;14868;747.0;3281.0;694.0;476.0;529.0;643.0;330.0
2064;126168;7791;174;246;213;104;1331;2778;2464;4723;737;11296;15316;740.0;3280.0;814.0;571.0;604.0;753.0;382.0
2065;126961;7854;200;208;191;94;1529;2349;2209;4269;693;10356;14408;745.0;3307.0;899.0;626.0;672.0;829.0;364.0
2066;124478;7713;205;204;197;83;1568;2304;2279;3769;689;9920;13897;730.0;3247.0;786.0;535.0;589.0;736.0;370.0
2067;123062;7513;165;204;185;117;1262;2304;2140;5313;671;11019;14904;722.0;3163.0;603.0;420.0;455.0;564.0;326.0
2068;124841;7735;199;225;197;111;1522;2541;2279;5041;732;11383;15371;732.0;3256.0;757.0;502.0;558.0;691.0;363.0
