Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14324;822;0;309257;5137;53885;252;3296;432.0;252.0;134.0;225.0;201.0;124.0;778.0;252.0
2024;1136334;14129;1276;0;315791;4454;54495;236;3297;398.0;236.0;124.0;215.0;170.0;125.0;867.0;236.0
2025;1149187;14260;2043;0;321239;4295;55193;255;3288;362.0;255.0;157.0;210.0;154.0;96.0;908.0;255.0
2026;1161404;13772;3000;0;326539;4188;56377;252;3324;359.0;252.0;135.0;191.0;179.0;106.0;821.0;252.0
2027;1172176;13320;3963;0;331571;4069;57952;263;3446;295.0;263.0;133.0;177.0;146.0;102.0;655.0;263.0
2028;1181533;14728;4941;0;336482;4063;58852;274;3597;277.0;274.0;148.0;172.0;147.0;84.0;899.0;274.0
2029;1191320;13220;5910;0;341947;4048;59869;242;3532;289.0;242.0;149.0;166.0;131.0;85.0;789.0;242.0
2030;1198630;13327;6595;0;347644;4040;60979;261;3730;317.0;261.0;139.0;186.0;172.0;81.0;816.0;261.0
2031;1205362;12927;6894;0;353187;4011;62749;252;3765;341.0;252.0;126.0;195.0;167.0;105.0;683.0;252.0
2032;1211395;13215;7149;0;357126;3940;64505;271;3857;341.0;271.0;139.0;195.0;181.0;97.0;811.0;271.0
2033;1217461;14515;7686;0;360479;3872;64104;264;3922;315.0;264.0;156.0;181.0;150.0;92.0;842.0;264.0
2034;1224290;13808;8365;0;363644;3824;64750;274;3862;320.0;274.0;160.0;168.0;163.0;103.0;889.0;274.0
2035;1229733;13384;9151;0;366805;3815;65549;270;3917;305.0;270.0;133.0;192.0;158.0;92.0;685.0;270.0
2036;1233966;14695;10005;0;370382;3801;67088;280;3951;336.0;280.0;151.0;192.0;167.0;106.0;850.0;280.0
2037;1238656;14644;10811;0;374519;3738;68759;311;4185;334.0;311.0;154.0;219.0;178.0;94.0;788.0;311.0
2038;1242489;15166;11447;0;379143;3640;68911;267;4155;326.0;267.0;137.0;203.0;168.0;85.0;735.0;267.0
2039;1246208;13788;12025;0;384430;3644;69818;258;4207;346.0;258.0;133.0;186.0;181.0;104.0;704.0;258.0
2040;1247971;13953;12342;0;389626;3657;70281;302;4143;345.0;302.0;156.0;204.0;181.0;106.0;876.0;302.0
2041;1249582;13702;12889;0;395040;3631;71382;292;4244;342.0;292.0;159.0;211.0;177.0;87.0;1088.0;292.0
