Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125352;7941;263;275;283;128;2011;3106;3274;5813;949;14204;17585;735.0;2646.0;1316.0;954.0;1019.0;1234.0;516.0
2024;128038;8118;308;232;240;118;2355;2620;2776;5359;898;13110;16566;751.0;2705.0;1402.0;973.0;1040.0;1302.0;557.0
2025;130533;7981;182;181;148;86;1392;2044;1712;3906;597;9054;12479;766.0;2659.0;797.0;563.0;609.0;746.0;325.0
2026;132355;8002;152;152;150;93;1162;1717;1735;4224;547;8838;12280;776.0;2666.0;613.0;418.0;457.0;564.0;288.0
2027;134783;8117;158;145;146;84;1208;1638;1689;3815;533;8350;11846;791.0;2705.0;648.0;419.0;466.0;592.0;305.0
2028;136402;8387;155;173;143;86;1185;1954;1654;3906;557;8699;12293;800.0;2794.0;797.0;554.0;587.0;736.0;312.0
2029;138756;8475;157;154;150;78;1201;1739;1735;3542;539;8217;11855;814.0;2824.0;651.0;455.0;494.0;605.0;311.0
2030;140902;8536;179;159;174;85;1369;1796;2013;3860;597;9038;12708;826.0;2844.0;718.0;486.0;535.0;671.0;339.0
2031;143370;8657;174;171;162;88;1331;1931;1874;3996;595;9132;12857;841.0;2884.0;724.0;498.0;521.0;668.0;311.0
2032;145381;8934;157;182;185;86;1201;2055;2140;3906;610;9302;13132;853.0;2977.0;793.0;556.0;585.0;722.0;323.0
2033;146581;8919;150;191;141;83;1147;2157;1631;3769;565;8704;12536;860.0;2972.0;610.0;423.0;463.0;568.0;303.0
2034;148040;9020;171;165;160;100;1308;1863;1851;4541;596;9563;13436;868.0;3005.0;767.0;532.0;572.0;708.0;312.0
2035;149142;9116;147;175;150;84;1124;1976;1735;3815;556;8650;12562;875.0;3037.0;578.0;379.0;415.0;533.0;299.0
2036;150605;9121;175;176;181;98;1338;1988;2094;4451;630;9871;13793;883.0;3039.0;703.0;472.0;529.0;649.0;335.0
2037;151936;9383;154;181;174;73;1178;2044;2013;3315;582;8550;12567;891.0;3126.0;657.0;449.0;480.0;599.0;299.0
2038;153845;9372;177;196;163;82;1354;2213;1885;3724;618;9176;13201;902.0;3123.0;815.0;559.0;614.0;760.0;329.0
2039;155795;9521;188;176;189;96;1438;1988;2186;4360;649;9972;14058;914.0;3172.0;735.0;505.0;543.0;678.0;339.0
2040;158204;9705;156;198;196;106;1193;2236;2267;4814;656;10510;14672;928.0;3234.0;610.0;423.0;466.0;563.0;343.0
2041;160013;9813;173;201;189;82;1323;2270;2186;3724;645;9503;13711;938.0;3270.0;856.0;605.0;643.0;788.0;351.0
2042;162709;9695;193;177;155;89;1476;1999;1793;4042;614;9310;13494;954.0;3230.0;833.0;574.0;613.0;768.0;335.0
