Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14802;859;0;309296;5133;68681;297;4093;433.0;297.0;151.0;241.0;217.0;121.0;582.0;297.0
2024;1136775;13161;1229;0;315833;4405;71569;331;4270;380.0;331.0;190.0;219.0;185.0;117.0;737.0;331.0
2025;1148707;13314;2022;0;321258;4185;74476;223;4336;345.0;223.0;125.0;202.0;142.0;99.0;452.0;223.0
2026;1159999;14126;3038;0;326566;4108;76714;196;4453;346.0;196.0;109.0;164.0;156.0;113.0;395.0;196.0
2027;1171087;12674;3947;0;331593;4081;79556;200;4640;295.0;200.0;107.0;159.0;144.0;85.0;470.0;200.0
2028;1179814;14018;5037;0;336512;4119;81311;196;4865;313.0;196.0;103.0;183.0;132.0;91.0;404.0;196.0
2029;1188795;14636;5879;0;341989;4165;83308;198;4916;328.0;198.0;119.0;170.0;139.0;98.0;383.0;198.0
2030;1197552;14086;6548;0;347656;4170;84355;217;5007;358.0;217.0;108.0;198.0;163.0;106.0;410.0;217.0
2031;1205090;13722;6890;0;353203;4145;86538;208;5103;395.0;208.0;114.0;213.0;180.0;96.0;433.0;208.0
2032;1211922;14544;7176;0;357154;4068;87064;209;5139;402.0;209.0;111.0;203.0;180.0;117.0;414.0;209.0
2033;1219290;13661;7841;0;360503;3974;88204;202;5256;374.0;202.0;121.0;203.0;150.0;102.0;454.0;202.0
2034;1225110;12714;8320;0;363628;3932;88705;237;5167;382.0;237.0;129.0;183.0;188.0;119.0;558.0;237.0
2035;1229504;14626;9217;0;366826;3901;88833;209;5261;370.0;209.0;106.0;220.0;152.0;101.0;369.0;209.0
2036;1234913;13555;9985;0;370323;3889;88277;213;5156;386.0;213.0;124.0;205.0;167.0;103.0;475.0;213.0
2037;1238483;14310;10861;0;374438;3835;88125;184;5276;392.0;184.0;112.0;218.0;157.0;89.0;400.0;184.0
2038;1241932;13984;11668;0;379086;3807;87294;197;5168;395.0;197.0;119.0;219.0;164.0;90.0;484.0;197.0
2039;1244248;14917;12091;0;384301;3815;87397;227;5189;407.0;227.0;133.0;222.0;177.0;102.0;510.0;227.0
2040;1247074;13777;12320;0;389526;3781;87687;234;5174;405.0;234.0;118.0;230.0;175.0;116.0;496.0;234.0
2041;1248531;14174;12767;0;394902;3762;88512;216;5215;417.0;216.0;127.0;229.0;168.0;109.0;501.0;216.0
2042;1249938;12953;13360;0;400088;3717;89800;227;5199;393.0;227.0;133.0;215.0;157.0;115.0;492.0;227.0
