Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68675;4399;154;243;220;121;1178;2744;2545;5495;738;11962;14217;403.0;1852.0;631.0;305.0
2024;71573;4593;188;216;185;117;1438;2439;2140;5313;706;11330;13684;420.0;1934.0;715.0;325.0
2025;74481;4554;126;198;139;99;964;2236;1608;4496;562;9304;11658;437.0;1917.0;455.0;219.0
2026;76720;4654;109;164;159;116;834;1852;1839;5268;548;9793;12202;450.0;1959.0;389.0;199.0
2027;79552;4848;117;161;145;82;895;1818;1677;3724;505;8114;10622;467.0;2041.0;490.0;207.0
2028;81316;5056;101;181;128;92;772;2044;1481;4178;502;8475;11081;477.0;2129.0;398.0;192.0
2029;83305;5117;120;169;141;98;918;1909;1631;4451;528;8909;11552;489.0;2154.0;404.0;201.0
2030;84359;5227;107;200;170;105;818;2259;1966;4768;582;9811;12507;495.0;2201.0;419.0;219.0
2031;86525;5309;110;214;181;95;841;2417;2094;4314;600;9666;12408;507.0;2235.0;407.0;210.0
2032;87066;5362;115;203;185;120;879;2293;2140;5450;623;10762;13530;511.0;2257.0;412.0;220.0
2033;88200;5462;125;206;144;100;956;2326;1666;4541;575;9489;12306;517.0;2300.0;440.0;206.0
2034;88712;5408;131;190;185;119;1002;2146;2140;5404;625;10692;13489;520.0;2277.0;564.0;239.0
2035;88825;5477;108;215;154;100;826;2428;1781;4541;577;9576;12403;521.0;2306.0;383.0;216.0
2036;88279;5356;109;206;168;101;834;2326;1943;4587;584;9690;12463;518.0;2255.0;445.0;200.0
2037;88142;5471;114;214;156;92;872;2417;1805;4178;576;9272;12092;517.0;2303.0;400.0;191.0
2038;87283;5362;125;218;158;90;956;2462;1828;4087;591;9333;12102;512.0;2257.0;499.0;198.0
2039;87427;5403;123;215;177;99;941;2428;2047;4496;614;9912;12700;513.0;2275.0;438.0;212.0
2040;87712;5395;117;232;168;119;895;2620;1943;5404;636;10862;13647;514.0;2271.0;465.0;222.0
2041;88534;5451;144;231;168;109;1101;2609;1943;4950;652;10603;13417;519.0;2295.0;575.0;237.0
2042;89787;5431;135;217;164;114;1032;2451;1897;5177;630;10557;13370;527.0;2286.0;527.0;238.0
