Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13089;861;0;309297;5147;125349;519;7425;433.0;519.0;265.0;277.0;282.0;128.0;1334.0;967.0;1033.0;1250.0;519.0
2024;1135060;14244;1252;0;315832;4195;128035;561;7561;341.0;561.0;308.0;235.0;241.0;118.0;1393.0;967.0;1033.0;1294.0;561.0
2025;1148052;14077;2095;0;321259;3768;130523;333;7654;271.0;333.0;186.0;179.0;151.0;88.0;791.0;548.0;600.0;738.0;333.0
2026;1160034;13977;3003;0;326566;3662;132352;289;7715;258.0;289.0;157.0;148.0;149.0;93.0;657.0;452.0;491.0;604.0;289.0
2027;1171008;13880;3922;0;331594;3625;134786;299;7813;230.0;299.0;155.0;142.0;150.0;82.0;615.0;403.0;444.0;566.0;299.0
2028;1180966;14458;4923;0;336518;3632;136407;311;8070;243.0;311.0;156.0;167.0;145.0;86.0;772.0;523.0;567.0;718.0;311.0
2029;1190501;13769;5913;0;341994;3627;138760;311;8168;228.0;311.0;164.0;157.0;140.0;78.0;703.0;490.0;531.0;654.0;311.0
2030;1198357;13934;6626;0;347656;3610;140890;333;8195;262.0;333.0;173.0;167.0;171.0;84.0;727.0;504.0;541.0;676.0;333.0
2031;1205665;14597;7041;0;353210;3575;143378;312;8348;279.0;312.0;162.0;170.0;173.0;86.0;702.0;491.0;504.0;644.0;312.0
2032;1213221;13528;7160;0;357134;3503;145382;318;8610;288.0;318.0;159.0;183.0;175.0;89.0;783.0;538.0;577.0;711.0;318.0
2033;1219589;14038;7743;0;360479;3426;146568;310;8613;260.0;310.0;161.0;192.0;137.0;80.0;650.0;450.0;494.0;609.0;310.0
2034;1225884;13979;8318;0;363659;3394;148022;329;8707;285.0;329.0;174.0;167.0;170.0;103.0;793.0;548.0;586.0;729.0;329.0
2035;1231545;12785;9152;0;366834;3355;149139;305;8814;254.0;305.0;143.0;171.0;160.0;85.0;539.0;354.0;390.0;494.0;305.0
2036;1235178;13856;9752;0;370385;3371;150600;322;8779;289.0;322.0;174.0;175.0;172.0;90.0;750.0;516.0;562.0;694.0;322.0
2037;1239282;15295;10963;0;374515;3292;151944;293;9095;282.0;293.0;157.0;182.0;166.0;70.0;670.0;459.0;493.0;614.0;293.0
2038;1243614;15896;11439;0;379184;3282;153884;332;9043;292.0;332.0;174.0;197.0;169.0;84.0;773.0;522.0;582.0;720.0;332.0
2039;1248071;14655;11957;0;384474;3226;155811;334;9179;306.0;334.0;179.0;178.0;189.0;94.0;737.0;500.0;546.0;682.0;334.0
2040;1250769;13384;12573;0;389710;3223;158215;351;9364;305.0;351.0;153.0;200.0;199.0;104.0;585.0;409.0;450.0;544.0;351.0
2041;1251580;13406;12968;0;395117;3182;160024;365;9462;284.0;365.0;192.0;197.0;177.0;83.0;922.0;652.0;688.0;850.0;365.0
2042;1252018;14072;13169;0;400296;3120;162744;324;9364;277.0;324.0;179.0;173.0;156.0;93.0;743.0;518.0;550.0;685.0;324.0
