Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;0;0;17;215;120;108;130;2428;1388;4905;460;8851;8851;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2026;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2027;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2028;0;0;16;250;131;118;122;2823;1515;5359;515;9819;9819;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029;0;0;27;249;123;118;206;2812;1423;5359;517;9800;9800;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2031;0;0;22;268;157;142;168;3027;1816;6449;589;11460;11460;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2032;0;0;24;267;169;154;184;3015;1955;6994;614;12148;12148;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2033;0;0;22;274;144;137;168;3094;1666;6222;577;11150;11150;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2034;0;0;19;249;187;148;145;2812;2163;6721;603;11841;11841;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2035;0;0;14;290;144;125;107;3275;1666;5677;573;10725;10725;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;0;0;30;255;164;143;229;2880;1897;6494;592;11500;11500;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;0;0;30;274;152;132;229;3094;1758;5995;588;11076;11076;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2038;0;0;29;270;155;132;222;3049;1793;5995;586;11059;11059;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2039;0;0;27;294;174;138;206;3320;2013;6267;633;11806;11806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2040;0;0;18;281;158;151;138;3173;1828;6858;608;11997;11997;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2041;0;0;18;306;153;144;138;3456;1770;6540;621;11904;11904;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2042;0;0;26;277;146;143;199;3128;1689;6494;592;11510;11510;0.0;0.0;0.0;0.0;0.0;0.0;0.0
