Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;13007;816;39;196;132;110;298;2213;1527;4996;477;9034;9454;76.0;344.0;85.0;44.0
2024;13433;920;44;197;134;114;336;2225;1550;5177;489;9288;9754;79.0;387.0;162.0;57.0
2025;14173;838;36;214;125;105;275;2417;1446;4768;480;8906;9342;83.0;353.0;89.0;35.0
2026;14421;888;33;207;139;122;252;2338;1608;5541;501;9739;10198;85.0;374.0;119.0;41.0
2027;15184;968;39;205;115;112;298;2315;1330;5086;471;9029;9526;89.0;408.0;111.0;45.0
2028;15218;955;33;239;134;112;252;2699;1550;5086;518;9587;10078;89.0;402.0;97.0;33.0
2029;15792;943;43;237;130;112;329;2676;1504;5086;522;9595;10085;93.0;397.0;62.0;39.0
2030;15678;955;35;247;153;114;268;2789;1770;5177;549;10004;10498;92.0;402.0;73.0;38.0
2031;16385;966;36;255;170;136;275;2880;1966;6176;597;11297;11800;96.0;407.0;44.0;45.0
2032;16128;1013;42;255;169;149;321;2880;1955;6767;615;11923;12444;95.0;426.0;104.0;42.0
2033;16659;1080;42;256;141;134;321;2891;1631;6085;573;10928;11481;98.0;455.0;87.0;38.0
2034;16368;1017;47;242;188;134;359;2733;2175;6085;611;11352;11876;96.0;428.0;128.0;52.0
2035;16789;1036;29;282;145;121;222;3185;1677;5495;577;10579;11113;98.0;436.0;59.0;44.0
2036;16311;997;49;247;168;133;375;2789;1943;6040;597;11147;11663;96.0;420.0;127.0;46.0
2037;16605;1051;49;263;151;126;375;2970;1747;5722;589;10814;11353;97.0;442.0;84.0;38.0
2038;16195;974;42;269;160;130;321;3038;1851;5904;601;11114;11619;95.0;410.0;124.0;45.0
2039;16432;1000;46;282;171;129;352;3185;1978;5858;628;11373;11890;96.0;421.0;101.0;42.0
2040;16334;981;32;283;159;134;245;3196;1839;6085;608;11365;11874;96.0;413.0;83.0;44.0
2041;16570;1042;39;294;156;137;298;3320;1805;6222;626;11645;12181;97.0;439.0;103.0;44.0
2042;16571;944;44;270;142;140;336;3049;1643;6358;596;11386;11880;97.0;397.0;62.0;40.0
