Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;62702;3950;121;232;192;118;925;2620;2221;5359;663;11125;13156;368.0;1663.0;521.0;375.0;401.0;485.0;230.0
2024;63638;4062;155;212;178;124;1185;2394;2059;5631;669;11269;13352;373.0;1710.0;682.0;481.0;512.0;635.0;270.0
2025;65357;3951;99;197;133;95;757;2225;1538;4314;524;8834;10880;383.0;1663.0;413.0;282.0;313.0;387.0;146.0
2026;65784;3958;97;174;146;111;742;1965;1689;5041;528;9437;11489;386.0;1666.0;366.0;255.0;266.0;342.0;153.0
2027;67505;4091;100;181;131;106;765;2044;1515;4814;518;9138;11256;396.0;1722.0;380.0;260.0;272.0;342.0;173.0
2028;67885;4214;85;202;144;93;650;2281;1666;4224;524;8821;10993;398.0;1774.0;388.0;268.0;288.0;362.0;145.0
2029;69515;4157;89;208;129;103;681;2349;1492;4678;529;9200;11358;408.0;1750.0;286.0;191.0;219.0;271.0;142.0
2030;69992;4353;98;217;161;99;749;2451;1862;4496;575;9558;11802;411.0;1833.0;329.0;226.0;246.0;304.0;164.0
2031;71833;4351;94;231;167;110;719;2609;1932;4996;602;10256;12509;421.0;1832.0;373.0;267.0;273.0;347.0;151.0
2032;72173;4401;110;217;158;130;841;2451;1828;5904;615;11024;13300;423.0;1853.0;452.0;315.0;337.0;421.0;172.0
2033;73377;4543;96;240;141;114;734;2710;1631;5177;591;10252;12595;430.0;1913.0;382.0;273.0;289.0;355.0;159.0
2034;73617;4455;98;202;174;121;749;2281;2013;5495;595;10538;12846;432.0;1876.0;371.0;248.0;276.0;341.0;152.0
2035;74615;4516;77;215;149;107;589;2428;1724;4859;548;9600;11939;438.0;1901.0;261.0;163.0;193.0;241.0;148.0
2036;75042;4525;108;226;160;111;826;2552;1851;5041;605;10270;12615;440.0;1905.0;469.0;323.0;353.0;434.0;165.0
2037;75911;4663;97;228;149;107;742;2575;1724;4859;581;9900;12308;445.0;1963.0;313.0;207.0;223.0;288.0;143.0
2038;76757;4697;88;234;170;120;673;2643;1966;5450;612;10732;13159;450.0;1977.0;289.0;193.0;229.0;274.0;161.0
2039;77968;4776;95;236;194;106;726;2665;2244;4814;631;10449;12917;457.0;2011.0;328.0;223.0;236.0;299.0;177.0
2040;79035;4812;97;246;188;126;742;2778;2175;5722;657;11417;13907;464.0;2026.0;364.0;256.0;274.0;341.0;197.0
2041;80043;4868;91;267;168;125;696;3015;1943;5677;651;11331;13849;469.0;2049.0;342.0;242.0;258.0;321.0;182.0
2042;81327;4820;100;213;155;110;765;2405;1793;4996;578;9959;12465;477.0;2029.0;374.0;266.0;286.0;348.0;153.0
