Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;13420;817;0;309297;5158;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0;0.0;0.0;0.0
2024;1135435;13997;1260;0;315833;4725;0;0;0;440.0;0.0;14.0;195.0;118.0;113.0;0.0;0.0;0.0;0.0;0.0
2025;1148172;12745;2097;0;321258;4756;0;0;0;460.0;0.0;17.0;215.0;120.0;108.0;0.0;0.0;0.0;0.0;0.0
2026;1158820;14686;2980;0;326566;4790;0;0;0;484.0;0.0;11.0;209.0;139.0;125.0;0.0;0.0;0.0;0.0;0.0
2027;1170526;14579;4042;0;331593;4809;0;0;0;460.0;0.0;18.0;214.0;111.0;117.0;0.0;0.0;0.0;0.0;0.0
2028;1181063;14120;5001;0;336515;4898;0;0;0;515.0;0.0;16.0;250.0;131.0;118.0;0.0;0.0;0.0;0.0;0.0
2029;1190182;15566;5967;0;341991;4907;0;0;0;517.0;0.0;27.0;249.0;123.0;118.0;0.0;0.0;0.0;0.0;0.0
2030;1199781;14691;6533;0;347652;4928;0;0;0;546.0;0.0;17.0;258.0;150.0;121.0;0.0;0.0;0.0;0.0;0.0
2031;1207939;13539;6765;0;353185;4910;0;0;0;589.0;0.0;22.0;268.0;157.0;142.0;0.0;0.0;0.0;0.0;0.0
2032;1214713;14401;7331;0;357145;4881;0;0;0;614.0;0.0;24.0;267.0;169.0;154.0;0.0;0.0;0.0;0.0;0.0
2033;1221783;13787;7691;0;360456;4787;0;0;0;577.0;0.0;22.0;274.0;144.0;137.0;0.0;0.0;0.0;0.0;0.0
2034;1227879;14165;8312;0;363585;4739;0;0;0;603.0;0.0;19.0;249.0;187.0;148.0;0.0;0.0;0.0;0.0;0.0
2035;1233732;13769;9156;0;366750;4712;0;0;0;573.0;0.0;14.0;290.0;144.0;125.0;0.0;0.0;0.0;0.0;0.0
2036;1238345;13287;10097;0;370286;4692;0;0;0;592.0;0.0;30.0;255.0;164.0;143.0;0.0;0.0;0.0;0.0;0.0
2037;1241535;13941;10779;0;374383;4652;0;0;0;588.0;0.0;30.0;274.0;152.0;132.0;0.0;0.0;0.0;0.0;0.0
2038;1244697;14460;11512;0;379060;4627;0;0;0;586.0;0.0;29.0;270.0;155.0;132.0;0.0;0.0;0.0;0.0;0.0
2039;1247645;13412;12258;0;384331;4621;0;0;0;633.0;0.0;27.0;294.0;174.0;138.0;0.0;0.0;0.0;0.0;0.0
2040;1248799;13418;12571;0;389508;4621;0;0;0;608.0;0.0;18.0;281.0;158.0;151.0;0.0;0.0;0.0;0.0;0.0
2041;1249646;15085;12961;0;394904;4610;0;0;0;621.0;0.0;18.0;306.0;153.0;144.0;0.0;0.0;0.0;0.0;0.0
2042;1251770;13970;13356;0;400053;4596;0;0;0;592.0;0.0;26.0;277.0;146.0;143.0;0.0;0.0;0.0;0.0;0.0
