Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;14440;826;0;309258;5150;8260;33;506;432.0;33.0;36.0;193.0;127.0;109.0;116.0;33.0
2024;1136446;12953;1233;0;315792;4686;8639;43;559;436.0;43.0;38.0;197.0;128.0;116.0;183.0;43.0
2025;1148166;14570;2119;0;321238;4670;9078;22;515;446.0;22.0;28.0;212.0;122.0;106.0;62.0;22.0
2026;1160617;15093;2917;0;326538;4694;9264;23;574;469.0;23.0;23.0;210.0;137.0;122.0;89.0;23.0
2027;1172793;13881;3911;0;331567;4722;9754;28;594;436.0;28.0;29.0;208.0;112.0;115.0;88.0;28.0
2028;1182763;14139;4975;0;336478;4813;9788;28;604;500.0;28.0;28.0;246.0;134.0;120.0;84.0;28.0
2029;1191927;13925;5860;0;341940;4815;10165;27;602;493.0;27.0;42.0;237.0;126.0;115.0;97.0;27.0
2030;1199992;14211;6541;0;347639;4836;10089;29;570;532.0;29.0;30.0;255.0;152.0;124.0;96.0;29.0
2031;1207662;14442;6879;0;353185;4819;10520;22;601;562.0;22.0;29.0;256.0;161.0;138.0;44.0;22.0
2032;1215225;13415;7308;0;357136;4759;10406;29;642;592.0;29.0;39.0;259.0;172.0;151.0;88.0;29.0
2033;1221332;13785;7890;0;360441;4680;10695;22;659;550.0;22.0;35.0;262.0;139.0;136.0;65.0;22.0
2034;1227227;14265;8404;0;363578;4632;10578;34;635;574.0;34.0;36.0;245.0;189.0;138.0;135.0;34.0
2035;1233088;13654;9124;0;366734;4604;10845;33;655;542.0;33.0;28.0;283.0;142.0;122.0;82.0;33.0
2036;1237618;13723;10143;0;370298;4597;10576;28;630;561.0;28.0;43.0;246.0;167.0;133.0;82.0;28.0
2037;1241198;15108;10841;0;374400;4546;10728;25;680;569.0;25.0;41.0;267.0;154.0;132.0;57.0;25.0
2038;1245465;13999;11518;0;379035;4509;10546;27;608;564.0;27.0;36.0;271.0;154.0;130.0;102.0;27.0
2039;1247946;13770;12060;0;384300;4514;10578;33;650;600.0;33.0;41.0;283.0;176.0;133.0;130.0;33.0
2040;1249656;15215;12493;0;389494;4471;10626;36;615;575.0;36.0;29.0;283.0;160.0;139.0;92.0;36.0
2041;1252378;14395;12925;0;394887;4497;10648;23;647;591.0;23.0;28.0;290.0;153.0;143.0;61.0;23.0
2042;1253848;14204;13251;0;400085;4473;10813;21;595;571.0;21.0;36.0;273.0;139.0;144.0;28.0;21.0
