Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14175;831;0;309296;5152;125346;522;7425;433.0;522.0;267.0;277.0;282.0;129.0;1336.0;966.0;1035.0;1254.0;522.0
2024;1136176;12451;1280;0;315832;4197;128038;559;7564;341.0;559.0;307.0;232.0;242.0;119.0;1404.0;977.0;1042.0;1304.0;559.0
2025;1147347;13730;2021;0;321258;3769;130533;319;7654;271.0;319.0;180.0;176.0;148.0;86.0;777.0;544.0;588.0;724.0;319.0
2026;1159056;14140;3002;0;326568;3672;132358;284;7716;259.0;284.0;154.0;151.0;148.0;90.0;636.0;434.0;472.0;583.0;284.0
2027;1170194;13684;3898;0;331595;3633;134781;299;7811;230.0;299.0;152.0;150.0;144.0;83.0;611.0;402.0;437.0;555.0;299.0
2028;1179980;13147;5063;0;336519;3663;136408;310;8072;241.0;310.0;156.0;164.0;141.0;90.0;728.0;491.0;533.0;676.0;310.0
2029;1188064;13372;5864;0;342001;3659;138754;325;8165;227.0;325.0;169.0;158.0;148.0;77.0;727.0;505.0;548.0;675.0;325.0
2030;1195572;13715;6523;0;347660;3627;140907;323;8195;264.0;323.0;169.0;166.0;169.0;83.0;730.0;503.0;541.0;676.0;323.0
2031;1202764;13630;6808;0;353185;3572;143365;305;8344;287.0;305.0;164.0;173.0;167.0;88.0;669.0;458.0;482.0;621.0;305.0
2032;1209586;15542;7157;0;357140;3516;145391;332;8612;291.0;332.0;163.0;185.0;183.0;92.0;789.0;552.0;589.0;722.0;332.0
2033;1217971;13009;7794;0;360494;3436;146578;302;8615;263.0;302.0;154.0;187.0;140.0;84.0;655.0;456.0;497.0;610.0;302.0
2034;1223186;13764;8449;0;363666;3395;148028;313;8700;284.0;313.0;166.0;167.0;166.0;98.0;794.0;550.0;589.0;730.0;313.0
2035;1228501;13968;9229;0;366830;3395;149145;300;8816;252.0;300.0;135.0;179.0;155.0;83.0;568.0;376.0;410.0;517.0;300.0
2036;1233240;13800;9993;0;370372;3382;150613;331;8776;295.0;331.0;177.0;179.0;178.0;92.0;722.0;487.0;535.0;667.0;331.0
2037;1237047;13404;10718;0;374529;3292;151953;306;9094;286.0;306.0;169.0;179.0;173.0;71.0;706.0;482.0;515.0;648.0;306.0
2038;1239733;14168;11460;0;379202;3286;153881;346;9053;293.0;346.0;186.0;197.0;166.0;90.0;837.0;576.0;643.0;782.0;346.0
2039;1242441;15196;11925;0;384465;3233;155804;337;9179;306.0;337.0;183.0;176.0;191.0;93.0;703.0;478.0;514.0;646.0;337.0
2040;1245712;14341;12418;0;389693;3195;158212;339;9370;305.0;339.0;151.0;195.0;194.0;104.0;574.0;391.0;435.0;531.0;339.0
2041;1247635;13463;12925;0;395078;3167;159996;355;9465;286.0;355.0;184.0;192.0;182.0;83.0;905.0;639.0;686.0;842.0;355.0
2042;1248173;14111;13146;0;400259;3118;162707;331;9367;275.0;331.0;188.0;170.0;160.0;88.0;775.0;544.0;577.0;715.0;331.0
