Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;0;0;17;215;121;108;130;2428;1400;4905;461;8863;8863;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2026;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2027;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2028;0;0;16;250;132;117;122;2823;1527;5313;515;9785;9785;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029;0;0;27;248;123;118;206;2801;1423;5359;516;9789;9789;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2031;0;0;22;269;157;142;168;3038;1816;6449;590;11471;11471;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2032;0;0;24;268;169;155;184;3027;1955;7039;616;12205;12205;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2033;0;0;22;274;143;137;168;3094;1654;6222;576;11138;11138;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2034;0;0;19;250;187;148;145;2823;2163;6721;604;11852;11852;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2035;0;0;14;290;145;125;107;3275;1677;5677;574;10736;10736;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;0;0;30;255;164;143;229;2880;1897;6494;592;11500;11500;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;0;0;29;274;152;132;222;3094;1758;5995;587;11069;11069;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2038;0;0;29;272;155;132;222;3072;1793;5995;588;11082;11082;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2039;0;0;28;295;174;137;214;3332;2013;6222;634;11781;11781;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2040;0;0;18;283;158;152;138;3196;1828;6903;611;12065;12065;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2041;0;0;18;309;153;143;138;3490;1770;6494;623;11892;11892;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2042;0;0;26;276;148;144;199;3117;1712;6540;594;11568;11568;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2043;0;0;17;306;170;138;130;3456;1966;6267;631;11819;11819;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2044;0;0;33;310;180;156;252;3501;2082;7085;679;12920;12920;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2045;0;0;39;295;178;161;298;3332;2059;7312;673;13001;13001;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2046;0;0;25;286;197;148;191;3230;2279;6721;656;12421;12421;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2047;0;0;27;273;178;143;206;3083;2059;6494;621;11842;11842;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2048;0;0;19;292;178;156;145;3298;2059;7085;645;12587;12587;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2049;0;0;27;336;187;132;206;3795;2163;5995;682;12159;12159;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2050;0;0;21;295;160;139;161;3332;1851;6313;615;11657;11657;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2051;0;0;25;308;170;169;191;3478;1966;7675;672;13310;13310;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2052;0;0;27;307;189;149;206;3467;2186;6767;672;12626;12626;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2053;0;0;28;305;173;151;214;3444;2001;6858;657;12517;12517;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2054;0;0;31;310;205;169;237;3501;2371;7675;715;13784;13784;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2055;0;0;30;302;195;189;229;3411;2256;8583;716;14479;14479;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2056;0;0;29;313;181;181;222;3535;2094;8220;704;14071;14071;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2057;0;0;27;283;181;158;206;3196;2094;7175;649;12671;12671;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2058;0;0;36;323;187;165;275;3648;2163;7493;711;13579;13579;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2059;0;0;29;345;205;183;222;3896;2371;8311;762;14800;14800;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2060;0;0;25;307;217;157;191;3467;2510;7130;706;13298;13298;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2061;0;0;28;326;201;148;214;3682;2325;6721;703;12942;12942;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2062;0;0;35;335;195;173;268;3783;2256;7857;738;14164;14164;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2063;0;0;33;337;187;157;252;3806;2163;7130;714;13351;13351;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2064;0;0;26;330;192;155;199;3727;2221;7039;703;13186;13186;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2065;0;0;25;341;182;169;191;3851;2105;7675;717;13822;13822;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2066;0;0;32;315;203;152;245;3557;2348;6903;702;13053;13053;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2067;0;0;34;340;191;156;260;3840;2209;7085;721;13394;13394;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2068;0;0;30;317;171;179;229;3580;1978;8129;697;13916;13916;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2069;0;0;24;373;194;167;184;4212;2244;7584;758;14224;14224;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2070;0;0;26;303;194;149;199;3422;2244;6767;672;12632;12632;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2071;0;0;41;340;182;163;314;3840;2105;7403;726;13662;13662;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2072;0;0;22;337;217;157;168;3806;2510;7130;733;13614;13614;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2073;0;0;26;347;197;158;199;3919;2279;7175;728;13572;13572;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2074;0;0;28;357;181;166;214;4032;2094;7539;732;13879;13879;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2075;0;0;27;324;224;157;206;3659;2591;7130;732;13586;13586;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2076;0;0;19;306;164;157;145;3456;1897;7130;646;12628;12628;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2077;0;0;35;300;165;164;268;3388;1909;7448;664;13013;13013;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2078;0;0;34;314;184;143;260;3546;2128;6494;675;12428;12428;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2079;0;0;32;303;178;130;245;3422;2059;5904;643;11630;11630;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2080;0;0;36;315;163;148;275;3557;1885;6721;662;12438;12438;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2081;0;0;30;322;209;134;229;3636;2418;6085;695;12368;12368;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2082;0;0;39;313;169;162;298;3535;1955;7357;683;13145;13145;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2083;0;0;27;309;187;135;206;3490;2163;6131;658;11990;11990;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2084;0;0;29;313;180;154;222;3535;2082;6994;676;12833;12833;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2085;0;0;27;299;194;161;206;3377;2244;7312;681;13139;13139;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2086;0;0;28;297;165;161;214;3354;1909;7312;651;12789;12789;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2087;0;0;33;308;178;150;252;3478;2059;6812;669;12601;12601;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2088;0;0;28;319;193;135;214;3603;2233;6131;675;12181;12181;0.0;0.0;0.0;0.0;0.0;0.0;0.0
