Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;15656;990;44;197;138;110;336;2225;1596;4996;489;9153;9662;92.0;417.0;112.0;81.0;88.0;109.0;56.0
2024;15899;1051;56;195;132;113;428;2202;1527;5132;496;9289;9824;93.0;442.0;215.0;154.0;154.0;199.0;64.0
2025;16368;959;36;213;125;108;275;2405;1446;4905;482;9031;9531;96.0;404.0;101.0;75.0;80.0;95.0;38.0
2026;16439;1006;27;206;138;124;206;2326;1596;5631;495;9759;10279;96.0;424.0;98.0;72.0;75.0;94.0;32.0
2027;16900;1062;38;205;115;110;291;2315;1330;4996;468;8932;9478;99.0;447.0;109.0;76.0;77.0;97.0;41.0
2028;16994;1039;35;241;134;115;268;2722;1550;5223;525;9763;10300;100.0;437.0;90.0;64.0;67.0;86.0;35.0
2029;17329;1042;48;233;128;112;367;2631;1481;5086;521;9565;10106;102.0;439.0;82.0;56.0;63.0;77.0;46.0
2030;17526;1066;42;252;154;116;321;2846;1781;5268;564;10216;10768;103.0;449.0;122.0;83.0;87.0;112.0;51.0
2031;17908;1048;38;257;156;137;291;2902;1805;6222;588;11220;11766;105.0;441.0;104.0;72.0;76.0;97.0;32.0
2032;18064;1122;38;260;166;147;291;2936;1920;6676;611;11823;12401;106.0;472.0;99.0;67.0;76.0;92.0;38.0
2033;18319;1172;38;266;140;127;291;3004;1619;5768;571;10682;11282;107.0;493.0;79.0;54.0;58.0;73.0;37.0
2034;18389;1117;42;237;186;138;321;2676;2152;6267;603;11416;11994;108.0;470.0;93.0;68.0;72.0;86.0;42.0
2035;18666;1140;28;276;147;115;214;3117;1700;5223;566;10254;10843;109.0;480.0;87.0;53.0;64.0;79.0;40.0
2036;18687;1124;50;251;166;133;382;2835;1920;6040;600;11177;11760;110.0;473.0;120.0;84.0;89.0;112.0;44.0
2037;18990;1197;44;262;152;130;336;2959;1758;5904;588;10957;11572;111.0;504.0;32.0;19.0;24.0;31.0;35.0
2038;19148;1155;45;269;162;133;344;3038;1874;6040;609;11296;11894;112.0;486.0;126.0;88.0;93.0;116.0;56.0
2039;19499;1172;46;283;178;128;352;3196;2059;5813;635;11420;12027;114.0;493.0;109.0;73.0;75.0;101.0;45.0
2040;19745;1176;35;275;167;138;268;3106;1932;6267;615;11573;12184;116.0;495.0;63.0;42.0;47.0;57.0;46.0
2041;19866;1243;36;294;156;137;275;3320;1805;6222;623;11622;12262;117.0;523.0;113.0;86.0;84.0;104.0;41.0
2042;20291;1149;46;266;144;137;352;3004;1666;6222;593;11244;11847;119.0;484.0;104.0;75.0;79.0;97.0;38.0
2043;20374;1217;38;291;170;130;291;3286;1966;5904;629;11447;12078;119.0;512.0;96.0;69.0;68.0;84.0;44.0
2044;20841;1262;48;295;175;150;367;3332;2024;6812;668;12535;13188;122.0;531.0;74.0;47.0;52.0;68.0;40.0
2045;20951;1315;54;288;175;155;413;3252;2024;7039;672;12728;13405;123.0;554.0;109.0;75.0;77.0;96.0;42.0
2046;21401;1288;49;276;200;141;375;3117;2313;6403;666;12208;12876;126.0;542.0;110.0;78.0;81.0;104.0;51.0
2047;21516;1326;54;256;179;139;413;2891;2071;6313;628;11688;12372;126.0;558.0;173.0;122.0;129.0;160.0;51.0
2048;21793;1342;31;280;184;145;237;3162;2128;6585;640;12112;12805;128.0;565.0;62.0;43.0;47.0;60.0;43.0
2049;21979;1312;45;332;185;128;344;3749;2140;5813;690;12046;12727;129.0;552.0;113.0;85.0;85.0;107.0;41.0
2050;22209;1369;52;282;161;135;398;3185;1862;6131;630;11576;12282;130.0;576.0;145.0;106.0;103.0;131.0;59.0
2051;22404;1343;40;292;175;157;306;3298;2024;7130;664;12758;13454;131.0;565.0;87.0;63.0;66.0;82.0;36.0
2052;22531;1300;48;284;187;135;367;3207;2163;6131;654;11868;12547;132.0;547.0;83.0;58.0;64.0;81.0;43.0
2053;22790;1431;48;289;173;144;367;3264;2001;6540;654;12172;12908;134.0;602.0;64.0;41.0;48.0;60.0;43.0
2054;22705;1281;53;300;207;158;405;3388;2394;7175;718;13362;14034;133.0;539.0;116.0;84.0;87.0;107.0;44.0
2055;22978;1412;48;286;210;190;367;3230;2429;8629;734;14655;15384;135.0;594.0;91.0;64.0;67.0;85.0;59.0
2056;22814;1368;55;308;185;172;421;3478;2140;7811;720;13850;14560;134.0;576.0;130.0;93.0;99.0;122.0;49.0
2057;22995;1411;57;275;184;161;436;3106;2128;7312;677;12982;13711;135.0;594.0;112.0;71.0;87.0;103.0;59.0
2058;22882;1401;53;307;180;161;405;3467;2082;7312;701;13266;13990;134.0;590.0;72.0;44.0;52.0;65.0;40.0
2059;23223;1439;51;320;204;164;390;3614;2360;7448;739;13812;14554;136.0;606.0;105.0;75.0;79.0;97.0;43.0
2060;23090;1421;49;295;213;152;375;3332;2464;6903;709;13074;13807;135.0;598.0;130.0;89.0;96.0;122.0;57.0
2061;23304;1401;49;309;198;144;375;3490;2290;6540;700;12695;13422;137.0;590.0;49.0;26.0;33.0;44.0;54.0
2062;23147;1477;51;321;191;173;390;3625;2209;7857;736;14081;14839;136.0;622.0;118.0;83.0;87.0;106.0;47.0
2063;23165;1411;49;320;188;154;375;3614;2175;6994;711;13158;13888;136.0;594.0;101.0;74.0;73.0;92.0;37.0
2064;22960;1413;48;321;202;142;367;3625;2337;6449;713;12778;13508;135.0;595.0;91.0;63.0;66.0;81.0;47.0
2065;22892;1403;43;322;183;159;329;3636;2117;7221;707;13303;14028;134.0;591.0;93.0;66.0;79.0;90.0;50.0
2066;22582;1389;52;309;207;146;398;3490;2394;6630;714;12912;13629;132.0;585.0;125.0;91.0;94.0;116.0;46.0
2067;22579;1388;57;324;202;151;436;3659;2337;6858;734;13290;14006;132.0;584.0;89.0;57.0;67.0;87.0;56.0
2068;22275;1397;46;306;199;168;352;3456;2302;7630;719;13740;14459;131.0;588.0;75.0;58.0;53.0;67.0;47.0
2069;22342;1357;48;348;198;157;367;3930;2290;7130;751;13717;14419;131.0;571.0;146.0;106.0;114.0;138.0;55.0
2070;21949;1308;43;293;202;142;329;3309;2337;6449;680;12424;13104;129.0;551.0;65.0;46.0;50.0;59.0;39.0
2071;21851;1350;66;326;177;161;505;3682;2047;7312;730;13546;14242;128.0;568.0;115.0;83.0;86.0;108.0;49.0
2072;21577;1268;43;312;230;160;329;3523;2661;7266;745;13779;14440;127.0;534.0;73.0;46.0;54.0;66.0;47.0
2073;21211;1314;43;325;192;153;329;3670;2221;6948;713;13168;13845;124.0;553.0;98.0;70.0;74.0;89.0;38.0
2074;21211;1267;52;349;168;159;398;3941;1943;7221;728;13503;14160;124.0;533.0;89.0;63.0;69.0;86.0;51.0
2075;20803;1276;42;310;217;156;321;3501;2510;7085;725;13417;14076;122.0;537.0;75.0;57.0;55.0;70.0;45.0
2076;20810;1237;38;298;164;139;291;3365;1897;6313;639;11866;12509;122.0;521.0;75.0;45.0;52.0;69.0;30.0
2077;20480;1284;51;288;166;151;390;3252;1920;6858;656;12420;13081;120.0;541.0;58.0;37.0;44.0;55.0;42.0
2078;20665;1231;54;298;170;144;413;3365;1966;6540;666;12284;12923;121.0;518.0;85.0;60.0;62.0;82.0;40.0
2079;20246;1226;44;288;198;134;336;3252;2290;6085;664;11963;12598;119.0;516.0;45.0;24.0;32.0;40.0;41.0
2080;20525;1298;54;302;158;148;413;3411;1828;6721;662;12373;13039;120.0;546.0;93.0;64.0;71.0;86.0;37.0
2081;20040;1248;48;318;217;137;367;3591;2510;6222;720;12690;13333;118.0;525.0;67.0;36.0;46.0;63.0;48.0
2082;20374;1249;63;299;181;153;482;3377;2094;6948;696;12901;13546;119.0;526.0;152.0;104.0;110.0;138.0;50.0
2083;19764;1251;49;302;185;126;375;3411;2140;5722;662;11648;12291;116.0;527.0;128.0;92.0;98.0;117.0;54.0
2084;20140;1191;47;308;197;138;359;3478;2279;6267;690;12383;13002;118.0;501.0;77.0;57.0;63.0;75.0;38.0
2085;19336;1188;44;296;197;150;336;3343;2279;6812;687;12770;13383;113.0;500.0;93.0;60.0;68.0;86.0;46.0
