Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;15037;846;0;309296;5134;7787;13;469;433.0;13.0;22.0;190.0;125.0;109.0;9.0;5.0;8.0;11.0;13.0
2024;1137023;13958;1260;0;315832;4690;8019;30;508;439.0;30.0;30.0;200.0;126.0;113.0;107.0;78.0;79.0;98.0;30.0
2025;1149721;14651;1998;0;321258;4709;8121;17;455;455.0;17.0;28.0;214.0;123.0;107.0;49.0;34.0;35.0;45.0;17.0
2026;1162374;15764;2987;0;326568;4737;8311;17;488;473.0;17.0;19.0;207.0;140.0;124.0;21.0;14.0;13.0;21.0;17.0
2027;1175151;14918;3956;0;331596;4735;8423;19;504;448.0;19.0;24.0;218.0;109.0;116.0;27.0;17.0;21.0;25.0;19.0
2028;1186113;13867;4981;0;336509;4853;8575;19;505;507.0;19.0;24.0;248.0;137.0;117.0;6.0;0.0;3.0;6.0;19.0
2029;1194999;14186;5979;0;341985;4850;8646;21;505;495.0;21.0;37.0;238.0;124.0;117.0;52.0;38.0;41.0;50.0;21.0
2030;1203206;14404;6615;0;347646;4861;8773;17;485;533.0;17.0;25.0;252.0;153.0;120.0;47.0;31.0;35.0;44.0;17.0
2031;1210995;14023;6813;0;353187;4831;8993;16;500;572.0;16.0;27.0;262.0;159.0;140.0;35.0;23.0;25.0;32.0;16.0
2032;1218205;15412;7280;0;357136;4801;9030;24;535;595.0;24.0;40.0;256.0;171.0;152.0;75.0;47.0;54.0;69.0;24.0
2033;1226337;15399;7721;0;360458;4690;9209;17;540;555.0;17.0;29.0;267.0;144.0;132.0;14.0;5.0;6.0;13.0;17.0
2034;1234015;14320;8540;0;363586;4663;9147;23;546;584.0;23.0;28.0;242.0;193.0;144.0;50.0;36.0;40.0;47.0;23.0
2035;1239795;14347;9213;0;366740;4640;9316;19;553;549.0;19.0;21.0;282.0;143.0;122.0;17.0;7.0;11.0;15.0;19.0
2036;1244929;14091;9928;0;370287;4647;9291;23;543;576.0;23.0;40.0;257.0;163.0;139.0;75.0;56.0;57.0;69.0;23.0
2037;1249092;13867;10983;0;374446;4585;9447;14;570;572.0;14.0;34.0;270.0;152.0;130.0;33.0;23.0;25.0;29.0;14.0
2038;1251976;14247;11382;0;379046;4558;9499;29;543;572.0;29.0;36.0;273.0;158.0;134.0;57.0;39.0;43.0;55.0;29.0
2039;1254841;14254;12022;0;384351;4547;9724;23;591;608.0;23.0;34.0;286.0;174.0;137.0;17.0;9.0;8.0;17.0;23.0
2040;1257073;14476;12543;0;389579;4544;9786;26;555;589.0;26.0;29.0;277.0;163.0;146.0;45.0;32.0;33.0;42.0;26.0
2041;1259006;13510;13048;0;394914;4561;9936;27;598;599.0;27.0;32.0;296.0;159.0;139.0;76.0;55.0;55.0;69.0;27.0
2042;1259468;12997;13221;0;400064;4492;10070;22;554;580.0;22.0;39.0;273.0;151.0;139.0;49.0;34.0;38.0;46.0;22.0
2043;1259244;15367;13748;0;405670;4499;10192;23;560;610.0;23.0;26.0;298.0;176.0;133.0;33.0;25.0;24.0;30.0;23.0
2044;1260863;13956;13881;0;411035;4489;10322;18;617;656.0;18.0;39.0;305.0;177.0;153.0;26.0;14.0;17.0;24.0;18.0
2045;1260938;14115;14072;0;416485;4407;10502;18;645;642.0;18.0;41.0;288.0;171.0;160.0;14.0;9.0;12.0;13.0;18.0
2046;1260981;13293;14841;0;421629;4321;10611;19;643;637.0;19.0;31.0;282.0;199.0;144.0;32.0;19.0;23.0;30.0;19.0
2047;1259433;13515;14861;0;425704;4289;10753;30;649;600.0;30.0;42.0;267.0;179.0;142.0;72.0;50.0;51.0;66.0;30.0
2048;1258087;13641;15422;0;430180;4272;10804;19;663;622.0;19.0;26.0;284.0;179.0;152.0;27.0;14.0;18.0;25.0;19.0
2049;1256306;14610;15563;0;434014;4289;10966;14;635;671.0;14.0;34.0;334.0;184.0;133.0;37.0;28.0;27.0;35.0;14.0
2050;1255353;13363;15521;0;438144;4261;11007;30;631;592.0;30.0;33.0;289.0;160.0;140.0;52.0;38.0;38.0;47.0;30.0
2051;1253195;14518;15491;0;442294;4298;11166;24;657;661.0;24.0;41.0;304.0;173.0;167.0;60.0;37.0;47.0;59.0;24.0
2052;1252222;13273;15181;0;446182;4281;11092;14;649;655.0;14.0;38.0;300.0;190.0;141.0;42.0;26.0;28.0;38.0;14.0
2053;1250314;14751;15058;0;449387;4251;11344;23;698;639.0;23.0;38.0;294.0;180.0;150.0;43.0;29.0;31.0;39.0;23.0
2054;1250007;14189;14867;0;451387;4247;11222;23;625;702.0;23.0;43.0;316.0;204.0;162.0;48.0;31.0;36.0;45.0;23.0
2055;1249329;14611;14822;0;452565;4216;11463;28;667;700.0;28.0;38.0;298.0;201.0;191.0;58.0;40.0;41.0;55.0;28.0
2056;1249118;14367;14364;0;453328;4178;11349;21;638;703.0;21.0;41.0;321.0;181.0;181.0;39.0;29.0;29.0;38.0;21.0
2057;1249121;14482;14224;0;453485;4129;11491;34;669;643.0;34.0;40.0;286.0;190.0;161.0;59.0;48.0;50.0;54.0;34.0
2058;1249379;13931;13809;0;455139;4176;11375;27;689;679.0;27.0;39.0;313.0;193.0;161.0;40.0;28.0;36.0;40.0;27.0
2059;1249501;14355;14034;0;456550;4125;11634;18;704;726.0;18.0;37.0;329.0;205.0;173.0;52.0;37.0;39.0;47.0;18.0
2060;1249822;15929;14300;0;457324;4058;11495;28;675;699.0;28.0;31.0;309.0;227.0;160.0;63.0;42.0;48.0;60.0;28.0
2061;1251451;14073;14852;0;458159;4005;11736;22;696;665.0;22.0;35.0;306.0;204.0;142.0;27.0;19.0;22.0;26.0;22.0
2062;1250672;13843;15136;0;457252;4013;11514;18;702;720.0;18.0;42.0;328.0;195.0;173.0;60.0;43.0;44.0;55.0;18.0
2063;1249379;14273;15329;0;455698;3983;11649;22;726;700.0;22.0;43.0;330.0;190.0;159.0;80.0;61.0;62.0;72.0;22.0
2064;1248323;12727;15693;0;453297;3938;11388;28;663;692.0;28.0;42.0;329.0;202.0;147.0;44.0;30.0;32.0;40.0;28.0
2065;1245357;12930;15861;0;449749;3929;11474;32;697;683.0;32.0;33.0;334.0;185.0;163.0;58.0;41.0;47.0;56.0;32.0
2066;1242426;14126;16117;0;445940;3861;11225;22;655;680.0;22.0;40.0;316.0;198.0;148.0;65.0;49.0;49.0;57.0;22.0
2067;1240435;14431;16321;0;443379;3889;11300;29;668;711.0;29.0;42.0;338.0;209.0;151.0;53.0;37.0;37.0;49.0;29.0
2068;1238545;15471;16565;0;440973;3854;11040;23;674;690.0;23.0;40.0;321.0;184.0;168.0;66.0;51.0;49.0;59.0;23.0
2069;1237451;13307;16725;0;436817;3886;11197;30;625;726.0;30.0;39.0;352.0;202.0;163.0;90.0;65.0;68.0;82.0;30.0
2070;1234033;13767;16949;0;431991;3797;10895;17;606;654.0;17.0;32.0;309.0;193.0;137.0;31.0;21.0;22.0;29.0;17.0
2071;1230851;14798;16944;0;428021;3801;10967;21;681;688.0;21.0;55.0;317.0;183.0;154.0;49.0;35.0;39.0;47.0;21.0
2072;1228705;13837;17200;0;422283;3779;10691;22;596;735.0;22.0;30.0;333.0;231.0;163.0;18.0;11.0;14.0;16.0;22.0
2073;1225342;13854;17261;0;417788;3652;10677;21;637;718.0;21.0;35.0;344.0;192.0;168.0;59.0;46.0;45.0;55.0;21.0
2074;1221935;12864;17365;0;413631;3566;10601;20;624;696.0;20.0;41.0;333.0;177.0;165.0;18.0;9.0;16.0;19.0;20.0
2075;1217434;14643;17508;0;410278;3505;10473;28;622;692.0;28.0;33.0;324.0;205.0;158.0;37.0;30.0;32.0;35.0;28.0
2076;1214569;13401;17677;0;408069;3454;10410;18;637;651.0;18.0;38.0;307.0;179.0;145.0;49.0;29.0;36.0;47.0;18.0
2077;1210293;13173;17845;0;405780;3468;10348;17;637;641.0;17.0;39.0;308.0;161.0;150.0;19.0;10.0;13.0;17.0;17.0
2078;1205621;13410;17735;0;402938;3438;10375;18;579;657.0;18.0;41.0;299.0;184.0;151.0;33.0;22.0;24.0;29.0;18.0
