Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13658;831;0;309304;5159;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0
2024;1135659;14715;1312;0;315843;4726;0;0;0;441.0;0.0;14.0;195.0;118.0;114.0;0.0;0.0
2025;1149062;14153;2009;0;321269;4769;0;0;0;460.0;0.0;17.0;215.0;120.0;108.0;0.0;0.0
2026;1161206;13245;2957;0;326578;4794;0;0;0;485.0;0.0;11.0;209.0;139.0;126.0;0.0;0.0
2027;1171494;13883;4008;0;331604;4830;0;0;0;460.0;0.0;18.0;214.0;111.0;117.0;0.0;0.0
2028;1181369;14579;5001;0;336521;4918;0;0;0;515.0;0.0;16.0;250.0;132.0;117.0;0.0;0.0
2029;1190947;13767;5944;0;342008;4934;0;0;0;516.0;0.0;27.0;248.0;123.0;118.0;0.0;0.0
2030;1198770;14981;6488;0;347676;4954;0;0;0;547.0;0.0;17.0;258.0;150.0;122.0;0.0;0.0
2031;1207263;13049;6806;0;353201;4938;0;0;0;590.0;0.0;22.0;269.0;157.0;142.0;0.0;0.0
2032;1213506;13861;7249;0;357144;4882;0;0;0;615.0;0.0;24.0;267.0;169.0;155.0;0.0;0.0
2033;1220118;13809;7823;0;360459;4812;0;0;0;577.0;0.0;22.0;274.0;143.0;138.0;0.0;0.0
2034;1226104;14706;8529;0;363600;4764;0;0;0;604.0;0.0;19.0;250.0;187.0;148.0;0.0;0.0
2035;1232281;14205;9156;0;366759;4745;0;0;0;575.0;0.0;14.0;290.0;146.0;125.0;0.0;0.0
2036;1237330;13606;10000;0;370293;4710;0;0;0;592.0;0.0;30.0;254.0;165.0;143.0;0.0;0.0
2037;1240936;11876;10997;0;374416;4676;0;0;0;588.0;0.0;30.0;274.0;151.0;133.0;0.0;0.0
2038;1241815;15319;11551;0;379043;4653;0;0;0;588.0;0.0;29.0;272.0;155.0;132.0;0.0;0.0
2039;1245583;13713;12248;0;384348;4639;0;0;0;632.0;0.0;27.0;295.0;173.0;137.0;0.0;0.0
2040;1247048;14448;12441;0;389571;4650;0;0;0;610.0;0.0;18.0;281.0;158.0;153.0;0.0;0.0
2041;1249055;14517;12931;0;394885;4630;0;0;0;626.0;0.0;18.0;309.0;155.0;144.0;0.0;0.0
2042;1250641;14826;13348;0;400100;4608;0;0;0;595.0;0.0;26.0;277.0;147.0;145.0;0.0;0.0
