Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0
2025;0;0;17;215;121;108;130;2428;1400;4905;461;8863;8863;0.0;0.0;0.0;0.0
2026;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0.0;0.0;0.0;0.0
2027;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0.0;0.0;0.0;0.0
2028;0;0;16;250;133;117;122;2823;1538;5313;516;9796;9796;0.0;0.0;0.0;0.0
2029;0;0;27;248;123;118;206;2801;1423;5359;516;9789;9789;0.0;0.0;0.0;0.0
2030;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0.0;0.0;0.0;0.0
2031;0;0;22;269;157;143;168;3038;1816;6494;591;11516;11516;0.0;0.0;0.0;0.0
2032;0;0;24;267;170;155;184;3015;1966;7039;616;12204;12204;0.0;0.0;0.0;0.0
2033;0;0;22;274;144;136;168;3094;1666;6176;576;11104;11104;0.0;0.0;0.0;0.0
2034;0;0;19;249;187;148;145;2812;2163;6721;603;11841;11841;0.0;0.0;0.0;0.0
2035;0;0;14;290;143;125;107;3275;1654;5677;572;10713;10713;0.0;0.0;0.0;0.0
2036;0;0;30;254;164;143;229;2868;1897;6494;591;11488;11488;0.0;0.0;0.0;0.0
2037;0;0;29;274;151;132;222;3094;1747;5995;586;11058;11058;0.0;0.0;0.0;0.0
2038;0;0;29;271;155;131;222;3060;1793;5949;586;11024;11024;0.0;0.0;0.0;0.0
2039;0;0;28;296;175;138;214;3343;2024;6267;637;11848;11848;0.0;0.0;0.0;0.0
2040;0;0;18;283;159;153;138;3196;1839;6948;613;12121;12121;0.0;0.0;0.0;0.0
2041;0;0;18;307;154;144;138;3467;1781;6540;623;11926;11926;0.0;0.0;0.0;0.0
2042;0;0;26;278;148;145;199;3140;1712;6585;597;11636;11636;0.0;0.0;0.0;0.0
