Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;0;0;17;188;121;107;130;2123;1400;4859;433;8512;8512;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2024;0;0;14;195;118;113;107;2202;1365;5132;440;8806;8806;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2025;0;0;17;215;120;108;130;2428;1388;4905;460;8851;8851;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2026;0;0;11;209;139;125;84;2360;1608;5677;484;9729;9729;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2027;0;0;18;214;111;117;138;2417;1284;5313;460;9152;9152;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2028;0;0;16;251;132;118;122;2835;1527;5359;517;9843;9843;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2029;0;0;27;248;123;118;206;2801;1423;5359;516;9789;9789;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2030;0;0;17;258;150;121;130;2914;1735;5495;546;10274;10274;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2031;0;0;22;269;157;142;168;3038;1816;6449;590;11471;11471;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2032;0;0;24;267;169;155;184;3015;1955;7039;615;12193;12193;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2033;0;0;22;274;143;136;168;3094;1654;6176;575;11092;11092;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2034;0;0;19;250;187;149;145;2823;2163;6767;605;11898;11898;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2035;0;0;15;290;144;126;115;3275;1666;5722;575;10778;10778;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2036;0;0;30;254;164;143;229;2868;1897;6494;591;11488;11488;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2037;0;0;30;274;151;132;229;3094;1747;5995;587;11065;11065;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2038;0;0;29;270;155;132;222;3049;1793;5995;586;11059;11059;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2039;0;0;28;294;175;138;214;3320;2024;6267;635;11825;11825;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2040;0;0;18;283;160;152;138;3196;1851;6903;613;12088;12088;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2041;0;0;19;305;154;143;145;3444;1781;6494;621;11864;11864;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2042;0;0;26;276;147;145;199;3117;1700;6585;594;11601;11601;0.0;0.0;0.0;0.0;0.0;0.0;0.0
