Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14143;807;0;309296;5159;0;0;0;433.0;0.0;17.0;188.0;121.0;107.0;0.0;0.0;0.0;0.0;0.0
2024;1136168;13756;1234;0;315832;4726;0;0;0;440.0;0.0;14.0;195.0;118.0;113.0;0.0;0.0;0.0;0.0;0.0
2025;1148690;13759;2066;0;321258;4743;0;0;0;460.0;0.0;17.0;215.0;120.0;108.0;0.0;0.0;0.0;0.0;0.0
2026;1160383;13970;3006;0;326567;4795;0;0;0;484.0;0.0;11.0;209.0;139.0;125.0;0.0;0.0;0.0;0.0;0.0
2027;1171347;14225;4031;0;331596;4818;0;0;0;460.0;0.0;18.0;214.0;111.0;117.0;0.0;0.0;0.0;0.0;0.0
2028;1181541;14721;5018;0;336516;4901;0;0;0;517.0;0.0;16.0;251.0;132.0;118.0;0.0;0.0;0.0;0.0;0.0
2029;1191244;14472;5862;0;341982;4915;0;0;0;516.0;0.0;27.0;248.0;123.0;118.0;0.0;0.0;0.0;0.0;0.0
2030;1199854;12782;6494;0;347645;4949;0;0;0;546.0;0.0;17.0;258.0;150.0;121.0;0.0;0.0;0.0;0.0;0.0
2031;1206142;13039;6956;0;353181;4926;0;0;0;590.0;0.0;22.0;269.0;157.0;142.0;0.0;0.0;0.0;0.0;0.0
2032;1212225;13671;7268;0;357107;4876;0;0;0;615.0;0.0;24.0;267.0;169.0;155.0;0.0;0.0;0.0;0.0;0.0
2033;1218628;13862;7707;0;360433;4784;0;0;0;575.0;0.0;22.0;274.0;143.0;136.0;0.0;0.0;0.0;0.0;0.0
2034;1224783;12672;8433;0;363563;4743;0;0;0;605.0;0.0;19.0;250.0;187.0;149.0;0.0;0.0;0.0;0.0;0.0
2035;1229022;14019;9176;0;366740;4718;0;0;0;575.0;0.0;15.0;290.0;144.0;126.0;0.0;0.0;0.0;0.0;0.0
2036;1233865;15270;10154;0;370275;4707;0;0;0;591.0;0.0;30.0;254.0;164.0;143.0;0.0;0.0;0.0;0.0;0.0
2037;1238981;13781;10847;0;374393;4657;0;0;0;587.0;0.0;30.0;274.0;151.0;132.0;0.0;0.0;0.0;0.0;0.0
2038;1241915;14387;11694;0;379044;4634;0;0;0;586.0;0.0;29.0;270.0;155.0;132.0;0.0;0.0;0.0;0.0;0.0
2039;1244608;13515;12101;0;384355;4652;0;0;0;635.0;0.0;28.0;294.0;175.0;138.0;0.0;0.0;0.0;0.0;0.0
2040;1246022;14123;12481;0;389532;4631;0;0;0;613.0;0.0;18.0;283.0;160.0;152.0;0.0;0.0;0.0;0.0;0.0
2041;1247664;15030;12945;0;394898;4615;0;0;0;621.0;0.0;19.0;305.0;154.0;143.0;0.0;0.0;0.0;0.0;0.0
2042;1249749;11855;13282;0;400065;4588;0;0;0;594.0;0.0;26.0;276.0;147.0;145.0;0.0;0.0;0.0;0.0;0.0
