Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125348;7942;267;275;280;129;2042;3106;3239;5858;951;14245;18324;735.0;3344.0;1334.0;963.0;1032.0;1250.0;518.0
2024;128039;8120;310;231;239;119;2371;2609;2765;5404;899;13149;17319;751.0;3419.0;1403.0;972.0;1038.0;1302.0;558.0
2025;130534;7974;179;176;150;87;1369;1988;1735;3951;592;9043;13166;766.0;3357.0;768.0;537.0;581.0;716.0;320.0
2026;132360;8001;156;157;145;90;1193;1773;1677;4087;548;8730;12874;776.0;3368.0;643.0;438.0;478.0;594.0;290.0
2027;134781;8122;154;153;149;82;1178;1728;1724;3724;538;8354;12563;790.0;3419.0;617.0;406.0;447.0;564.0;308.0
2028;136400;8382;153;166;141;86;1170;1875;1631;3906;546;8582;12911;800.0;3529.0;758.0;522.0;558.0;699.0;307.0
2029;138752;8470;164;155;141;77;1254;1750;1631;3497;537;8132;12512;814.0;3566.0;708.0;494.0;533.0;659.0;311.0
2030;140895;8527;176;160;176;83;1346;1807;2036;3769;595;8958;13374;826.0;3590.0;740.0;509.0;552.0;688.0;335.0
2031;143375;8646;165;169;169;87;1262;1909;1955;3951;590;9077;13558;841.0;3640.0;673.0;461.0;483.0;621.0;303.0
2032;145396;8932;161;184;175;89;1231;2078;2024;4042;609;9375;13988;853.0;3760.0;797.0;553.0;593.0;730.0;321.0
2033;146585;8906;155;186;136;89;1185;2101;1573;4042;566;8901;13510;860.0;3749.0;628.0;430.0;476.0;588.0;296.0
2034;148039;9022;165;170;164;103;1262;1920;1897;4678;602;9757;14423;868.0;3798.0;749.0;518.0;555.0;691.0;316.0
2035;149147;9123;141;178;160;84;1078;2010;1851;3815;563;8754;13470;875.0;3841.0;533.0;346.0;386.0;488.0;308.0
2036;150608;9118;177;180;176;94;1354;2033;2036;4269;627;9692;14414;883.0;3839.0;753.0;526.0;557.0;696.0;337.0
2037;151943;9383;150;184;166;75;1147;2078;1920;3406;575;8551;13392;891.0;3950.0;628.0;431.0;459.0;574.0;294.0
2038;153882;9367;168;193;172;85;1285;2180;1990;3860;618;9315;14162;903.0;3944.0;730.0;493.0;561.0;682.0;323.0
2039;155824;9527;190;185;192;92;1453;2089;2221;4178;659;9941;14866;914.0;4011.0;815.0;559.0;603.0;753.0;345.0
2040;158216;9726;163;204;197;104;1247;2304;2279;4723;668;10553;15576;928.0;4095.0;684.0;476.0;524.0;634.0;358.0
2041;160004;9803;175;201;183;80;1338;2270;2117;3633;639;9358;14423;938.0;4127.0;842.0;596.0;636.0;777.0;345.0
2042;162719;9698;186;173;163;87;1422;1954;1885;3951;609;9212;14249;954.0;4083.0;779.0;548.0;578.0;718.0;333.0
