Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14329;853;0;309296;5146;125348;518;7424;433.0;518.0;267.0;275.0;280.0;129.0;1334.0;963.0;1032.0;1250.0;518.0
2024;1136308;13801;1263;0;315832;4196;128039;558;7562;341.0;558.0;310.0;231.0;239.0;119.0;1403.0;972.0;1038.0;1302.0;558.0
2025;1148846;14985;2038;0;321258;3773;130534;320;7654;272.0;320.0;179.0;176.0;150.0;87.0;768.0;537.0;581.0;716.0;320.0
2026;1161793;13982;2936;0;326567;3656;132360;290;7711;258.0;290.0;156.0;157.0;145.0;90.0;643.0;438.0;478.0;594.0;290.0
2027;1172839;14037;3989;0;331593;3631;134781;308;7814;230.0;308.0;154.0;153.0;149.0;82.0;617.0;406.0;447.0;564.0;308.0
2028;1182887;14132;5019;0;336509;3648;136400;307;8075;239.0;307.0;153.0;166.0;141.0;86.0;758.0;522.0;558.0;699.0;307.0
2029;1192000;13110;5986;0;341995;3640;138752;311;8159;226.0;311.0;164.0;155.0;141.0;77.0;708.0;494.0;533.0;659.0;311.0
2030;1199124;14246;6476;0;347661;3648;140895;335;8192;260.0;335.0;176.0;160.0;176.0;83.0;740.0;509.0;552.0;688.0;335.0
2031;1206894;13590;6860;0;353209;3574;143375;303;8343;287.0;303.0;165.0;169.0;169.0;87.0;673.0;461.0;483.0;621.0;303.0
2032;1213624;14162;7391;0;357152;3534;145396;321;8611;288.0;321.0;161.0;184.0;175.0;89.0;797.0;553.0;593.0;730.0;321.0
2033;1220395;13657;7654;0;360496;3444;146585;296;8610;270.0;296.0;155.0;186.0;136.0;89.0;628.0;430.0;476.0;588.0;296.0
2034;1226398;13389;8260;0;363667;3412;148039;316;8706;286.0;316.0;165.0;170.0;164.0;103.0;749.0;518.0;555.0;691.0;316.0
2035;1231527;14465;9145;0;366846;3382;149147;308;8815;255.0;308.0;141.0;178.0;160.0;84.0;533.0;346.0;386.0;488.0;308.0
2036;1236847;13788;10177;0;370409;3381;150608;337;8781;290.0;337.0;177.0;180.0;176.0;94.0;753.0;526.0;557.0;696.0;337.0
2037;1240458;13443;10762;0;374534;3317;151943;294;9089;281.0;294.0;150.0;184.0;166.0;75.0;628.0;431.0;459.0;574.0;294.0
2038;1243139;14316;11449;0;379203;3302;153882;323;9044;295.0;323.0;168.0;193.0;172.0;85.0;730.0;493.0;561.0;682.0;323.0
2039;1246006;13867;11954;0;384516;3262;155824;345;9182;314.0;345.0;190.0;185.0;192.0;92.0;815.0;559.0;603.0;753.0;345.0
2040;1247919;14612;12532;0;389725;3229;158216;358;9368;310.0;358.0;163.0;204.0;197.0;104.0;684.0;476.0;524.0;634.0;358.0
2041;1249999;14412;12983;0;395116;3177;160004;345;9458;294.0;345.0;175.0;201.0;183.0;80.0;842.0;596.0;636.0;777.0;345.0
2042;1251428;14092;13300;0;400279;3132;162719;333;9365;276.0;333.0;186.0;173.0;163.0;87.0;779.0;548.0;578.0;718.0;333.0
