Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;125347;7949;270;275;283;128;2065;3106;3274;5813;956;14258;18340;735.0;3347.0;1359.0;985.0;1052.0;1275.0;523.0
2024;128042;8112;303;232;239;118;2317;2620;2765;5359;892;13061;17227;751.0;3415.0;1383.0;960.0;1027.0;1284.0;551.0
2025;130532;7973;176;176;149;88;1346;1988;1724;3996;589;9054;13177;766.0;3357.0;733.0;508.0;557.0;683.0;318.0
2026;132359;8012;154;158;149;92;1178;1784;1724;4178;553;8864;13013;776.0;3373.0;639.0;438.0;476.0;588.0;295.0
2027;134784;8114;156;151;145;80;1193;1705;1677;3633;532;8208;12415;791.0;3416.0;645.0;427.0;461.0;590.0;303.0
2028;136406;8381;160;165;142;87;1224;1863;1643;3951;554;8681;13009;800.0;3528.0;735.0;500.0;544.0;683.0;309.0
2029;138762;8468;158;152;145;80;1208;1717;1677;3633;535;8235;12614;814.0;3565.0;679.0;465.0;511.0;625.0;304.0
2030;140891;8526;165;168;176;84;1262;1897;2036;3815;593;9010;13425;826.0;3589.0;728.0;499.0;543.0;676.0;332.0
2031;143367;8668;173;177;169;87;1323;1999;1955;3951;606;9228;13718;841.0;3649.0;748.0;522.0;543.0;695.0;319.0
2032;145389;8932;170;179;173;91;1300;2021;2001;4133;613;9455;14068;853.0;3760.0;801.0;556.0;593.0;732.0;322.0
2033;146577;8907;152;182;140;85;1162;2055;1619;3860;559;8696;13306;860.0;3750.0;599.0;412.0;457.0;562.0;296.0
2034;148033;9004;163;170;160;99;1247;1920;1851;4496;592;9514;14173;868.0;3791.0;786.0;542.0;586.0;725.0;307.0
2035;149134;9102;133;177;153;85;1017;1999;1770;3860;548;8646;13353;875.0;3832.0;516.0;336.0;366.0;472.0;292.0
2036;150611;9100;175;178;179;90;1338;2010;2071;4087;622;9506;14220;883.0;3831.0;742.0;510.0;546.0;681.0;327.0
2037;151956;9388;165;183;172;71;1262;2067;1990;3224;591;8543;13386;891.0;3952.0;712.0;493.0;527.0;653.0;299.0
2038;153875;9411;186;199;177;90;1422;2247;2047;4087;652;9803;14667;902.0;3962.0;802.0;547.0;610.0;750.0;357.0
2039;155817;9507;176;180;187;98;1346;2033;2163;4451;641;9993;14909;914.0;4002.0;699.0;475.0;509.0;640.0;331.0
2040;158192;9697;148;201;196;106;1132;2270;2267;4814;651;10483;15493;928.0;4082.0;520.0;348.0;404.0;486.0;337.0
2041;160002;9812;181;196;184;84;1384;2213;2128;3815;645;9540;14609;938.0;4131.0;845.0;585.0;635.0;784.0;353.0
2042;162714;9695;187;174;160;89;1430;1965;1851;4042;610;9288;14324;954.0;4082.0;814.0;575.0;600.0;745.0;334.0
