Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14445;826;0;309296;5152;125344;523;7426;433.0;523.0;267.0;277.0;283.0;129.0;1311.0;948.0;1016.0;1229.0;523.0
2024;1136451;12445;1254;0;315832;4197;128036;557;7561;341.0;557.0;308.0;233.0;239.0;118.0;1407.0;979.0;1042.0;1305.0;557.0
2025;1147642;13955;2113;0;321259;3772;130538;315;7655;272.0;315.0;177.0;175.0;150.0;85.0;783.0;547.0;594.0;730.0;315.0
2026;1159484;13169;2917;0;326567;3673;132353;292;7715;259.0;292.0;160.0;151.0;148.0;92.0;664.0;456.0;498.0;613.0;292.0
2027;1169736;14029;4055;0;331594;3631;134784;307;7814;230.0;307.0;158.0;151.0;144.0;84.0;662.0;444.0;478.0;605.0;307.0
2028;1179710;13428;4927;0;336510;3654;136403;315;8075;243.0;315.0;158.0;166.0;145.0;89.0;735.0;498.0;542.0;680.0;315.0
2029;1188211;13529;5867;0;341987;3622;138756;316;8165;226.0;316.0;163.0;158.0;142.0;79.0;659.0;452.0;494.0;613.0;316.0
2030;1195873;14859;6538;0;347650;3615;140898;329;8194;262.0;329.0;170.0;163.0;174.0;84.0;735.0;502.0;546.0;684.0;329.0
2031;1204194;14848;6790;0;353203;3554;143367;305;8344;285.0;305.0;167.0;169.0;169.0;85.0;730.0;504.0;532.0;673.0;305.0
2032;1212252;14456;7221;0;357148;3503;145379;330;8609;283.0;330.0;172.0;183.0;170.0;88.0;831.0;576.0;613.0;761.0;330.0
2033;1219487;14778;7841;0;360512;3448;146585;284;8612;257.0;284.0;147.0;177.0;136.0;81.0;559.0;382.0;426.0;526.0;284.0
2034;1226424;13164;8396;0;363658;3415;148041;314;8707;283.0;314.0;157.0;173.0;168.0;99.0;726.0;504.0;545.0;669.0;314.0
2035;1231192;13270;9126;0;366839;3396;149147;321;8811;257.0;321.0;152.0;181.0;155.0;90.0;600.0;398.0;436.0;552.0;321.0
2036;1235336;15082;9940;0;370411;3383;150608;316;8772;292.0;316.0;168.0;166.0;179.0;95.0;727.0;500.0;533.0;663.0;316.0
2037;1240478;14371;10739;0;374524;3326;151955;299;9093;287.0;299.0;155.0;191.0;166.0;74.0;633.0;428.0;457.0;579.0;299.0
2038;1244110;13556;11642;0;379199;3306;153881;345;9050;295.0;345.0;180.0;205.0;169.0;86.0;761.0;516.0;580.0;717.0;345.0
2039;1246024;13073;12128;0;384485;3233;155803;340;9179;300.0;340.0;186.0;175.0;193.0;86.0;838.0;577.0;620.0;770.0;340.0
2040;1246969;13256;12520;0;389743;3223;158217;360;9361;315.0;360.0;164.0;203.0;200.0;108.0;659.0;459.0;508.0;611.0;360.0
2041;1247705;14636;12969;0;395097;3168;159999;350;9463;288.0;350.0;171.0;198.0;185.0;84.0;788.0;558.0;589.0;730.0;350.0
2042;1249372;14374;13148;0;400263;3128;162710;325;9367;276.0;325.0;187.0;172.0;155.0;87.0;764.0;530.0;556.0;700.0;325.0
