Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;13890;868;0;309296;5148;68679;299;4093;433.0;299.0;150.0;243.0;218.0;121.0;583.0;299.0
2024;1135854;13609;1257;0;315832;4416;71571;328;4270;380.0;328.0;190.0;217.0;184.0;117.0;738.0;328.0
2025;1148206;13084;2084;0;321257;4190;74475;222;4335;344.0;222.0;127.0;201.0;140.0;98.0;453.0;222.0
2026;1159206;14199;2949;0;326566;4098;76713;196;4452;346.0;196.0;107.0;163.0;158.0;114.0;366.0;196.0
2027;1170456;13247;3938;0;331594;4082;79556;200;4640;295.0;200.0;111.0;156.0;143.0;85.0;478.0;200.0
2028;1179765;14373;5035;0;336513;4129;81322;188;4868;313.0;188.0;103.0;179.0;128.0;91.0;397.0;188.0
2029;1189103;13490;5804;0;342000;4163;83309;197;4915;329.0;197.0;116.0;172.0;140.0;98.0;387.0;197.0
2030;1196789;14433;6561;0;347660;4174;84366;218;5009;363.0;218.0;107.0;206.0;163.0;105.0;435.0;218.0
2031;1204661;13704;6897;0;353195;4127;86534;206;5100;396.0;206.0;113.0;213.0;178.0;98.0;432.0;206.0
2032;1211468;14041;7282;0;357136;4068;87051;212;5136;404.0;212.0;110.0;207.0;177.0;122.0;380.0;212.0
2033;1218227;13765;7731;0;360474;3989;88205;205;5260;379.0;205.0;119.0;207.0;154.0;104.0;420.0;205.0
2034;1224261;15061;8289;0;363626;3928;88709;238;5161;386.0;238.0;132.0;185.0;190.0;117.0;574.0;238.0
2035;1231033;14259;9273;0;366786;3878;88824;202;5257;366.0;202.0;104.0;220.0;147.0;97.0;350.0;202.0
2036;1236019;14050;9979;0;370333;3862;88276;213;5159;388.0;213.0;111.0;208.0;174.0;108.0;423.0;213.0
2037;1240090;12862;10836;0;374458;3825;88142;202;5275;387.0;202.0;120.0;217.0;160.0;92.0;437.0;202.0
2038;1242116;15018;11398;0;379078;3819;87285;213;5165;392.0;213.0;132.0;225.0;156.0;92.0;520.0;213.0
2039;1245736;14972;12178;0;384350;3776;87429;229;5197;399.0;229.0;135.0;213.0;178.0;102.0;517.0;229.0
2040;1248530;13594;12809;0;389532;3784;87690;213;5172;408.0;213.0;111.0;227.0;166.0;117.0;448.0;213.0
2041;1249315;14168;12985;0;394902;3764;88540;209;5211;418.0;209.0;123.0;230.0;167.0;107.0;483.0;209.0
2042;1250498;14099;13138;0;400091;3717;89789;221;5193;388.0;221.0;128.0;213.0;160.0;108.0;497.0;221.0
