Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68679;4420;164;250;224;122;1254;2823;2591;5541;760;12209;14473;403.0;1861.0;651.0;327.0
2024;71574;4615;198;214;184;117;1514;2417;2128;5313;713;11372;13735;420.0;1943.0;794.0;345.0
2025;74473;4555;125;198;138;96;956;2236;1596;4360;557;9148;11503;437.0;1918.0;461.0;220.0
2026;76713;4656;108;162;162;116;826;1830;1874;5268;548;9798;12208;450.0;1960.0;343.0;204.0
2027;79557;4840;109;158;144;83;834;1784;1666;3769;494;8053;10558;467.0;2038.0;457.0;201.0
2028;81311;5061;104;184;127;90;795;2078;1469;4087;505;8429;11037;477.0;2131.0;448.0;195.0
2029;83307;5130;128;170;137;97;979;1920;1585;4405;532;8889;11538;489.0;2160.0;447.0;213.0
2030;84362;5235;124;200;161;103;948;2259;1862;4678;588;9747;12446;495.0;2204.0;483.0;229.0
2031;86536;5314;117;211;183;93;895;2383;2117;4224;604;9619;12364;508.0;2237.0;446.0;212.0
2032;87055;5346;107;203;177;117;818;2293;2047;5313;604;10471;13233;511.0;2251.0;378.0;208.0
2033;88204;5466;117;203;152;106;895;2293;1758;4814;578;9760;12578;517.0;2301.0;412.0;207.0
2034;88717;5412;135;186;185;118;1032;2101;2140;5359;624;10632;13430;520.0;2278.0;591.0;242.0
2035;88816;5476;114;212;153;97;872;2394;1770;4405;576;9441;12267;521.0;2305.0;402.0;216.0
2036;88278;5369;110;207;170;106;841;2338;1966;4814;593;9959;12737;518.0;2260.0;408.0;211.0
2037;88136;5472;120;214;150;87;918;2417;1735;3951;571;9021;11842;517.0;2304.0;469.0;193.0
2038;87285;5377;131;222;159;90;1002;2507;1839;4087;602;9435;12211;512.0;2264.0;528.0;210.0
2039;87427;5417;131;210;178;101;1002;2372;2059;4587;620;10020;12814;513.0;2281.0;469.0;223.0
2040;87700;5407;119;226;174;116;910;2552;2013;5268;635;10743;13533;514.0;2276.0;499.0;232.0
2041;88531;5461;146;231;171;110;1116;2609;1978;4996;658;10699;13517;519.0;2299.0;575.0;247.0
2042;89784;5431;134;215;163;112;1025;2428;1885;5086;624;10424;13237;527.0;2286.0;505.0;237.0
