Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14306;799;0;309298;5154;125348;560;7426;433.0;560.0;288.0;282.0;287.0;136.0;1431.0;1031.0;1103.0;1341.0;560.0
2024;1136339;13339;1257;0;315832;4162;128041;594;7560;337.0;594.0;333.0;234.0;248.0;116.0;1517.0;1056.0;1128.0;1411.0;594.0
2025;1148421;14529;2035;0;321259;3696;130528;317;7656;260.0;317.0;171.0;175.0;150.0;81.0;720.0;500.0;551.0;676.0;317.0
2026;1160915;13008;2902;0;326569;3610;132345;290;7716;248.0;290.0;156.0;145.0;144.0;93.0;661.0;454.0;488.0;607.0;290.0
2027;1171021;14072;4001;0;331596;3594;134782;318;7817;222.0;318.0;165.0;147.0;147.0;81.0;662.0;438.0;473.0;603.0;318.0
2028;1181092;15004;5046;0;336516;3596;136406;317;8067;236.0;317.0;154.0;163.0;150.0;86.0;721.0;491.0;536.0;673.0;317.0
2029;1191050;13764;5930;0;341994;3584;138761;307;8166;222.0;307.0;163.0;147.0;145.0;74.0;690.0;477.0;525.0;642.0;307.0
2030;1198884;14305;6615;0;347664;3574;140894;345;8196;257.0;345.0;173.0;172.0;172.0;85.0;746.0;505.0;546.0;689.0;345.0
2031;1206574;13456;7001;0;353214;3507;143378;322;8347;280.0;322.0;174.0;170.0;171.0;87.0;767.0;537.0;553.0;707.0;322.0
2032;1213029;13783;7197;0;357159;3451;145377;336;8614;278.0;336.0;177.0;178.0;173.0;86.0;810.0;565.0;604.0;742.0;336.0
2033;1219615;15117;7677;0;360497;3373;146595;303;8621;257.0;303.0;165.0;182.0;133.0;80.0;693.0;478.0;523.0;648.0;303.0
2034;1227055;14932;8378;0;363660;3329;148016;326;8698;272.0;326.0;164.0;167.0;167.0;100.0;805.0;559.0;599.0;742.0;326.0
2035;1233609;13562;9268;0;366858;3333;149152;313;8822;247.0;313.0;136.0;176.0;162.0;86.0;433.0;271.0;312.0;401.0;313.0
2036;1237903;12289;10010;0;370408;3323;150604;329;8783;283.0;329.0;177.0;167.0;171.0;97.0;718.0;484.0;532.0;665.0;329.0
2037;1240182;14637;10670;0;374523;3260;151942;301;9089;280.0;301.0;166.0;177.0;166.0;72.0;715.0;486.0;520.0;648.0;301.0
2038;1244149;14221;11483;0;379203;3229;153891;351;9049;285.0;351.0;180.0;197.0;173.0;86.0;849.0;585.0;653.0;794.0;351.0
2039;1246887;14331;12031;0;384454;3199;155779;347;9183;297.0;347.0;181.0;175.0;194.0;94.0;745.0;515.0;558.0;691.0;347.0
2040;1249187;13658;12475;0;389697;3159;158228;349;9372;302.0;349.0;156.0;193.0;197.0;105.0;589.0;411.0;448.0;540.0;349.0
2041;1250370;12959;12763;0;395102;3137;159970;370;9460;287.0;370.0;190.0;195.0;184.0;88.0;907.0;635.0;682.0;841.0;370.0
2042;1250566;12434;13180;0;400316;3068;162755;340;9364;269.0;340.0;197.0;168.0;159.0;85.0;843.0;578.0;622.0;776.0;340.0
