Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;AsymtomaticCCRDiscovered
2023;68677;2978;150;244;220;120;1147;2756;2545;5450;734;11898;13555;403.0;1254.0;597.0;301.0
2024;71574;3197;190;217;184;117;1453;2451;2128;5313;708;11345;13111;420.0;1346.0;738.0;328.0
2025;74479;3157;124;199;140;99;948;2247;1619;4496;562;9310;11076;437.0;1329.0;449.0;217.0
2026;76711;3146;106;164;157;114;811;1852;1816;5177;541;9656;11430;450.0;1324.0;372.0;195.0
2027;79553;3345;114;160;143;84;872;1807;1654;3815;501;8148;10023;467.0;1408.0;479.0;204.0
2028;81315;3364;103;181;132;91;788;2044;1527;4133;507;8492;10385;477.0;1416.0;422.0;195.0
2029;83307;3479;119;171;136;99;910;1931;1573;4496;525;8910;10864;489.0;1465.0;382.0;197.0
2030;84362;3539;107;199;163;105;818;2247;1885;4768;574;9718;11703;495.0;1490.0;364.0;214.0
2031;86531;3581;106;214;184;96;811;2417;2128;4360;600;9716;11732;508.0;1508.0;413.0;204.0
2032;87066;3562;109;204;176;116;834;2304;2036;5268;605;10442;12453;511.0;1500.0;423.0;199.0
2033;88189;3732;125;204;151;104;956;2304;1747;4723;584;9730;11818;517.0;1571.0;436.0;209.0
2034;88712;3698;132;190;193;118;1009;2146;2233;5359;633;10747;12824;520.0;1557.0;592.0;245.0
2035;88823;3729;109;216;150;98;834;2439;1735;4451;573;9459;11550;521.0;1570.0;420.0;207.0
2036;88273;3679;114;205;172;103;872;2315;1990;4678;594;9855;11922;518.0;1549.0;445.0;207.0
2037;88129;3689;120;218;158;88;918;2462;1828;3996;584;9204;11274;517.0;1553.0;427.0;198.0
2038;87276;3643;123;219;162;93;941;2473;1874;4224;597;9512;11558;512.0;1534.0;487.0;205.0
2039;87419;3696;124;211;181;101;948;2383;2094;4587;617;10012;12081;513.0;1556.0;440.0;218.0
2040;87706;3664;110;235;162;116;841;2654;1874;5268;623;10637;12694;514.0;1543.0;436.0;207.0
2041;88536;3738;133;236;166;110;1017;2665;1920;4996;645;10598;12691;519.0;1574.0;527.0;230.0
2042;89787;3716;142;217;168;114;1086;2451;1943;5177;641;10657;12748;527.0;1564.0;560.0;243.0
