Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;AsymtomaticCCRDiscovered
2023;1122832;12633;827;0;309258;5128;66355;317;2639;432.0;317.0;169.0;244.0;214.0;122.0;978.0;317.0
2024;1134638;13833;1221;0;315791;4379;69196;338;2824;379.0;338.0;184.0;218.0;193.0;122.0;1028.0;338.0
2025;1147250;14414;2023;0;321239;4155;72158;195;2896;338.0;195.0;112.0;190.0;137.0;94.0;614.0;195.0
2026;1159641;14753;3017;0;326541;4120;74345;190;2896;354.0;190.0;111.0;166.0;152.0;115.0;561.0;190.0
2027;1171377;13087;3981;0;331570;4095;77174;211;3104;301.0;211.0;120.0;159.0;143.0;90.0;675.0;211.0
2028;1180483;14404;4963;0;336481;4123;78817;177;3122;311.0;177.0;92.0;185.0;123.0;88.0;513.0;177.0
2029;1189924;13508;5956;0;341943;4163;80810;197;3236;340.0;197.0;120.0;178.0;136.0;103.0;527.0;197.0
2030;1197476;14452;6394;0;347642;4158;81882;224;3278;366.0;224.0;122.0;198.0;162.0;108.0;557.0;224.0
2031;1205534;13401;6847;0;353189;4099;84013;200;3326;402.0;200.0;110.0;217.0;181.0;94.0;630.0;200.0
2032;1212088;14800;7302;0;357118;4048;84407;204;3323;403.0;204.0;102.0;203.0;180.0;122.0;539.0;204.0
2033;1219586;13566;7614;0;360459;3966;85626;195;3468;371.0;195.0;114.0;199.0;145.0;108.0;554.0;195.0
2034;1225538;12879;8463;0;363613;3925;86079;241;3401;384.0;241.0;129.0;194.0;183.0;119.0;772.0;241.0
2035;1229954;13233;9082;0;366787;3896;86282;225;3465;362.0;225.0;122.0;211.0;155.0;99.0;587.0;225.0
2036;1234105;13618;10048;0;370361;3862;85740;206;3409;393.0;206.0;112.0;208.0;172.0;107.0;558.0;206.0
2037;1237675;13833;10734;0;374438;3794;85604;194;3438;383.0;194.0;118.0;210.0;158.0;91.0;566.0;194.0
2038;1240774;13237;11434;0;379109;3784;84748;206;3401;390.0;206.0;130.0;219.0;155.0;92.0;756.0;206.0
2039;1242577;14650;12340;0;384379;3795;84931;225;3422;402.0;225.0;128.0;215.0;176.0;108.0;682.0;225.0
2040;1244887;13896;12592;0;389544;3768;85135;218;3396;404.0;218.0;120.0;227.0;161.0;114.0;683.0;218.0
2041;1246191;13431;12765;0;394902;3773;85953;215;3464;413.0;215.0;131.0;224.0;168.0;105.0;697.0;215.0
2042;1246857;14785;13301;0;400069;3709;87163;231;3436;390.0;231.0;134.0;208.0;168.0;111.0;722.0;231.0
