Year;Total;Births;Deaths;DeathsByCancer;50-75;HaveCancer;Screened;TruePositives;FalsePositives;SymptomaticTreatments;AsymptomaticTreatments;StageITreatments;StageIITreatments;StageIIITreatments;StageIVTreatments;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;1122832;14763;830;0;309296;5139;241673;902;14149;433.0;902.0;480.0;319.0;374.0;162.0;2358.0;1644.0;1768.0;2174.0;902.0
2024;1136765;12967;1244;0;315831;3806;248620;895;14453;312.0;895.0;438.0;276.0;344.0;149.0;2328.0;1643.0;1764.0;2165.0;895.0
2025;1148488;14254;2022;0;321258;3077;255750;465;15004;184.0;465.0;252.0;145.0;168.0;84.0;1129.0;761.0;844.0;1044.0;465.0
2026;1160720;13642;2918;0;326569;2934;262305;467;15184;158.0;467.0;233.0;142.0;169.0;81.0;1151.0;823.0;893.0;1075.0;467.0
2027;1171444;14791;3974;0;331596;2820;269191;397;15690;142.0;397.0;210.0;128.0;147.0;54.0;1136.0;806.0;837.0;1044.0;397.0
2028;1182261;13912;4967;0;336514;2817;274931;456;16053;147.0;456.0;215.0;144.0;161.0;83.0;986.0;667.0;739.0;905.0;456.0
2029;1191206;13603;5929;0;341997;2749;281645;446;16475;126.0;446.0;217.0;136.0;158.0;61.0;1045.0;721.0;776.0;969.0;446.0
2030;1198880;13601;6503;0;347660;2711;286440;430;16792;148.0;430.0;221.0;124.0;177.0;56.0;1121.0;773.0;824.0;1034.0;430.0
2031;1205978;14186;6897;0;353191;2671;292422;420;17054;160.0;420.0;196.0;138.0;170.0;76.0;803.0;541.0;591.0;735.0;420.0
2032;1213267;13723;7270;0;357135;2628;296929;420;17323;172.0;420.0;215.0;130.0;182.0;65.0;936.0;646.0;706.0;866.0;420.0
2033;1219720;14131;7678;0;360484;2566;302075;455;17582;155.0;455.0;241.0;132.0;165.0;72.0;1025.0;673.0;742.0;936.0;455.0
2034;1226173;13002;8426;0;363654;2505;305937;452;17936;155.0;452.0;212.0;150.0;174.0;71.0;1072.0;752.0;803.0;987.0;452.0
2035;1230749;14083;9100;0;366807;2468;309903;464;18128;155.0;464.0;233.0;146.0;164.0;76.0;1212.0;859.0;912.0;1118.0;464.0
2036;1235732;13060;10041;0;370406;2391;313243;425;18355;159.0;425.0;213.0;128.0;179.0;64.0;924.0;622.0;664.0;853.0;425.0
2037;1238751;14775;10860;0;374560;2367;315975;460;18700;148.0;460.0;231.0;140.0;178.0;59.0;1113.0;781.0;841.0;1034.0;460.0
2038;1242666;15686;11405;0;379221;2330;318555;438;18544;166.0;438.0;232.0;139.0;177.0;56.0;1052.0;727.0;781.0;973.0;438.0
2039;1246947;12881;12156;0;384525;2320;320109;487;18584;166.0;487.0;250.0;148.0;183.0;72.0;1194.0;826.0;889.0;1104.0;487.0
2040;1247672;13257;12526;0;389777;2290;321944;483;18858;176.0;483.0;232.0;150.0;196.0;81.0;1007.0;690.0;755.0;933.0;483.0
2041;1248403;13061;13044;0;395217;2222;323336;487;18916;166.0;487.0;261.0;126.0;188.0;78.0;1104.0;782.0;829.0;1021.0;487.0
2042;1248420;12994;12920;0;400419;2191;324933;473;18839;153.0;473.0;235.0;154.0;167.0;70.0;1052.0;727.0;802.0;976.0;473.0
2043;1248494;14583;13327;0;405970;2145;326648;479;19091;168.0;479.0;257.0;148.0;179.0;63.0;1152.0;784.0;872.0;1067.0;479.0
2044;1249750;12997;13779;0;411383;2104;328292;451;19329;186.0;451.0;228.0;150.0;191.0;68.0;1135.0;794.0;845.0;1042.0;451.0
2045;1248968;14768;14227;0;416803;2076;329702;471;19437;206.0;471.0;258.0;164.0;176.0;79.0;1066.0;730.0;805.0;999.0;471.0
2046;1249509;14903;14549;0;421933;1968;330722;517;18968;158.0;517.0;248.0;154.0;207.0;66.0;1260.0;908.0;954.0;1160.0;517.0
2047;1249863;13800;15159;0;425968;1910;331477;472;19120;163.0;472.0;237.0;121.0;203.0;74.0;1006.0;672.0;746.0;936.0;472.0
2048;1248504;13461;15345;0;430287;1874;331541;496;19458;144.0;496.0;227.0;140.0;201.0;72.0;983.0;674.0;732.0;915.0;496.0
2049;1246620;13352;15677;0;433988;1884;332127;532;19190;195.0;532.0;263.0;179.0;210.0;75.0;1210.0;850.0;893.0;1118.0;532.0
