Edad;2023;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050;2051;2052;2053;2054;2055;2056;2057;2058;2059;2060;2061;2062;2063;2064;2065;2066;2067;2068;2069;2070;2071;2072;2073;2074;2075;2076;2077;2078;2079;2080;2081;2082;2083;2084;2085;2086;2087;2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;2100;2101;2102;2103;2104;2105;2106;2107;2108;2109;2110;2111;2112;2113;2114;2115;2116;2117;2118;2119;2120;2121;2122;2123;2124;2125;2126;2127;2128;2129;2130;2131;2132;2133;2134;2135;2136;2137;2138;2139;2140;2141;2142;2143;2144;2145;2146;2147;2148;2149;2150;2151;2152;2153;2154;2155;2156;2157;2158;2159;2160;2161;2162;2163;2164;2165;2166;2167;2168;2169;2170;2171;2172;2173;2174;2175;2176;2177;2178;2179;2180;2181;2182;2183;2184;2185;2186;2187;2188;2189;2190;2191;2192;2193;2194;2195;2196;2197;2198;2199;2200;2201;2202;2203;2204;2205;2206;2207;2208;2209;2210;2211;2212;2213;2214;2215;2216;2217;2218;2219;2220;2221;2222
0;8243;8243;8679;9270;9529;9629;9165;8544;8382;8449;8499;9520;10012;9086;9061;8786;8393;8629;9062;9912;9944;8634;9423;8954;9728;8982;8303;9003;8289;9559;8925;8798;8492;9695;9709;10120;9981;9068;9175;9225;8627;9121;7996;9136;8172;9485;8580;8562;8656;9286;8716;8512;8420;8599;8997;9729;9193;9062;8519;8606;10626;9122;8861;9464;9438;9401;9342;9227;9227;8833;8823;8748;8909;8048;9616;8468;9809;8408;9194;8792;9517;9109;9199;10054;9272;9365;9450;8106;9343;9275;8148;8196;8679;9357;9533;9338;9029;8107;8255;9528;9090;9523;8902;8083;8805;8940;8995;8584;8348;8450;8427;8927;8854;9501;8545;8919;8917;9291;8980;8663;9027;8756;9185;8865;8935;9298;9048;9190;8638;8969;9479;9255;9914;9437;8148;9134;8897;8985;8964;8522;9056;8317;8877;9012;9279;8376;8758;8495;9441;9163;9331;8411;7978;8439;8712;9346;9677;9481;8137;8860;9329;7559;8575;9389;8291;8541;9102;8178;8898;8402;9405;8650;9236;9155;9086;9079;8881;8838;9021;9728;7575;9065;9729;9076;9622;9521;8409;9215;9120;9117;8431;9230;8592;9656;9618;8408;9474;9212;8546;9065;8441
1;10130;10130;8696;9113;9644;9911;9990;9571;8902;8729;8805;8922;10016;10451;9556;9455;9197;8830;9059;9454;10317;10353;9028;9816;9348;10069;9389;8691;9446;8687;9946;9387;9072;8952;10126;10120;10518;10340;9484;9539;9644;9052;9559;8354;9579;8539;9876;8896;8936;9039;9665;9121;8909;8821;9013;9340;10194;9590;9425;8887;9090;10988;9458;9228;9858;9840;9776;9713;9615;9583;9216;9291;9133;9323;8445;9997;8907;10177;8792;9549;9166;9874;9453;9610;10373;9613;9778;9796;8536;9798;9674;8521;8584;9104;9773;9884;9771;9427;8503;8638;9919;9429;9947;9328;8551;9210;9283;9385;8985;8722;8800;8803;9315;9257;9912;8937;9342;9317;9699;9317;9070;9413;9144;9593;9282;9313;9711;9459;9581;9065;9302;9927;9656;10210;9851;8549;9547;9297;9434;9333;8910;9420;8690;9358;9398;9713;8848;9209;8958;9864;9589;9734;8779;8407;8889;9148;9769;10093;9893;8566;9327;9759;7969;8990;9763;8664;8952;9501;8576;9359;8924;9810;8976;9584;9610;9409;9500;9248;9206;9428;10114;8011;9463;10151;9469;9988;9886;8743;9604;9481;9500;8732;9552;9028;10077;10018;8822;9895;9569;8951;9513
2;10059;10059;10580;9104;9492;10033;10301;10388;9964;9251;9108;9223;9398;10458;10902;9920;9882;9582;9231;9496;9890;10674;10764;9432;10234;9725;10500;9779;9119;9891;9076;10379;9711;9570;9354;10537;10544;10842;10732;9871;9948;10066;9506;9924;8796;9956;8978;10179;9321;9305;9419;10067;9533;9322;9250;9329;9785;10610;10029;9770;9316;9451;11393;9780;9617;10242;10192;10132;10106;9951;9989;9734;9690;9546;9733;8873;10420;9290;10533;9144;9880;9539;10250;9829;9956;10725;9997;10135;10212;8894;10204;10029;8900;8975;9487;10137;10308;10184;9814;8863;8976;10217;9881;10418;9817;8983;9571;9685;9789;9393;9092;9166;9216;9716;9625;10317;9341;9710;9731;10044;9698;9473;9826;9537;9989;9678;9767;10062;9849;10050;9415;9717;10350;9983;10625;10268;8957;9943;9752;9784;9701;9287;9773;9131;9740;9842;10179;9322;9636;9411;10277;10009;10129;9158;8906;9314;9586;10171;10547;10374;9054;9741;10174;8329;9386;10162;9067;9327;9901;9061;9818;9318;10144;9348;9987;9952;9798;9875;9626;9664;9857;10580;8401;9858;10582;9852;10377;10203;9123;9924;9836;9816;9024;9997;9443;10440;10407;9239;10256;10008;9381
3;11641;11641;10488;11002;9476;9832;10419;10700;10767;10341;9635;9516;9673;9821;10906;11231;10331;10284;10039;9622;9901;10318;11095;11182;9820;10632;10139;10901;10203;9531;10286;9498;10688;10169;9998;9780;10967;10893;11248;11117;10262;10349;10515;9852;10354;9182;10348;9294;10593;9704;9720;9839;10471;9932;9725;9568;9781;10150;11022;10353;10186;9657;9830;11746;10184;10033;10643;10516;10556;10465;10374;10446;10128;10093;9907;10158;9296;10771;9661;10882;9492;10256;9882;10641;10191;10273;11128;10334;10529;10666;9339;10522;10379;9307;9368;9837;10554;10703;10572;10162;9284;9306;10648;10335;10858;10255;9323;10009;10105;10167;9722;9490;9541;9599;10076;10014;10722;9755;10159;10080;10470;10114;9889;10216;9950;10386;10137;10160;10424;10251;10439;9825;10119;10684;10382;11003;10695;9378;10336;10098;10114;10054;9663;10236;9456;10228;10346;10639;9757;10062;9821;10658;10415;10514;9622;9353;9740;10000;10578;11007;10878;9481;10105;10618;8709;9784;10534;9465;9713;10354;9533;10241;9649;10540;9731;10337;10385;10176;10272;10041;10052;10332;10945;8807;10278;10950;10258;10717;10595;9458;10315;10126;10126;9478;10425;9847;10883;10814;9579;10690;10466
4;13490;13490;12036;10974;11347;9860;10190;10811;11089;11139;10737;10022;9992;10094;10263;11284;11643;10736;10705;10404;10060;10289;10732;11498;11598;10234;11067;10509;11307;10652;9917;10771;9794;11146;10550;10418;10186;11324;11333;11613;11533;10690;10801;10895;10321;10752;9586;10667;9704;10960;10083;10135;10264;10873;10328;10051;10068;10141;10540;11396;10769;10530;10048;10180;12116;10568;10416;11011;10898;10905;10901;10855;10831;10552;10518;10334;10580;9685;11125;10041;11217;9880;10622;10317;10972;10518;10653;11472;10739;11000;11058;9685;10868;10769;9712;9728;10278;10915;11083;10938;10566;9582;9733;11127;10814;11281;10595;9732;10408;10484;10528;10116;9852;9935;9958;10412;10444;11102;10193;10521;10483;10887;10511;10312;10655;10330;10883;10500;10548;10857;10603;10824;10200;10471;11089;10840;11432;11071;9811;10682;10460;10455;10390;10174;10585;9917;10732;10806;11110;10238;10482;10212;11017;10795;10950;10073;9808;10161;10376;11031;11494;11305;9838;10517;11011;9101;10183;10912;9906;10213;10847;9900;10576;10028;10975;10093;10748;10773;10549;10715;10455;10468;10766;11351;9208;10636;11351;10616;11106;10925;9821;10590;10417;10551;9877;10800;10296;11277;11179;10004;11114
5;13683;13683;13906;12441;11363;11738;10226;10605;11180;11447;11504;11122;10476;10433;10563;10665;11727;12074;11143;11120;10830;10447;10688;11144;11907;11956;10646;11420;10927;11724;11031;10336;11041;10237;11559;10990;10816;10565;11695;11706;12024;11929;11122;11184;11339;10698;11170;9901;11094;10094;11365;10507;10549;10639;11327;10626;10521;10451;10554;10878;11859;11128;10924;10388;10548;12527;10979;10752;11407;11266;11290;11381;11245;11233;10962;10961;10782;10971;10021;11492;10402;11558;10240;11004;10673;11297;10920;10970;11868;11215;11427;11433;10044;11251;11187;10062;10147;10702;11256;11435;11302;10867;10017;10191;11603;11251;11624;10963;10155;10810;10857;10904;10542;10254;10306;10349;10821;10863;11529;10557;10910;10891;11297;10975;10769;11031;10822;11246;10893;11010;11215;11008;11214;10527;10899;11480;11240;11841;11429;10177;11020;10826;10784;10864;10510;11041;10418;11217;11264;11553;10691;10927;10630;11378;11311;11383;10502;10170;10590;10794;11525;11904;11664;10211;10872;11396;9493;10587;11338;10360;10650;11221;10237;10969;10431;11303;10503;11109;11162;10972;11123;10893;10858;11202;11783;9582;11069;11704;10997;11446;11289;10114;10904;10896;10986;10255;11222;10757;11617;11558;10420
6;12980;12980;14114;14340;12781;11739;12099;10591;10959;11544;11825;11931;11601;10918;10896;10903;11095;12141;12492;11551;11558;11187;10865;11093;11559;12305;12397;11029;11876;11301;12091;11452;10636;11511;10661;11956;11361;11185;10955;12074;12123;12478;12422;11517;11614;11731;11085;11482;10297;11461;10536;11743;10897;10929;11020;11645;11074;10891;10826;10922;11300;12211;11538;11267;10767;10949;12913;11314;11120;11779;11666;11747;11767;11643;11602;11366;11378;11105;11359;10400;11833;10811;11880;10618;11349;11051;11726;11276;11366;12308;11637;11779;11769;10485;11674;11552;10495;10539;11064;11623;11794;11638;11313;10478;10659;12045;11596;11988;11384;10561;11139;11239;11330;10921;10659;10704;10750;11232;11263;11870;10989;11317;11331;11729;11364;11144;11531;11229;11615;11327;11357;11629;11420;11554;10943;11306;11897;11658;12265;11758;10560;11374;11193;11258;11227;10976;11553;10884;11682;11688;11981;11164;11313;11026;11845;11799;11783;10923;10598;11032;11262;11936;12303;12034;10571;11271;11798;9878;10978;11823;10851;11060;11576;10603;11403;10769;11675;10874;11466;11565;11389;11559;11263;11227;11571;12155;9962;11411;12092;11329;11840;11585;10418;11367;11319;11372;10633;11648;11101;12025;12013
7;13650;13650;13406;14588;14700;13153;12126;12507;10980;11347;11937;12274;12376;12010;11373;11292;11314;11529;12562;12841;11980;11955;11568;11248;11479;11912;12745;12773;11419;12287;11714;12510;11754;11106;11986;11084;12376;11751;11588;11339;12510;12552;12887;12806;11975;11993;12145;11374;11924;10666;11906;10943;12157;11286;11339;11331;12142;11448;11289;11219;11354;11671;12615;11890;11629;11165;11316;13281;11722;11485;12187;12148;12152;12160;12062;12011;11791;11744;11473;11712;10742;12199;11174;12305;10990;11662;11453;12061;11697;11785;12760;11998;12150;12186;10903;12038;11951;10880;10929;11441;11967;12129;12074;11742;10946;11070;12412;11978;12394;11775;10913;11529;11644;11705;11321;11016;11113;11184;11650;11593;12225;11390;11743;11707;12168;11744;11655;11905;11630;12068;11681;11764;12031;11732;12009;11340;11724;12296;12083;12614;12124;10936;11747;11660;11599;11672;11452;11997;11296;12171;12096;12476;11565;11685;11517;12273;12210;12219;11307;10997;11510;11657;12305;12691;12393;10953;11675;12173;10294;11476;12300;11226;11416;11958;11012;11750;11161;12031;11243;11885;11994;11811;11954;11676;11617;11942;12503;10303;11805;12425;11713;12151;11897;10891;11786;11683;11805;11089;12038;11530;12521
8;15064;15064;14101;13841;14951;15079;13536;12537;12887;11342;11720;12322;12720;12812;12520;11759;11738;11748;11956;12973;13279;12365;12370;11952;11603;11850;12350;13085;13201;11872;12661;12144;12783;12204;11588;12434;11545;12737;12139;11949;11761;12941;12978;13280;13260;12354;12392;12479;11787;12259;11089;12332;11327;12552;11716;11670;11846;12533;11802;11638;11631;11731;12075;12995;12308;12047;11530;11704;13677;12094;11873;12672;12527;12533;12565;12461;12428;12158;12143;11802;12061;11106;12540;11560;12693;11313;12049;11813;12457;12099;12176;13121;12369;12553;12571;11261;12461;12367;11246;11289;11832;12264;12558;12534;12214;11356;11408;12847;12369;12777;12112;11299;11970;12023;12060;11707;11415;11536;11604;11993;11984;12631;11782;12149;12136;12566;12259;12046;12281;12074;12407;12099;12189;12391;12198;12371;11747;12144;12707;12408;12961;12478;11283;12216;11975;12036;12165;11894;12464;11724;12577;12526;12866;11982;12174;11977;12739;12587;12647;11759;11490;11921;12075;12694;13115;12744;11340;12089;12560;10753;11894;12687;11578;11780;12341;11360;12123;11527;12418;11671;12325;12457;12195;12397;12041;11998;12332;12827;10704;12131;12819;12023;12458;12347;11311;12118;12082;12211;11455;12454;11979
