Year;Fit;Colonoscopy;CancerStageITreatments;CancerStageIITreatments;CancerStageIIITreatments;CancerStageIVTreatments;CancerStageI;CancerStageII;CancerStageIII;CancerStageIV;Cancer Treatments;Cancer Treatments Costs;Total;Fit Costs;Colonoscopy Costs;YearsGained;HYearsGained;DFYearsGained;DALYGained;AsymtomaticCCRDiscovered
2023;202384;12651;392;313;336;158;2998;3535;3887;7175;1199;17595;24108;1187.0;5326.0;1968.0;1397.0;1515.0;1834.0;766.0
2024;207468;12981;458;261;317;132;3502;2948;3667;5995;1168;16112;22794;1217.0;5465.0;2345.0;1638.0;1748.0;2162.0;851.0
2025;212346;12846;216;151;165;82;1652;1705;1909;3724;614;8990;15643;1245.0;5408.0;962.0;645.0;733.0;894.0;417.0
2026;217641;13125;223;139;167;76;1705;1570;1932;3451;605;8658;15460;1276.0;5526.0;1015.0;697.0;757.0;939.0;425.0
2027;222828;13456;188;140;161;72;1438;1581;1862;3270;561;8151;15123;1307.0;5665.0;888.0;623.0;669.0;821.0;398.0
2028;228842;13834;194;140;150;76;1484;1581;1735;3451;560;8251;15417;1342.0;5824.0;940.0;663.0;702.0;872.0;399.0
2029;234383;14211;217;138;156;56;1659;1558;1805;2543;567;7565;14923;1375.0;5983.0;1067.0;737.0;799.0;989.0;424.0
2030;240201;14482;224;138;164;75;1713;1558;1897;3406;601;8574;16080;1409.0;6097.0;1030.0;695.0;751.0;948.0;436.0
2031;245460;14793;207;137;192;68;1583;1547;2221;3088;604;8439;16107;1440.0;6228.0;939.0;649.0;699.0;872.0;414.0
2032;250840;15117;192;142;170;78;1468;1604;1966;3542;582;8580;16415;1471.0;6364.0;850.0;572.0;625.0;780.0;390.0
2033;255343;15299;201;141;151;58;1537;1592;1747;2634;551;7510;15449;1498.0;6441.0;804.0;547.0;605.0;740.0;388.0
2034;260438;15727;222;133;189;86;1698;1502;2186;3906;630;9292;17440;1527.0;6621.0;936.0;632.0;697.0;862.0;446.0
2035;264254;15914;202;170;180;68;1545;1920;2082;3088;620;8635;16885;1550.0;6700.0;1004.0;690.0;751.0;932.0;447.0
2036;268529;16202;203;154;190;82;1552;1739;2198;3724;629;9213;17609;1575.0;6821.0;928.0;643.0;712.0;859.0;446.0
2037;272140;16555;216;137;167;63;1652;1547;1932;2861;583;7992;16558;1596.0;6970.0;960.0;657.0;693.0;877.0;405.0
2038;275282;16458;243;157;171;75;1858;1773;1978;3406;646;9015;17559;1615.0;6929.0;1052.0;726.0;798.0;990.0;452.0
2039;278048;16606;219;139;197;69;1675;1570;2279;3134;624;8658;17280;1631.0;6991.0;958.0;667.0;717.0;885.0;441.0
2040;280399;16961;209;165;183;77;1598;1863;2117;3497;634;9075;17861;1645.0;7141.0;979.0;690.0;723.0;900.0;444.0
2041;282432;17045;229;144;181;86;1751;1626;2094;3906;640;9377;18209;1656.0;7176.0;975.0;662.0;739.0;914.0;450.0
